NIB,NPWP,OSS_ID,NAMA_PERUSAHAAN,NAMA_SINGKATAN,ALAMAT,KELURAHAN,DAERAH_ID,KODE_POS,NOMOR_TELPON,JENIS_PERSEROAN,STATUS_BADAN_HUKUM,STATUS_PERSEROAN,FLAG_IMPOR,FLAG_EKSPOR,JENIS_API,NOMOR_API,NIPER,TGL_PERUBAHAN_NIB,STATUS_NIB
360794817090,562463539722973,OSS-2597529,PERUM RAJASA,PERUM RAJA,GANG STASIUN WONOKROMO NO. 9,LUBUKLINGGAU,ID-17,11013,+62 (99) 168 3670,Perum,DISAHKAN,TIDAK AKTIF,1,0,API-U,41506-API,,2026-01-01,AKTIF
396989457981,671146172106208,OSS-8309718,PT PRAYOGA HASSANAH TBK,PRAYOGA HA,JL. SOEKARNO HATTA NO. 35,TEBINGTINGGI,ID-84,06592,(0760) 612 4243,CV,DISAHKAN,DIBEKUKAN,1,0,API-P,24791-API,,2026-01-23,AKTIF
225848190604,598278147056497,OSS-1729126,UD PRASASTA,UD PRASAST,GANG MERDEKA NO. 843,SINGKAWANG,ID-48,69788,+62-310-208-5205,Perum,PROSES,TIDAK AKTIF,1,1,API-U,64598-API,NIPER-03440,2026-02-27,AKTIF
488138388426,762798755582038,OSS-9167913,UD FARIDA SANTOSO (PERSERO) TBK,UD FARIDA,JL. MOCH. TOHA NO. 9,TERNATE,ID-83,60653,+62 (546) 844 8006,Firma,PROSES,AKTIF,1,1,API-U,16167-API,NIPER-76392,2026-01-30,AKTIF
854631646066,493237558388333,OSS-1493254,PERUM MARBUN (PERSERO) TBK,PERUM MARB,GANG BANGKA RAYA NO. 34,SINGKAWANG,ID-48,10900,+62 (81) 000 3266,CV,DISAHKAN,AKTIF,1,1,API-P,61780-API,NIPER-88644,2026-01-15,AKTIF
905951184001,255064333148118,OSS-4600554,PERUM JAILANI,PERUM JAIL,JL. SILIWANGI NO. 689,SAMARINDA,ID-10,55626,+62 (040) 842-3015,Perum,DISAHKAN,DIBEKUKAN,0,1,,,NIPER-26761,2026-01-12,AKTIF
943012269415,354318705098221,OSS-6259322,PT NURDIYANTI TBK,NURDIYANTI,GANG JOYOBOYO NO. 834,PADANG SIDEMPUAN,ID-52,32528,(0440) 291-3322,Perum,PROSES,TIDAK AKTIF,1,0,API-U,76039-API,,2026-01-11,AKTIF
450670142010,679589250176951,OSS-5877043,UD HASANAH SIRAIT,UD HASANAH,JALAN RAYA SETIABUDHI NO. 09,SAMARINDA,ID-71,32341,+62 (0115) 440-9426,Perum,TERDAFTAR,TIDAK AKTIF,1,1,API-U,26775-API,NIPER-04568,2026-02-20,AKTIF
988926920362,132967086736190,OSS-0906438,UD NURAINI ANGGRIAWAN TBK,UD NURAINI,JALAN CIHAMPELAS NO. 4,PADANG,ID-33,35897,(0337) 724-4273,Firma,TERDAFTAR,TIDAK AKTIF,0,1,,,NIPER-18202,2026-02-04,AKTIF
212886652683,415599910157676,OSS-4722981,PT RAHAYU RAHAYU,RAHAYU RAH,GANG RAYA UJUNGBERUNG NO. 28,YOGYAKARTA,ID-77,34750,088 986 4565,CV,DISAHKAN,TIDAK AKTIF,0,0,,,,2026-01-30,AKTIF
815510184353,623682577360841,OSS-2092232,PERUM NAMAGA (PERSERO) TBK,PERUM NAMA,GG. MONGINSIDI NO. 91,TEGAL,ID-83,95460,(058) 894 0809,PT,DISAHKAN,TIDAK AKTIF,0,1,,,NIPER-29781,2026-01-26,AKTIF
565697648784,962249451046250,OSS-6929656,MEGANTARA (PERSERO) TBK,MEGANTARA,GG. VETERAN NO. 7,SERANG,ID-11,50979,+62-442-129-1465,Firma,TERDAFTAR,TIDAK AKTIF,1,0,API-U,02234-API,,2026-01-31,AKTIF
382644777760,356416657126386,OSS-0458597,PT KUSWANDARI PERMADI TBK,KUSWANDARI,GANG SETIABUDHI NO. 0,MAGELANG,ID-15,87349,+62-0779-732-0981,Perum,PROSES,DIBEKUKAN,0,1,,,NIPER-37746,2026-02-05,AKTIF
862115414360,632065482006876,OSS-4869717,CV NAINGGOLAN TBK (DUPLICATE),NAINGGOLAN,GG. GEGERKALONG HILIR NO. 73,KOTA ADMINISTRASI JAKARTA BARAT,ID-95,43169,+62-0617-591-5228,CV,PROSES,TIDAK AKTIF,1,0,API-U,53756-API,,2026-02-02,AKTIF
916505416168,410337880140047,OSS-6482202,UD MAULANA PUTRA TBK,UD MAULANA,JL. GEDEBAGE SELATAN NO. 7,MADIUN,ID-10,21205,(0379) 090-5961,Perum,PROSES,AKTIF,0,0,,,,2026-01-14,AKTIF
621513447991,075345942579148,OSS-7734553,CV WASTUTI (PERSERO) TBK,WASTUTI (P,GANG ASTANA ANYAR NO. 7,BANDA ACEH,ID-52,93926,(0621) 262-2029,Firma,DISAHKAN,TIDAK AKTIF,0,1,,,NIPER-26435,2026-02-20,AKTIF
569620953958,193476450695699,OSS-2395279,RAJATA SAEFULLAH,RAJATA SAE,GG. YOS SUDARSO NO. 038,TANJUNGPINANG,ID-43,56675,082 080 9928,PT,PROSES,TIDAK AKTIF,1,1,API-U,48374-API,NIPER-92928,2026-02-11,AKTIF
876480795457,776174367055414,OSS-1506798,IRAWAN HIDAYAT,IRAWAN HID,JL. MEDOKAN AYU NO. 578,BITUNG,ID-69,51691,+62-0890-614-8973,Perum,TERDAFTAR,AKTIF,1,1,API-P,73634-API,NIPER-62803,2026-01-06,AKTIF
226964076386,318634555470607,OSS-8054071,PERUM NURDIYANTI SAFITRI,PERUM NURD,JL. CIWASTRA NO. 62,MAGELANG,ID-77,31450,+62-0315-235-2532,CV,PROSES,TIDAK AKTIF,1,1,API-U,20812-API,NIPER-74993,2026-02-23,AKTIF
633106919890,897637941356981,OSS-3204313,CV SITOMPUL,SITOMPUL,JL. KAPTEN MUSLIHAT NO. 6,DENPASAR,ID-71,49115,+62 (44) 230 8646,CV,DISAHKAN,TIDAK AKTIF,1,1,API-P,95470-API,NIPER-92996,2026-01-09,AKTIF
057625440307,915772918392399,OSS-0818442,PD HARIYAH WIDIASTUTI,PD HARIYAH,JALAN TUBAGUS ISMAIL NO. 7,PAREPARE,ID-12,89336,(0640) 040-8803,Firma,DISAHKAN,AKTIF,1,1,API-P,45215-API,NIPER-91519,2026-02-20,AKTIF
872031954196,664505730362792,OSS-4632037,PD WACANA TBK,PD WACANA,JALAN RAWAMANGUN NO. 603,SUBULUSSALAM,ID-57,45057,(061) 945 8870,Firma,DISAHKAN,AKTIF,0,1,,,NIPER-71553,2026-02-06,AKTIF
033024239109,992748710485606,OSS-4667318,PERUM HUTAPEA,PERUM HUTA,JALAN GEGERKALONG HILIR NO. 452,MALANG,ID-65,24441,+62-086-565-7433,CV,TERDAFTAR,DIBEKUKAN,1,0,API-U,19069-API,,2026-01-14,AKTIF
457918531068,337500924223054,OSS-1720948,CV ZULAIKA (PERSERO) TBK,ZULAIKA (P,JL. SETIABUDHI NO. 46,SOLOK,ID-46,12005,+62 (0941) 591 5379,Firma,DISAHKAN,TIDAK AKTIF,0,1,,,NIPER-63496,2026-01-11,AKTIF
369014535916,432119863085629,OSS-2423688,PD KUSUMO SITOMPUL,PD KUSUMO,JL. PHH. MUSTOFA NO. 012,BATAM,ID-24,84508,+62 (077) 285-9209,CV,DISAHKAN,DIBEKUKAN,1,1,API-P,25274-API,NIPER-24533,2026-01-09,AKTIF
539548895406,344128256624612,OSS-4177762,UD SITUMORANG NASYIAH,UD SITUMOR,JALAN INDRAGIRI NO. 2,SABANG,ID-40,62540,(0325) 002 1736,Firma,PROSES,DIBEKUKAN,1,0,API-U,09373-API,,2026-01-18,AKTIF
116016052020,226401737981210,OSS-4995549,CV PUSPASARI,PUSPASARI,JL. KAPTEN MUSLIHAT NO. 334,TARAKAN,ID-52,18413,+62-0672-515-0588,Perum,DISAHKAN,DIBEKUKAN,0,1,,,NIPER-48386,2026-02-08,AKTIF
929480822766,056355586787391,OSS-4855298,PT ANGGRAINI,ANGGRAINI,GG. PASTEUR NO. 327,BENGKULU,ID-51,09362,+62 (22) 244-1498,PT,PROSES,TIDAK AKTIF,1,0,API-U,52673-API,,2026-01-16,AKTIF
491418562333,831672900372470,OSS-9419513,PD SALAHUDIN,PD SALAHUD,JALAN KUTISARI SELATAN NO. 035,SUBULUSSALAM,ID-87,57083,+62 (26) 303 0783,Perum,TERDAFTAR,AKTIF,1,0,API-P,71642-API,,2026-02-06,AKTIF
786112966264,665076906643355,OSS-5083080,CV HASSANAH,HASSANAH,GANG JAMIKA NO. 978,PEMATANGSIANTAR,ID-34,80293,+62 (097) 867 6248,PT,DISAHKAN,AKTIF,1,0,API-P,53845-API,,2026-01-01,AKTIF
815418589900,277291084507860,OSS-4356605,CV PRAYOGA,PRAYOGA,GANG KUTAI NO. 3,BANDAR LAMPUNG,ID-89,77306,(0182) 226-6794,Perum,DISAHKAN,TIDAK AKTIF,1,1,API-P,19087-API,NIPER-88653,2026-01-28,AKTIF
532083168163,603891736907894,OSS-7672000,CV HUTAPEA TBK,HUTAPEA TB,GG. ANTAPANI LAMA NO. 16,KOTA ADMINISTRASI JAKARTA TIMUR,ID-13,08951,+62 (37) 085-1191,Perum,DISAHKAN,TIDAK AKTIF,1,0,API-U,94454-API,,2026-01-17,AKTIF
989484707173,021560139947659,OSS-8457621,UD MANULLANG,UD MANULLA,JALAN ANTAPANI LAMA NO. 6,BIMA,ID-64,87343,+62 (711) 023 4770,Firma,TERDAFTAR,TIDAK AKTIF,0,1,,,NIPER-47290,2026-02-14,AKTIF
239890857257,482282186822831,OSS-2429015,PERUM JAILANI SITORUS,PERUM JAIL,GG. VETERAN NO. 18,BEKASI,ID-18,75778,+62 (131) 139 8404,CV,DISAHKAN,TIDAK AKTIF,0,1,,,NIPER-11977,2026-02-14,AKTIF
536438610322,564836843716406,OSS-1294510,UD JANUAR TBK,UD JANUAR,JL. PHH. MUSTOFA NO. 43,MEDAN,ID-64,18222,0810733673,Perum,TERDAFTAR,DIBEKUKAN,0,0,,,,2026-02-21,AKTIF
632567322348,749391660191090,OSS-4886607,CV ZULKARNAIN SARAGIH,ZULKARNAIN,JALAN OTTO ISKANDARDINATA NO. 85,SORONG,ID-93,17609,+62-93-716-4581,PT,TERDAFTAR,TIDAK AKTIF,0,1,,,NIPER-04573,2026-01-15,AKTIF
380089457629,411292661152559,OSS-1935920,PD TAMBA TBK,PD TAMBA T,JL. LEMBONG NO. 79,KOTA ADMINISTRASI JAKARTA BARAT,ID-54,75743,(067) 801 2531,Perum,PROSES,AKTIF,1,0,API-P,88947-API,,2026-01-09,AKTIF
016787448890,225377722393693,OSS-0409975,CV SUDIATI,SUDIATI,JL. ASTANA ANYAR NO. 76,SUNGAI PENUH,ID-65,19541,0825685516,CV,PROSES,AKTIF,1,1,API-U,22937-API,NIPER-45796,2026-02-06,AKTIF
574834011425,031644686460361,OSS-3803358,CV NAPITUPULU,NAPITUPULU,JALAN SUKABUMI NO. 4,LHOKSEUMAWE,ID-37,84338,(0314) 940 7654,Perum,PROSES,DIBEKUKAN,0,0,,,,2026-02-26,AKTIF
356903646168,460924941157868,OSS-5077114,PERUM RAJASA,PERUM RAJA,GANG SUKAJADI NO. 126,PEKANBARU,ID-61,49422,087 453 1572,Perum,PROSES,DIBEKUKAN,1,1,API-U,59101-API,NIPER-94566,2026-02-12,AKTIF
701817889530,081463655895072,OSS-4663389,PD PRAYOGA PRADIPTA,PD PRAYOGA,GANG LEMBONG NO. 5,TANGERANG,ID-97,89384,+62 (0823) 565-6254,PT,TERDAFTAR,AKTIF,0,1,,,NIPER-34000,2026-01-30,AKTIF
258625449630,509018753909843,OSS-2135420,NASYIAH ASTUTI,NASYIAH AS,GANG K.H. WAHID HASYIM NO. 71,BONTANG,ID-61,58797,+62-899-104-7126,PT,TERDAFTAR,AKTIF,0,0,,,,2026-01-13,AKTIF
782294140612,314241303897731,OSS-2650075,PT AGUSTINA (PERSERO) TBK (DUPLICATE),AGUSTINA (,JL. RAYA UJUNGBERUNG NO. 51,SAMARINDA,ID-44,26317,+62 (72) 065-5194,PT,TERDAFTAR,TIDAK AKTIF,0,0,,,,2026-01-03,AKTIF
637736421785,722804369174238,OSS-0869191,PERUM NASYIAH,PERUM NASY,GANG RAYA SETIABUDHI NO. 27,SUBULUSSALAM,ID-50,70041,+62-023-362-8641,CV,DISAHKAN,TIDAK AKTIF,1,0,API-P,16927-API,,2026-01-25,AKTIF
020739360021,318768626532522,OSS-0280099,PD PRANOWO,PD PRANOWO,GANG MONGINSIDI NO. 5,SURABAYA,ID-49,93152,+62 (0981) 515 9734,CV,DISAHKAN,DIBEKUKAN,0,1,,,NIPER-09194,2026-01-20,AKTIF
403694811266,497196706833539,OSS-1016125,WACANA,WACANA,JALAN CIWASTRA NO. 334,JAMBI,ID-28,67348,+62 (040) 984-1016,Firma,TERDAFTAR,DIBEKUKAN,0,0,,,,2026-01-26,AKTIF
252770039800,162253530354579,OSS-4942422,PERUM MAYASARI TBK,PERUM MAYA,GG. RAYA SETIABUDHI NO. 08,BANJARBARU,ID-57,92515,0898062384,CV,DISAHKAN,DIBEKUKAN,1,1,API-P,83132-API,NIPER-16082,2026-01-05,AKTIF
967347531784,659357215618917,OSS-7961428,CV SAEFULLAH MANDALA,SAEFULLAH,GG. AHMAD DAHLAN NO. 6,BUKITTINGGI,ID-83,53422,+62 (032) 868-7973,PT,PROSES,AKTIF,0,1,,,NIPER-25989,2026-01-25,AKTIF
927078689100,872924299906396,OSS-7739232,MAHESWARA (PERSERO) TBK (DUPLICATE),MAHESWARA,JL. DIPATIUKUR NO. 43,BEKASI,ID-76,19910,(051) 745-8099,Firma,PROSES,DIBEKUKAN,0,1,,,NIPER-74164,2026-01-21,AKTIF
807242498801,537288573274769,OSS-4008129,UD RAHMAWATI PRASTUTI TBK,UD RAHMAWA,JALAN SUKAJADI NO. 376,MALANG,ID-69,00622,+62 (62) 327 0674,PT,DISAHKAN,TIDAK AKTIF,1,0,API-U,65970-API,,2026-01-15,AKTIF
876181035514,799118796884207,OSS-2891524,SAPTONO (DUPLICATE),SAPTONO,JALAN KH AMIN JASUTA NO. 01,KENDARI,ID-97,75481,+62 (072) 357 9888,CV,TERDAFTAR,DIBEKUKAN,1,0,API-P,23698-API,,2026-01-19,AKTIF
909877674967,194712509370091,OSS-1165377,UD ANDRIANI (PERSERO) TBK,UD ANDRIAN,GG. DR. DJUNJUNAN NO. 32,SAMARINDA,ID-61,77572,0854071499,PT,PROSES,DIBEKUKAN,0,1,,,NIPER-18916,2026-02-27,AKTIF
598808785611,273612371509645,OSS-0077746,UD ISWAHYUDI TBK,UD ISWAHYU,GG. ASTANA ANYAR NO. 571,KEDIRI,ID-92,04230,+62 (457) 274 0435,PT,TERDAFTAR,DIBEKUKAN,0,1,,,NIPER-66345,2026-02-24,AKTIF
945293261482,943293906886963,OSS-0411425,UD WASTUTI,UD WASTUTI,JL. CIHAMPELAS NO. 183,PADANG SIDEMPUAN,ID-34,16907,+62-003-978-5511,CV,PROSES,AKTIF,0,1,,,NIPER-69512,2026-03-02,AKTIF
678441175471,195916000991433,OSS-8512429,UD BUDIYANTO SAPUTRA (PERSERO) TBK,UD BUDIYAN,GANG SUKAJADI NO. 3,KOTA ADMINISTRASI JAKARTA PUSAT,ID-24,16855,+62 (166) 693 3417,Perum,TERDAFTAR,TIDAK AKTIF,0,1,,,NIPER-62941,2026-01-02,AKTIF
981166497248,325957485913375,OSS-9933458,CV PUDJIASTUTI NASYIDAH,PUDJIASTUT,JALAN SUNIARAJA NO. 4,TIDORE KEPULAUAN,ID-59,56892,+62 (47) 680-7257,CV,PROSES,AKTIF,1,1,API-U,97513-API,NIPER-15463,2026-01-30,AKTIF
578703713119,427100366606328,OSS-7988159,UD ARYANI (PERSERO) TBK,UD ARYANI,GANG SURYAKENCANA NO. 9,MAGELANG,ID-14,42750,+62-16-153-6443,PT,DISAHKAN,DIBEKUKAN,0,1,,,NIPER-16230,2026-01-11,AKTIF
800243181009,825334365947028,OSS-1623659,PD HARIYAH TBK (DUPLICATE),PD HARIYAH,GANG MONGINSIDI NO. 5,KOTA ADMINISTRASI JAKARTA TIMUR,ID-40,52882,+62 (083) 367 8092,CV,DISAHKAN,AKTIF,1,0,API-U,27355-API,,2026-02-16,AKTIF
056161846487,070788960852232,OSS-9623409,RAJATA,RAJATA,JL. JAYAWIJAYA NO. 5,MEULABOH,ID-50,09431,+62-60-486-9357,Perum,TERDAFTAR,DIBEKUKAN,1,1,API-P,23479-API,NIPER-64690,2026-03-01,AKTIF
443771451884,476432348143698,OSS-2476536,PT HUTAGALUNG BUDIMAN,HUTAGALUNG,GANG PASIRKOJA NO. 3,TUAL,ID-47,50379,+62 (16) 136 2364,CV,DISAHKAN,DIBEKUKAN,1,0,API-P,53242-API,,2026-01-18,AKTIF
095340952408,715499789285003,OSS-8892640,UD SITOMPUL PUDJIASTUTI,UD SITOMPU,JL. GARDUJATI NO. 40,TIDORE KEPULAUAN,ID-17,63888,0878151183,PT,DISAHKAN,AKTIF,1,0,API-U,02097-API,,2026-01-22,AKTIF
257329125629,860586032817094,OSS-2991694,PERUM PURNAWATI TBK,PERUM PURN,GANG INDRAGIRI NO. 0,MEDAN,ID-86,28844,+62-61-917-8837,CV,DISAHKAN,AKTIF,1,0,API-U,49755-API,,2026-02-17,AKTIF
730207347304,659041939798608,OSS-0166504,CV RAHAYU (PERSERO) TBK,RAHAYU (PE,JL. WONOAYU NO. 9,PALEMBANG,ID-27,66879,+62-099-263-7903,Perum,TERDAFTAR,AKTIF,1,1,API-P,46548-API,NIPER-59391,2026-02-02,AKTIF
690483589470,178140618843255,OSS-7072354,UD AGUSTINA HARYANTI (PERSERO) TBK,UD AGUSTIN,GANG SUKABUMI NO. 0,KOTA ADMINISTRASI JAKARTA PUSAT,ID-67,24911,(0372) 514-0606,PT,DISAHKAN,AKTIF,0,1,,,NIPER-56354,2026-02-10,AKTIF
044999657117,582003089995778,OSS-3658359,SAPUTRA NABABAN (PERSERO) TBK,SAPUTRA NA,JALAN KH AMIN JASUTA NO. 85,PEKALONGAN,ID-71,30115,089 264 2109,Perum,PROSES,DIBEKUKAN,1,0,API-P,96733-API,,2026-02-04,AKTIF
589519216563,608429076556101,OSS-1391953,PT USAMAH (PERSERO) TBK,USAMAH (PE,JALAN IR. H. DJUANDA NO. 63,SALATIGA,ID-83,25226,+62 (09) 876-4735,Firma,PROSES,DIBEKUKAN,0,1,,,NIPER-09703,2026-01-06,AKTIF
889744502891,379311875015577,OSS-6200346,CV SAPUTRA,SAPUTRA,JL. RAJIMAN NO. 2,KOTA ADMINISTRASI JAKARTA TIMUR,ID-31,13108,(0440) 038-3704,Perum,DISAHKAN,AKTIF,0,1,,,NIPER-10909,2026-02-26,AKTIF
117655398220,843009782118499,OSS-1965911,PERUM PURNAWATI LATUPONO (PERSERO) TBK (DUPLICATE),PERUM PURN,GANG GARDUJATI NO. 2,TANGERANG SELATAN,ID-40,57029,(0767) 339-3937,PT,PROSES,DIBEKUKAN,1,1,API-U,28379-API,NIPER-06291,2026-01-12,AKTIF
131688682039,960778537340389,OSS-1252795,PD LATUPONO ISWAHYUDI (PERSERO) TBK,PD LATUPON,GANG PASIRKOJA NO. 591,TANJUNGBALAI,ID-74,23860,0837777579,CV,DISAHKAN,DIBEKUKAN,0,1,,,NIPER-54163,2026-02-17,AKTIF
406185859530,022466676936534,OSS-5945914,PD MAULANA RAJASA,PD MAULANA,GANG RAJAWALI BARAT NO. 96,MOJOKERTO,ID-90,04843,+62-083-869-1269,Perum,TERDAFTAR,TIDAK AKTIF,0,0,,,,2026-01-14,AKTIF
644559285809,766240980492085,OSS-9462447,UD NAINGGOLAN,UD NAINGGO,JL. RAJAWALI BARAT NO. 860,BANDA ACEH,ID-58,56475,+62-0464-078-4355,CV,PROSES,TIDAK AKTIF,1,1,API-U,09342-API,NIPER-78848,2026-01-20,AKTIF
164508629532,230724876412613,OSS-9557458,MAYASARI BUDIMAN TBK,MAYASARI B,GG. RAJIMAN NO. 400,KOTA ADMINISTRASI JAKARTA TIMUR,ID-21,27885,0881920696,Perum,PROSES,AKTIF,0,0,,,,2026-02-27,AKTIF
228683512042,563443121690907,OSS-9396906,PERUM HARYANTI DAMANIK,PERUM HARY,GANG JEND. SUDIRMAN NO. 99,CIREBON,ID-73,49261,+62 (0251) 948-6756,Firma,TERDAFTAR,TIDAK AKTIF,1,0,API-P,83633-API,,2026-03-02,AKTIF
124655295787,351683202271131,OSS-8002149,PT NASYIDAH (DUPLICATE),NASYIDAH,GANG RUMAH SAKIT NO. 77,KUPANG,ID-56,28239,+62 (032) 183 6694,Firma,TERDAFTAR,TIDAK AKTIF,0,0,,,,2026-02-18,AKTIF
805789579178,771479374658512,OSS-9592322,JANUAR SITOMPUL,JANUAR SIT,JALAN MOCH. RAMDAN NO. 1,BIMA,ID-55,32262,(0723) 654 0156,Perum,TERDAFTAR,AKTIF,1,1,API-U,99694-API,NIPER-74250,2026-01-09,AKTIF
861793169886,789709070115777,OSS-6606061,UD KUSMAWATI (PERSERO) TBK,UD KUSMAWA,GANG KIARACONDONG NO. 1,MADIUN,ID-92,09426,(038) 453 1699,PT,PROSES,AKTIF,0,0,,,,2026-01-09,AKTIF
838935953828,040561299650826,OSS-9582641,PERUM WALUYO SITUMORANG TBK,PERUM WALU,JL. STASIUN WONOKROMO NO. 61,YOGYAKARTA,ID-83,85951,+62 (0346) 823 9484,Firma,TERDAFTAR,AKTIF,0,1,,,NIPER-00273,2026-02-01,AKTIF
982639249526,011431023030297,OSS-3497914,UD HANDAYANI TBK,UD HANDAYA,GANG RUNGKUT INDUSTRI NO. 01,BANJARMASIN,ID-19,14401,(0326) 212-0393,CV,DISAHKAN,AKTIF,0,0,,,,2026-01-28,AKTIF
622815104234,043821246522132,OSS-0411012,PD MAYASARI WIDIASTUTI TBK,PD MAYASAR,JL. RONGGOWARSITO NO. 4,KOTA ADMINISTRASI JAKARTA TIMUR,ID-21,59503,+62-038-847-0846,Firma,PROSES,TIDAK AKTIF,0,1,,,NIPER-41566,2026-01-22,AKTIF
514903479477,646377227451776,OSS-3049315,HUTASOIT RAMADAN,HUTASOIT R,JL. MOCH. TOHA NO. 738,MOJOKERTO,ID-82,28551,+62 (306) 337 7318,PT,PROSES,DIBEKUKAN,1,1,API-U,09332-API,NIPER-81384,2026-02-17,AKTIF
231465126172,513274074920069,OSS-8753010,PD KUSUMO (PERSERO) TBK,PD KUSUMO,JALAN KENDALSARI NO. 67,KEDIRI,ID-57,68300,+62 (04) 809-8244,Firma,TERDAFTAR,TIDAK AKTIF,1,0,API-U,12315-API,,2026-01-06,AKTIF
611097688845,846890517748781,OSS-9222988,DAMANIK SUSANTI (PERSERO) TBK,DAMANIK SU,JL. M.T HARYONO NO. 58,SIBOLGA,ID-68,69889,0835879232,CV,DISAHKAN,TIDAK AKTIF,0,0,,,,2026-02-20,AKTIF
959807214258,835790261163785,OSS-6903557,NUGROHO,NUGROHO,JALAN IR. H. DJUANDA NO. 6,MAGELANG,ID-10,15403,+62-0952-607-1664,Firma,PROSES,DIBEKUKAN,1,0,API-P,47875-API,,2026-02-08,AKTIF
602674121638,637537422811119,OSS-9609960,PERUM NAINGGOLAN PRASTUTI (PERSERO) TBK,PERUM NAIN,JALAN SETIABUDHI NO. 0,BATAM,ID-98,81653,+62 (985) 153 2092,Firma,DISAHKAN,DIBEKUKAN,1,1,API-U,83534-API,NIPER-24950,2026-02-06,AKTIF
846065589420,260584406563020,OSS-9429009,PERUM ADRIANSYAH NABABAN (PERSERO) TBK,PERUM ADRI,GG. KAPTEN MUSLIHAT NO. 75,MOJOKERTO,ID-29,79493,(040) 893 4357,PT,TERDAFTAR,DIBEKUKAN,0,1,,,NIPER-81420,2026-01-17,AKTIF
119381576638,998172519026579,OSS-3324939,UD HALIM,UD HALIM,GG. SUKABUMI NO. 691,TUAL,ID-18,06312,+62-124-413-6503,Firma,PROSES,TIDAK AKTIF,1,0,API-U,96681-API,,2026-01-26,AKTIF
249975294902,745820575706426,OSS-7859839,PD MARDHIYAH (PERSERO) TBK,PD MARDHIY,GANG YOS SUDARSO NO. 506,PADANG,ID-73,41125,(0917) 917-7072,PT,TERDAFTAR,TIDAK AKTIF,0,1,,,NIPER-57399,2026-01-22,AKTIF
616453454722,398983065031219,OSS-8041847,UD MEGANTARA FUJIATI,UD MEGANTA,JL. TUBAGUS ISMAIL NO. 28,KEDIRI,ID-28,90924,0876230391,Perum,TERDAFTAR,AKTIF,0,0,,,,2026-01-05,AKTIF
