NIB,NPWP_PERSEROAN,NAMA_PERSEROAN,NAMA_SINGKATAN,JENIS_PERSEROAN,STATUS_BADAN_HUKUM,STATUS_PERSEROAN,ALAMAT_PERSEROAN,KELURAHAN_PERSEROAN,PERSEROAN_DAERAH_ID,KODE_POS_PERSEROAN,FLAG_IMPOR,FLAG_EKSPOR,JENIS_API,TGL_PERUBAHAN_NIB,STATUS_NIB,IS_NPWP_INVALID,IS_INCOMPLETE,IS_DAERAH_VALID,IS_STALE,IS_CLEANED,CLEANSING_TIMESTAMP,SOURCE,ID_PERUSAHAAN,NPWP,NAMA_PERUSAHAAN,ALAMAT_PERUSAHAAN,KELURAHAN,DAERAH_ID,KODE_POS,NOMOR_TELPON,KATEGORI,NIPER,NOMOR_API,TGL_TERBIT_NIB,KODE_KANTOR,TGL_SYNC_OSS,HIGH_SYNC_LAG
7468723430980,95.321.058.0-598.488,PT HIDAYANTO USAMAH,PT,UD,Berbadan Hukum,Aktif,Jl. Bkr No. 18,KOTA ADMINISTRASI JAKARTA UTARA,32.0,38299.0,Y,Y,API-U,2023-05-20,AKTIF,False,False,True,True,True,2026-06-12T00:25:15.625158,OSS,,,,,,,,,,,,,,,
1939909169985,33.209.685.5-244.271,CV KUSMAWATI WASITA (PERSERO) TBK,CV,Perum,Belum Berbadan Hukum,Aktif,Gg. Setiabudhi No. 67,TANGERANG,21.0,,Y,Y,API-P,2025-07-27,AKTIF,False,False,True,False,True,2026-06-12T00:25:15.625158,OSS,,,,,,,,,,,,,,,
1183842513542,56.853.556.4-626.826,CV NASYIAH HASSANAH,CV,PT,Berbadan Hukum,Tidak Aktif,Jalan Pelajar Pejuang No. 31,PURWOKERTO,73.0,,Y,Y,API-P,2023-08-08,AKTIF,False,False,True,True,True,2026-06-12T00:25:15.625158,OSS,,,,,,,,,,,,,,,
4935348740164,05.003.341.2-652.268,PD LAKSITA LAKSMIWATI,PD,UD,Belum Berbadan Hukum,Dibekukan,Jalan Jend. A. Yani No. 06,PALU,73.0,68723.0,N,Y,,2023-08-18,AKTIF,False,False,True,True,True,2026-06-12T00:25:15.625158,OSS,,,,,,,,,,,,,,,
2805982620450,45.215.698.3-682.105,CV HAKIM (PERSERO) TBK,CV,UD,Berbadan Hukum,Aktif,Jl. Indragiri No. 88,BANJARMASIN,21.0,21913.0,N,Y,,2023-12-29,DIBEKUKAN,False,False,True,True,True,2026-06-12T00:25:15.625158,OSS,,,,,,,,,,,,,,,
0000000000000,42.801.953.6-821.685,PT PURNAWATI PRAYOGA (PERSERO) TBK,PT,CV,Berbadan Hukum,Tidak Aktif,Gang Pasirkoja No. 534,BLITAR,33.0,75107.0,Y,Y,API-P,2025-08-21,AKTIF,False,False,True,False,True,2026-06-12T00:25:15.625158,OSS,,,,,,,,,,,,,,,
7543303654145,82.521.409.8-339.961,PT NASYIAH,PT,CV,Belum Berbadan Hukum,Aktif,Jalan Sentot Alibasa No. 354,PALEMBANG,31.0,98084.0,Y,Y,API-P,2025-06-08,AKTIF,False,False,True,True,True,2026-06-12T00:25:15.625158,OSS,,,,,,,,,,,,,,,
6981693406088,87.736.962.3-372.441,CV SAPTONO,CV,UD,Belum Berbadan Hukum,Dibekukan,Jl. Pasteur No. 93,GORONTALO,12.0,87401.0,N,Y,,2024-09-07,AKTIF,False,False,True,True,True,2026-06-12T00:25:15.625158,OSS,,,,,,,,,,,,,,,
5648236629946,70.853.000.4-293.215,UD GUNAWAN ADRIANSYAH TBK,UD,Perum,Belum Berbadan Hukum,Tidak Aktif,Jalan Cempaka No. 6,BINJAI,16.0,28059.0,N,Y,,2025-11-12,AKTIF,False,False,True,False,True,2026-06-12T00:25:15.625158,OSS,,,,,,,,,,,,,,,
2148951343320,05.250.486.9-870.786,PD MAHENDRA GUNARTO,PD,Perum,Berbadan Hukum,Dibekukan,Jalan Setiabudhi No. 315,,12.0,,N,N,,2025-10-09,AKTIF,False,False,True,False,True,2026-06-12T00:25:15.625158,OSS,,,,,,,,,,,,,,,
0000000000000,00.914.768.1-797.435,UD ZULKARNAIN WINARSIH,,PT,Berbadan Hukum,Aktif,Jalan Dr. Djunjunan No. 07,DUMAI,51.0,,Y,N,API-P,2023-10-01,DIBEKUKAN,False,False,True,True,True,2026-06-12T00:25:15.625158,OSS,,,,,,,,,,,,,,,
8957986872774,96.253.860.4-784.796,PD SITOMPUL SETIAWAN,PD,CV,Belum Berbadan Hukum,Tidak Aktif,Gang H.J Maemunah No. 6,BANDAR LAMPUNG,32.0,42940.0,N,Y,,2024-08-08,AKTIF,False,False,True,True,True,2026-06-12T00:25:15.625158,OSS,,,,,,,,,,,,,,,
8122362316658,59.425.063.3-852.430,PERUM FUJIATI,PERUM,Perum,Berbadan Hukum,Tidak Aktif,Gang Rungkut Industri No. 1,SAMARINDA,21.0,40608.0,Y,N,API-P,2025-03-09,DIBEKUKAN,False,False,True,True,True,2026-06-12T00:25:15.625158,OSS,,,,,,,,,,,,,,,
6889373467065,85.695.817.6-741.169,UD ASTUTI HIDAYAT,UD,Perum,Berbadan Hukum,Aktif,Jalan Rajawali Barat No. 4,MADIUN,18.0,,Y,N,API-U,2023-10-05,DIBEKUKAN,False,False,True,True,True,2026-06-12T00:25:15.625158,OSS,,,,,,,,,,,,,,,
4653755646417,02.767.552.0-974.358,CV SUSANTI PURNAWATI TBK,CV,PT,Berbadan Hukum,Aktif,Gg. Peta No. 699,PANGKALPINANG,51.0,73872.0,Y,Y,API-U,2023-11-09,AKTIF,False,False,True,True,True,2026-06-12T00:25:15.625158,OSS,,,,,,,,,,,,,,,
1937452991241,74.026.951.4-589.693,UD MULYANI,UD,CV,Berbadan Hukum,Dibekukan,Jl. Tebet Barat Dalam No. 33,BANDAR LAMPUNG,21.0,37917.0,N,Y,,2023-07-28,AKTIF,False,False,True,True,True,2026-06-12T00:25:15.625158,OSS,,,,,,,,,,,,,,,
9190586518506,62.108.443.5-650.912,PERUM NABABAN WINARNO TBK,PERUM,CV,Belum Berbadan Hukum,Dibekukan,Jl. Suryakencana No. 0,PAGARALAM,18.0,28708.0,Y,N,API-P,2025-08-10,AKTIF,False,False,True,False,True,2026-06-12T00:25:15.625158,OSS,,,,,,,,,,,,,,,
4531473799650,63.871.332.2-499.217,PT HASANAH MANSUR,PT,Firma,Belum Berbadan Hukum,Dibekukan,Gang Kendalsari No. 8,PURWOKERTO,21.0,27743.0,N,N,,2023-01-21,AKTIF,False,False,True,True,True,2026-06-12T00:25:15.625158,OSS,,,,,,,,,,,,,,,
3678377701436,88.249.313.9-377.484,PERUM LAKSITA (PERSERO) TBK,PERUM,Perum,Belum Berbadan Hukum,Tidak Aktif,Jalan Peta No. 455,BOGOR,35.0,36231.0,N,N,,2024-07-08,AKTIF,False,False,True,True,True,2026-06-12T00:25:15.625158,OSS,,,,,,,,,,,,,,,
3518233749894,12.852.198.4-232.369,PD SITOMPUL NAMAGA TBK,PD,PT,Berbadan Hukum,Tidak Aktif,Jl. Veteran No. 90,PARIAMAN,73.0,54668.0,N,Y,,2023-04-22,AKTIF,False,False,True,True,True,2026-06-12T00:25:15.625158,OSS,,,,,,,,,,,,,,,
2710947775204,61.116.841.1-410.503,PD PRASETYA SAPUTRA,PD,CV,Belum Berbadan Hukum,Aktif,Jalan Sukajadi No. 62,BLITAR,12.0,69901.0,Y,N,API-U,2023-08-31,AKTIF,False,False,True,True,True,2026-06-12T00:25:15.625158,OSS,,,,,,,,,,,,,,,
9938677496499,07.624.983.1-970.781,CV HARIYAH NAJMUDIN (PERSERO) TBK,CV,PT,Berbadan Hukum,Aktif,Gang Lembong No. 55,KOTA ADMINISTRASI JAKARTA UTARA,35.0,41708.0,Y,Y,API-P,2023-06-03,AKTIF,False,False,True,True,True,2026-06-12T00:25:15.625158,OSS,,,,,,,,,,,,,,,
9740344713493,54.117.557.3-663.152,UD PRASETYO,UD,PT,Berbadan Hukum,Tidak Aktif,Jl. Pacuan Kuda No. 092,BLITAR,12.0,19374.0,Y,N,API-U,2025-06-18,AKTIF,False,False,True,False,True,2026-06-12T00:25:15.625158,OSS,,,,,,,,,,,,,,,
6488771906594,03.093.234.9-601.973,CV SUDIATI (PERSERO) TBK,CV,UD,Berbadan Hukum,Aktif,Jalan Indragiri No. 496,TASIKMALAYA,31.0,19314.0,N,N,,2025-11-28,AKTIF,False,False,True,False,True,2026-06-12T00:25:15.625158,OSS,,,,,,,,,,,,,,,
2967175655125,52.710.507.4-678.967,PERUM GUNARTO,PERUM,PT,Belum Berbadan Hukum,Tidak Aktif,Gang Cikutra Timur No. 5,PADANGPANJANG,21.0,16572.0,Y,N,API-P,2023-08-26,DICABUT,False,False,True,True,True,2026-06-12T00:25:15.625158,OSS,,,,,,,,,,,,,,,
8087603859770,26.273.562.2-949.294,CV NURDIYANTI YULIANTI TBK,CV,PT,Berbadan Hukum,Dibekukan,Gang Kutai No. 53,,18.0,37996.0,N,Y,,2023-11-21,AKTIF,False,False,True,True,True,2026-06-12T00:25:15.625158,OSS,,,,,,,,,,,,,,,
1317127484677,31.467.564.2-392.195,PT LAILASARI TBK,PT,Firma,Belum Berbadan Hukum,Tidak Aktif,Jalan Setiabudhi No. 54,,64.0,,Y,N,API-U,2023-01-06,AKTIF,False,False,True,True,True,2026-06-12T00:25:15.625158,OSS,,,,,,,,,,,,,,,
9972787558867,41.890.193.3-585.392,PERUM PERMADI KUSMAWATI TBK,,PT,Belum Berbadan Hukum,Dibekukan,Jl. Phh. Mustofa No. 634,PAREPARE,51.0,68557.0,N,N,,2025-02-19,AKTIF,False,False,True,True,True,2026-06-12T00:25:15.625158,OSS,,,,,,,,,,,,,,,
2702895171870,92.147.419.2-076.480,UD RAMADAN (PERSERO) TBK,UD,Firma,Belum Berbadan Hukum,Dibekukan,Gg. Gedebage Selatan No. 8,,61.0,74989.0,N,Y,,2024-11-03,DICABUT,False,False,True,True,True,2026-06-12T00:25:15.625158,OSS,,,,,,,,,,,,,,,
6578091343161,97.648.720.1-454.170,PT NABABAN TBK,PT,PT,Berbadan Hukum,Tidak Aktif,Jalan Rajawali Barat No. 824,BANJARBARU,31.0,27109.0,N,Y,,2024-08-23,AKTIF,False,False,True,True,True,2026-06-12T00:25:15.625158,OSS,,,,,,,,,,,,,,,
3869222196937,74.146.237.7-653.260,PD KUSWANDARI TBK,PD,PT,Belum Berbadan Hukum,Tidak Aktif,Jl. Pasir Koja No. 11,,18.0,,N,Y,,2023-06-01,AKTIF,False,False,True,True,True,2026-06-12T00:25:15.625158,OSS,,,,,,,,,,,,,,,
9464743671369,45.588.302.4-022.849,PT PRAYOGA (PERSERO) TBK,PT,Firma,Berbadan Hukum,Dibekukan,Gg. Cihampelas No. 49,LHOKSEUMAWE,91.0,,N,Y,,2025-10-14,DIBEKUKAN,False,False,True,False,True,2026-06-12T00:25:15.625158,OSS,,,,,,,,,,,,,,,
3953394210470,74.373.749.2-092.931,CV PERMADI,CV,Perum,Berbadan Hukum,Aktif,Jl. Abdul Muis No. 79,KUPANG,12.0,34471.0,N,Y,,2025-01-19,AKTIF,False,False,True,True,True,2026-06-12T00:25:15.625158,OSS,,,,,,,,,,,,,,,
2474517123685,11.809.404.0-270.549,UD UTAMI RAHMAWATI,UD,Firma,Belum Berbadan Hukum,Dibekukan,Jalan R.E Martadinata No. 242,BANJARMASIN,35.0,49947.0,N,N,,2025-01-30,AKTIF,False,False,True,True,True,2026-06-12T00:25:15.625158,OSS,,,,,,,,,,,,,,,
0985931746120,04.311.504.1-099.240,PD SIHOMBING,PD,Perum,Belum Berbadan Hukum,Dibekukan,Gang Cempaka No. 906,SIBOLGA,35.0,,Y,N,API-P,2023-11-13,DIBEKUKAN,False,False,True,True,True,2026-06-12T00:25:15.625158,OSS,,,,,,,,,,,,,,,
7964053773515,69.923.660.5-062.407,UD PERMATA,,Perum,Berbadan Hukum,Dibekukan,Gg. M.T Haryono No. 7,DENPASAR,12.0,71756.0,Y,Y,API-U,2023-02-13,AKTIF,False,False,True,True,True,2026-06-12T00:25:15.625158,OSS,,,,,,,,,,,,,,,
2931839335290,35.879.148.2-553.256,UD WINARSIH (PERSERO) TBK,UD,PT,Berbadan Hukum,Aktif,Gang Yos Sudarso No. 68,PALU,61.0,54516.0,Y,N,API-U,2024-05-02,AKTIF,False,False,True,True,True,2026-06-12T00:25:15.625158,OSS,,,,,,,,,,,,,,,
0268117758917,64.226.968.9-044.744,PERUM HARIYAH,PERUM,Perum,Berbadan Hukum,Aktif,Jl. M.T Haryono No. 97,TUAL,61.0,34824.0,N,N,,2025-04-02,AKTIF,False,False,True,True,True,2026-06-12T00:25:15.625158,OSS,,,,,,,,,,,,,,,
0000000000000,56.075.920.1-329.622,PD MAHESWARA DABUKKE (PERSERO) TBK,PD,Firma,Belum Berbadan Hukum,Tidak Aktif,Jalan M.H Thamrin No. 13,PANGKALPINANG,33.0,27484.0,Y,N,API-U,2025-07-18,AKTIF,False,False,True,False,True,2026-06-12T00:25:15.625158,OSS,,,,,,,,,,,,,,,
1836736576615,54.320.681.4-383.976,PD HALIMAH PRASASTA TBK,PD,PT,Berbadan Hukum,Aktif,Jalan Kutisari Selatan No. 2,KOTA ADMINISTRASI JAKARTA UTARA,33.0,58404.0,N,Y,,2025-06-03,AKTIF,False,False,True,True,True,2026-06-12T00:25:15.625158,OSS,,,,,,,,,,,,,,,
2809885165604,76.319.360.1-591.519,PERUM PRASTUTI TBK,PERUM,CV,Berbadan Hukum,Tidak Aktif,Gang Sentot Alibasa No. 88,PALU,35.0,,Y,N,API-P,2023-08-24,AKTIF,False,False,True,True,True,2026-06-12T00:25:15.625158,OSS,,,,,,,,,,,,,,,
6899809402445,44.006.185.2-579.673,PT SIMANJUNTAK KUSMAWATI TBK,PT,PT,Berbadan Hukum,Dibekukan,Gg. Bkr No. 895,PALEMBANG,21.0,87026.0,Y,Y,API-U,2025-02-09,AKTIF,False,False,True,True,True,2026-06-12T00:25:15.625158,OSS,,,,,,,,,,,,,,,
5459910229014,56.677.434.7-621.452,PT HALIMAH SAPTONO,PT,CV,Berbadan Hukum,Tidak Aktif,Jalan Rumah Sakit No. 8,,16.0,80913.0,N,N,,2023-08-16,AKTIF,False,False,True,True,True,2026-06-12T00:25:15.625158,OSS,,,,,,,,,,,,,,,
7840369003432,97.261.296.5-122.007,CV ISWAHYUDI TBK,CV,CV,Berbadan Hukum,Tidak Aktif,Gg. Jend. A. Yani No. 4,BANJAR,36.0,,N,Y,,2025-10-21,AKTIF,False,False,True,False,True,2026-06-12T00:25:15.625158,OSS,,,,,,,,,,,,,,,
5160607159696,90.655.427.4-117.414,CV NURAINI ZULKARNAIN,CV,CV,Belum Berbadan Hukum,Dibekukan,Jl. Ciwastra No. 6,,31.0,37474.0,N,N,,2023-06-30,AKTIF,False,False,True,True,True,2026-06-12T00:25:15.625158,OSS,,,,,,,,,,,,,,,
9681645352181,67.522.198.5-359.744,PD SUWARNO,PD,PT,Berbadan Hukum,Tidak Aktif,Gg. Sentot Alibasa No. 4,TANJUNGBALAI,73.0,74367.0,Y,Y,API-U,2023-12-22,AKTIF,False,False,True,True,True,2026-06-12T00:25:15.625158,OSS,,,,,,,,,,,,,,,
1277997995527,08.480.452.4-815.281,CV WIBOWO,CV,UD,Berbadan Hukum,Tidak Aktif,Gang Asia Afrika No. 6,BALIKPAPAN,51.0,97439.0,Y,N,API-P,2025-07-14,AKTIF,False,False,True,False,True,2026-06-12T00:25:15.625158,OSS,,,,,,,,,,,,,,,
4119986798079,83.192.329.9-487.513,CV USADA (PERSERO) TBK,CV,PT,Belum Berbadan Hukum,Dibekukan,Jl. Medokan Ayu No. 0,PALEMBANG,33.0,95214.0,Y,Y,API-P,2025-10-30,AKTIF,False,False,True,False,True,2026-06-12T00:25:15.625158,OSS,,,,,,,,,,,,,,,
0000000000000,56.449.536.8-624.162,PD NATSIR (PERSERO) TBK,,Firma,Belum Berbadan Hukum,Tidak Aktif,Gang Jend. A. Yani No. 74,,21.0,12368.0,N,N,,2023-04-18,AKTIF,False,False,True,True,True,2026-06-12T00:25:15.625158,OSS,,,,,,,,,,,,,,,
1518644925192,44.317.990.6-132.609,PT WIDODO (PERSERO) TBK,PT,UD,Belum Berbadan Hukum,Dibekukan,Gg. Soekarno Hatta No. 4,SUBULUSSALAM,31.0,13709.0,Y,N,API-P,2023-09-19,AKTIF,False,False,True,True,True,2026-06-12T00:25:15.625158,OSS,,,,,,,,,,,,,,,
8168505423573,28.140.158.1-302.864,PERUM PRASETYA (PERSERO) TBK,PERUM,Firma,Berbadan Hukum,Dibekukan,Gang Gardujati No. 004,,61.0,38267.0,Y,N,API-U,2023-11-12,AKTIF,False,False,True,True,True,2026-06-12T00:25:15.625158,OSS,,,,,,,,,,,,,,,
9270653794738,30.316.988.7-925.855,PERUM ANDRIANI (PERSERO) TBK,PERUM,UD,Belum Berbadan Hukum,Tidak Aktif,Gg. Kendalsari No. 40,,35.0,,N,N,,2025-02-21,AKTIF,False,False,True,True,True,2026-06-12T00:25:15.625158,OSS,,,,,,,,,,,,,,,
2392407581814,10.781.164.4-460.927,PT WIDODO TBK,PT,PT,Berbadan Hukum,Tidak Aktif,Gg. Dipatiukur No. 3,BANJARBARU,32.0,32931.0,Y,N,API-P,2023-02-24,DICABUT,False,False,True,True,True,2026-06-12T00:25:15.625158,OSS,,,,,,,,,,,,,,,
5361530515220,36.939.849.7-712.851,PERUM PRATAMA PRADIPTA,,Perum,Berbadan Hukum,Aktif,Jl. Pelajar Pejuang No. 284,BINJAI,33.0,20539.0,N,Y,,2024-06-08,AKTIF,False,False,True,True,True,2026-06-12T00:25:15.625158,OSS,,,,,,,,,,,,,,,
0000000000000,77.540.433.1-794.295,PT NATSIR TBK,PT,PT,Berbadan Hukum,Aktif,Gg. Ahmad Dahlan No. 177,PEKANBARU,51.0,78390.0,N,N,,2025-07-25,AKTIF,False,False,True,False,True,2026-06-12T00:25:15.625158,OSS,,,,,,,,,,,,,,,
7980893246095,30.584.426.2-680.684,PD YUNIAR (PERSERO) TBK,PD,PT,Berbadan Hukum,Tidak Aktif,Gang W.R. Supratman No. 1,TASIKMALAYA,12.0,,N,N,,2023-03-31,AKTIF,False,False,True,True,True,2026-06-12T00:25:15.625158,OSS,,,,,,,,,,,,,,,
4051531952058,43.833.658.2-850.797,CV SAEFULLAH,CV,Perum,Berbadan Hukum,Aktif,Gang Erlangga No. 9,BENGKULU,91.0,83673.0,N,N,,2025-07-26,AKTIF,False,False,True,False,True,2026-06-12T00:25:15.625158,OSS,,,,,,,,,,,,,,,
3054868740345,99.048.886.5-279.127,UD HASANAH WACANA TBK,UD,Perum,Belum Berbadan Hukum,Dibekukan,Gang Raya Setiabudhi No. 4,BUKITTINGGI,61.0,11116.0,N,N,,2025-03-02,AKTIF,False,False,True,True,True,2026-06-12T00:25:15.625158,OSS,,,,,,,,,,,,,,,
7584161692845,13.081.335.4-313.456,UD MUSTOFA,UD,CV,Belum Berbadan Hukum,Tidak Aktif,Jalan Tubagus Ismail No. 60,SERANG,64.0,51983.0,N,N,,2023-03-28,AKTIF,False,False,True,True,True,2026-06-12T00:25:15.625158,OSS,,,,,,,,,,,,,,,
9640165820297,04.129.068.3-797.660,PD PRASETYO KURNIAWAN,PD,Perum,Berbadan Hukum,Dibekukan,Jalan Pelajar Pejuang No. 3,SABANG,21.0,94024.0,N,Y,,2025-07-10,DICABUT,False,False,True,False,True,2026-06-12T00:25:15.625158,OSS,,,,,,,,,,,,,,,
1928565431027,66.396.935.8-120.268,UD TAMPUBOLON (PERSERO) TBK,UD,Perum,Berbadan Hukum,Dibekukan,Gg. Cikutra Timur No. 018,METRO,35.0,75254.0,N,N,,2014-10-16,AKTIF,False,False,True,True,True,2026-06-12T00:25:15.625158,OSS,,,,,,,,,,,,,,,
0727155188442,91.726.949.2-812.370,PERUM RIYANTI (PERSERO) TBK,PERUM,CV,Berbadan Hukum,Aktif,Jl. Wonoayu No. 147,PASURUAN,32.0,64381.0,Y,N,API-U,2023-02-23,AKTIF,False,False,True,True,True,2026-06-12T00:25:15.625158,OSS,,,,,,,,,,,,,,,
7829114678669,09.128.995.5-657.075,PD KUSUMO TBK,,UD,Belum Berbadan Hukum,Aktif,Jalan Merdeka No. 90,GORONTALO,18.0,,N,Y,,2023-09-22,AKTIF,False,False,True,True,True,2026-06-12T00:25:15.625158,OSS,,,,,,,,,,,,,,,
0182422535841,32.201.650.8-281.128,PT MANDASARI,PT,UD,Berbadan Hukum,Dibekukan,Jl. Sukabumi No. 3,BATU,73.0,,N,Y,,2023-11-12,AKTIF,False,False,True,True,True,2026-06-12T00:25:15.625158,OSS,,,,,,,,,,,,,,,
9590010943969,81.031.509.8-296.657,PERUM ARYANI TBK,,CV,Belum Berbadan Hukum,Tidak Aktif,Jalan Surapati No. 529,TANJUNGBALAI,12.0,,N,N,,2023-05-30,AKTIF,False,False,True,True,True,2026-06-12T00:25:15.625158,OSS,,,,,,,,,,,,,,,
6773592555625,65.575.108.5-247.477,PERUM HUTAPEA WIDODO TBK,,Perum,Berbadan Hukum,Aktif,Gg. Jend. A. Yani No. 818,MALANG,35.0,23124.0,N,N,,2023-04-14,AKTIF,False,False,True,True,True,2026-06-12T00:25:15.625158,OSS,,,,,,,,,,,,,,,
9632595327877,39.509.023.1-967.402,CV SUARTINI MANGUNSONG,CV,CV,Berbadan Hukum,Dibekukan,Gg. Rawamangun No. 9,TANGERANG SELATAN,32.0,52717.0,N,N,,2023-04-10,AKTIF,False,False,True,True,True,2026-06-12T00:25:15.625158,OSS,,,,,,,,,,,,,,,
7480162456506,06.583.575.3-371.566,UD SAEFULLAH RAHAYU (PERSERO) TBK,UD,UD,Belum Berbadan Hukum,Dibekukan,Gg. Rawamangun No. 00,KOTAMOBAGU,12.0,19986.0,Y,N,API-P,2023-09-01,AKTIF,False,False,True,True,True,2026-06-12T00:25:15.625158,OSS,,,,,,,,,,,,,,,
5852398680002,91.341.823.7-531.467,PERUM PUSPASARI GUNARTO TBK,PERUM,UD,Belum Berbadan Hukum,Aktif,Gang S. Parman No. 071,TASIKMALAYA,33.0,82037.0,Y,N,API-P,2024-09-04,AKTIF,False,False,True,True,True,2026-06-12T00:25:15.625158,OSS,,,,,,,,,,,,,,,
8879470551694,92.893.704.0-611.485,PERUM NURDIYANTI SURYATMI (PERSERO) TBK,PERUM,UD,Belum Berbadan Hukum,Aktif,Gang Sukajadi No. 59,SORONG,12.0,15186.0,Y,N,API-U,2023-10-30,DIBEKUKAN,False,False,True,True,True,2026-06-12T00:25:15.625158,OSS,,,,,,,,,,,,,,,
9130756263689,60.893.868.0-722.141,UD WAHYUNI (PERSERO) TBK,UD,Perum,Belum Berbadan Hukum,Tidak Aktif,Jl. Sentot Alibasa No. 62,LHOKSEUMAWE,32.0,52816.0,Y,N,API-P,2025-07-30,DICABUT,False,False,True,False,True,2026-06-12T00:25:15.625158,OSS,,,,,,,,,,,,,,,
5497334843443,88.721.500.5-491.357,PT TARIHORAN TBK,,Firma,Berbadan Hukum,Dibekukan,Gg. Rajiman No. 322,KUPANG,35.0,88805.0,N,N,,2025-03-19,DICABUT,False,False,True,True,True,2026-06-12T00:25:15.625158,OSS,,,,,,,,,,,,,,,
2404157473384,71.712.278.2-111.630,PERUM WALUYO MANGUNSONG,,PT,Berbadan Hukum,Dibekukan,Jl. Cempaka No. 653,SINGKAWANG,33.0,73834.0,Y,Y,API-U,2023-04-18,AKTIF,False,False,True,True,True,2026-06-12T00:25:15.625158,OSS,,,,,,,,,,,,,,,
7120826773454,82.060.929.1-667.587,CV UWAIS WASTUTI TBK,CV,Perum,Berbadan Hukum,Aktif,Gang S. Parman No. 6,DUMAI,51.0,40758.0,Y,N,API-U,2025-10-11,AKTIF,False,False,True,False,True,2026-06-12T00:25:15.625158,OSS,,,,,,,,,,,,,,,
