NIB,NPWP_PERSEROAN,NAMA_PERSEROAN,NAMA_SINGKATAN,JENIS_PERSEROAN,STATUS_BADAN_HUKUM,STATUS_PERSEROAN,ALAMAT_PERSEROAN,KELURAHAN_PERSEROAN,PERSEROAN_DAERAH_ID,KODE_POS_PERSEROAN,FLAG_IMPOR,FLAG_EKSPOR,JENIS_API,TGL_PERUBAHAN_NIB,STATUS_NIB,IS_NPWP_INVALID,IS_INCOMPLETE,IS_DAERAH_VALID,IS_STALE,IS_CLEANED,CLEANSING_TIMESTAMP
3518233749894,12.852.198.4-232.369,PD SITOMPUL NAMAGA TBK,PD,PT,Berbadan Hukum,Tidak Aktif,Jl.. Veteran No.. 90,PARIAMAN,73,,N,Y,,2023-04-22,AKTIF,False,False,True,True,True,2026-06-11 14:21:15
2710947775204,61.116.841.1-410.503,PD PRASETYA SAPUTRA,PD,CV,Belum Berbadan Hukum,Aktif,Jalan Sukajadi No.. 62,BLITAR,12,,Y,N,API-U,2023-08-31,AKTIF,False,False,True,True,True,2026-06-11 14:21:15
9938677496499,07.624.983.1-970.781,CV HARIYAH NAJMUDIN (PERSERO) TBK,CV,PT,Berbadan Hukum,Aktif,Gang Lembong No.. 55,KOTA ADMINISTRASI JAKARTA UTARA,35,,Y,Y,API-P,2023-06-03,AKTIF,False,False,True,True,True,2026-06-11 14:21:15
9740344713493,54.117.557.3-663.152,UD PRASETYO,UD,PT,Berbadan Hukum,Tidak Aktif,Jl.. Pacuan Kuda No.. 092,BLITAR,12,,Y,N,API-U,2025-06-18,AKTIF,False,False,True,False,True,2026-06-11 14:21:15
6488771906594,03.093.234.9-601.973,CV SUDIATI (PERSERO) TBK,CV,UD,Berbadan Hukum,Aktif,Jalan Indragiri No.. 496,TASIKMALAYA,31,,N,N,,2025-11-28,AKTIF,False,False,True,False,True,2026-06-11 14:21:15
2967175655125,52.710.507.4-678.967,PERUM GUNARTO,PERUM,PT,Belum Berbadan Hukum,Tidak Aktif,Gang Cikutra Timur No.. 5,PADANGPANJANG,21,,Y,N,API-P,2023-08-26,DICABUT,False,False,True,True,True,2026-06-11 14:21:15
8087603859770,26.273.562.2-949.294,CV NURDIYANTI YULIANTI TBK,CV,PT,Berbadan Hukum,Dibekukan,Gang Kutai No.. 53,,18,,N,Y,,2023-11-21,AKTIF,False,False,True,True,True,2026-06-11 14:21:15
1317127484677,31.467.564.2-392.195,PT LAILASARI TBK,PT,Firma,Belum Berbadan Hukum,Tidak Aktif,Jalan Setiabudhi No.. 54,,64,,Y,N,API-U,2023-01-06,AKTIF,False,False,True,True,True,2026-06-11 14:21:15
9972787558867,41.890.193.3-585.392,PERUM PERMADI KUSMAWATI TBK,,PT,Belum Berbadan Hukum,Dibekukan,Jl.. Phh. Mustofa No.. 634,PAREPARE,51,,N,N,,2025-02-19,AKTIF,False,False,True,True,True,2026-06-11 14:21:15
2702895171870,92.147.419.2-076.480,UD RAMADAN (PERSERO) TBK,UD,Firma,Belum Berbadan Hukum,Dibekukan,Gg. Gedebage Selatan No.. 8,,61,,N,Y,,2024-11-03,DICABUT,False,False,True,True,True,2026-06-11 14:21:15
6578091343161,97.648.720.1-454.170,PT NABABAN TBK,PT,PT,Berbadan Hukum,Tidak Aktif,Jalan Rajawali Barat No.. 824,BANJARBARU,31,,N,Y,,2024-08-23,AKTIF,False,False,True,True,True,2026-06-11 14:21:15
3869222196937,74.146.237.7-653.260,PD KUSWANDARI TBK,PD,PT,Belum Berbadan Hukum,Tidak Aktif,Jl.. Pasir Koja No.. 11,,18,,N,Y,,2023-06-01,AKTIF,False,False,True,True,True,2026-06-11 14:21:15
9464743671369,45.588.302.4-022.849,PT PRAYOGA (PERSERO) TBK,PT,Firma,Berbadan Hukum,Dibekukan,Gg. Cihampelas No.. 49,LHOKSEUMAWE,91,,N,Y,,2025-10-14,DIBEKUKAN,False,False,True,False,True,2026-06-11 14:21:15
3953394210470,74.373.749.2-092.931,CV PERMADI,CV,Perum,Berbadan Hukum,Aktif,Jl.. Abdul Muis No.. 79,KUPANG,12,,N,Y,,2025-01-19,AKTIF,False,False,True,True,True,2026-06-11 14:21:15
2474517123685,11.809.404.0-270.549,UD UTAMI RAHMAWATI,UD,Firma,Belum Berbadan Hukum,Dibekukan,Jalan R.E Martadinata No.. 242,BANJARMASIN,35,,N,N,,2025-01-30,AKTIF,False,False,True,True,True,2026-06-11 14:21:15
0985931746120,04.311.504.1-099.240,PD SIHOMBING,PD,Perum,Belum Berbadan Hukum,Dibekukan,Gang Cempaka No.. 906,SIBOLGA,35,13990,Y,N,API-P,2023-11-13,DIBEKUKAN,False,False,True,True,True,2026-06-11 14:21:15
7964053773515,69.923.660.5-062.407,UD PERMATA,,Perum,Berbadan Hukum,Dibekukan,Gg. M.T Haryono No.. 7,DENPASAR,12,,Y,Y,API-U,2023-02-13,AKTIF,False,False,True,True,True,2026-06-11 14:21:15
2931839335290,35.879.148.2-553.256,UD WINARSIH (PERSERO) TBK,UD,PT,Berbadan Hukum,Aktif,Gang Yos Sudarso No.. 68,PALU,61,,Y,N,API-U,2024-05-02,AKTIF,False,False,True,True,True,2026-06-11 14:21:15
0268117758917,64.226.968.9-044.744,PERUM HARIYAH,PERUM,Perum,Berbadan Hukum,Aktif,Jl.. M.T Haryono No.. 97,TUAL,61,,N,N,,2025-04-02,AKTIF,False,False,True,True,True,2026-06-11 14:21:15
0000000000000,56.075.920.1-329.622,PD MAHESWARA DABUKKE (PERSERO) TBK,PD,Firma,Belum Berbadan Hukum,Tidak Aktif,Jalan M.H Thamrin No.. 13,PANGKALPINANG,33,,Y,N,API-U,2025-07-18,AKTIF,False,False,True,False,True,2026-06-11 14:21:15
1836736576615,54.320.681.4-383.976,PD HALIMAH PRASASTA TBK,PD,PT,Berbadan Hukum,Aktif,Jalan Kutisari Selatan No.. 2,KOTA ADMINISTRASI JAKARTA UTARA,33,,N,Y,,2025-06-03,AKTIF,False,False,True,True,True,2026-06-11 14:21:15
2809885165604,76.319.360.1-591.519,PERUM PRASTUTI TBK,PERUM,CV,Berbadan Hukum,Tidak Aktif,Gang Sentot Alibasa No.. 88,PALU,35,,Y,N,API-P,2023-08-24,AKTIF,False,False,True,True,True,2026-06-11 14:21:15
6899809402445,44.006.185.2-579.673,PT SIMANJUNTAK KUSMAWATI TBK,PT,PT,Berbadan Hukum,Dibekukan,Gg. Bkr No.. 895,PALEMBANG,21,,Y,Y,API-U,2025-02-09,AKTIF,False,False,True,True,True,2026-06-11 14:21:15
5459910229014,56.677.434.7-621.452,PT HALIMAH SAPTONO,PT,CV,Berbadan Hukum,Tidak Aktif,Jalan Rumah Sakit No.. 8,,16,,N,N,,2023-08-16,AKTIF,False,False,True,True,True,2026-06-11 14:21:15
7840369003432,97.261.296.5-122.007,CV ISWAHYUDI TBK,CV,CV,Berbadan Hukum,Tidak Aktif,Gg. Jend. A. Yani No.. 4,BANJAR,36,45560,N,Y,,2025-10-21,AKTIF,False,False,True,False,True,2026-06-11 14:21:15
5160607159696,90.655.427.4-117.414,CV NURAINI ZULKARNAIN,CV,CV,Belum Berbadan Hukum,Dibekukan,Jl.. Ciwastra No.. 6,,31,,N,N,,2023-06-30,AKTIF,False,False,True,True,True,2026-06-11 14:21:15
9681645352181,67.522.198.5-359.744,PD SUWARNO,PD,PT,Berbadan Hukum,Tidak Aktif,Gg. Sentot Alibasa No.. 4,TANJUNGBALAI,73,,Y,Y,API-U,2023-12-22,AKTIF,False,False,True,True,True,2026-06-11 14:21:15
1277997995527,08.480.452.4-815.281,CV WIBOWO,CV,UD,Berbadan Hukum,Tidak Aktif,Gang Asia Afrika No.. 6,BALIKPAPAN,51,,Y,N,API-P,2025-07-14,AKTIF,False,False,True,False,True,2026-06-11 14:21:15
4119986798079,83.192.329.9-487.513,CV USADA (PERSERO) TBK,CV,PT,Belum Berbadan Hukum,Dibekukan,Jl.. Medokan Ayu No.. 0,PALEMBANG,33,,Y,Y,API-P,2025-10-30,AKTIF,False,False,True,False,True,2026-06-11 14:21:15
0000000000000,56.449.536.8-624.162,PD NATSIR (PERSERO) TBK,,Firma,Belum Berbadan Hukum,Tidak Aktif,Gang Jend. A. Yani No.. 74,,21,,N,N,,2023-04-18,AKTIF,False,False,True,True,True,2026-06-11 14:21:15
1518644925192,44.317.990.6-132.609,PT WIDODO (PERSERO) TBK,PT,UD,Belum Berbadan Hukum,Dibekukan,Gg. Soekarno Hatta No.. 4,SUBULUSSALAM,31,,Y,N,API-P,2023-09-19,AKTIF,False,False,True,True,True,2026-06-11 14:21:15
8168505423573,28.140.158.1-302.864,PERUM PRASETYA (PERSERO) TBK,PERUM,Firma,Berbadan Hukum,Dibekukan,Gang Gardujati No.. 004,,61,,Y,N,API-U,2023-11-12,AKTIF,False,False,True,True,True,2026-06-11 14:21:15
9270653794738,30.316.988.7-925.855,PERUM ANDRIANI (PERSERO) TBK,PERUM,UD,Belum Berbadan Hukum,Tidak Aktif,Gg. Kendalsari No.. 40,,35,,N,N,,2025-02-21,AKTIF,False,False,True,True,True,2026-06-11 14:21:15
2392407581814,10.781.164.4-460.927,PT WIDODO TBK,PT,PT,Berbadan Hukum,Tidak Aktif,Gg. Dipatiukur No.. 3,BANJARBARU,32,,Y,N,API-P,2023-02-24,DICABUT,False,False,True,True,True,2026-06-11 14:21:15
5361530515220,36.939.849.7-712.851,PERUM PRATAMA PRADIPTA,,Perum,Berbadan Hukum,Aktif,Jl.. Pelajar Pejuang No.. 284,BINJAI,33,,N,Y,,2024-06-08,AKTIF,False,False,True,True,True,2026-06-11 14:21:15
0000000000000,77.540.433.1-794.295,PT NATSIR TBK,PT,PT,Berbadan Hukum,Aktif,Gg. Ahmad Dahlan No.. 177,PEKANBARU,51,,N,N,,2025-07-25,AKTIF,False,False,True,False,True,2026-06-11 14:21:15
7980893246095,30.584.426.2-680.684,PD YUNIAR (PERSERO) TBK,PD,PT,Berbadan Hukum,Tidak Aktif,Gang W.R. Supratman No.. 1,TASIKMALAYA,12,,N,N,,2023-03-31,AKTIF,False,False,True,True,True,2026-06-11 14:21:15
4051531952058,43.833.658.2-850.797,CV SAEFULLAH,CV,Perum,Berbadan Hukum,Aktif,Gang Erlangga No.. 9,BENGKULU,91,,N,N,,2025-07-26,AKTIF,False,False,True,False,True,2026-06-11 14:21:15
3054868740345,99.048.886.5-279.127,UD HASANAH WACANA TBK,UD,Perum,Belum Berbadan Hukum,Dibekukan,Gang Raya Setiabudhi No.. 4,BUKITTINGGI,61,,N,N,,2025-03-02,AKTIF,False,False,True,True,True,2026-06-11 14:21:15
7584161692845,13.081.335.4-313.456,UD MUSTOFA,UD,CV,Belum Berbadan Hukum,Tidak Aktif,Jalan Tubagus Ismail No.. 60,SERANG,64,,N,N,,2023-03-28,AKTIF,False,False,True,True,True,2026-06-11 14:21:15
9640165820297,04.129.068.3-797.660,PD PRASETYO KURNIAWAN,PD,Perum,Berbadan Hukum,Dibekukan,Jalan Pelajar Pejuang No.. 3,SABANG,21,,N,Y,,2025-07-10,DICABUT,False,False,True,False,True,2026-06-11 14:21:15
1928565431027,66.396.935.8-120.268,UD TAMPUBOLON (PERSERO) TBK,UD,Perum,Berbadan Hukum,Dibekukan,Gg. Cikutra Timur No.. 018,METRO,35,,N,N,,2014-10-16,AKTIF,False,False,True,True,True,2026-06-11 14:21:15
0727155188442,91.726.949.2-812.370,PERUM RIYANTI (PERSERO) TBK,PERUM,CV,Berbadan Hukum,Aktif,Jl.. Wonoayu No.. 147,PASURUAN,32,,Y,N,API-U,2023-02-23,AKTIF,False,False,True,True,True,2026-06-11 14:21:15
7829114678669,09.128.995.5-657.075,PD KUSUMO TBK,,UD,Belum Berbadan Hukum,Aktif,Jalan Merdeka No.. 90,GORONTALO,18,,N,Y,,2023-09-22,AKTIF,False,False,True,True,True,2026-06-11 14:21:15
0182422535841,32.201.650.8-281.128,PT MANDASARI,PT,UD,Berbadan Hukum,Dibekukan,Jl.. Sukabumi No.. 3,BATU,73,60710,N,Y,,2023-11-12,AKTIF,False,False,True,True,True,2026-06-11 14:21:15
9590010943969,81.031.509.8-296.657,PERUM ARYANI TBK,,CV,Belum Berbadan Hukum,Tidak Aktif,Jalan Surapati No.. 529,TANJUNGBALAI,12,,N,N,,2023-05-30,AKTIF,False,False,True,True,True,2026-06-11 14:21:15
6773592555625,65.575.108.5-247.477,PERUM HUTAPEA WIDODO TBK,,Perum,Berbadan Hukum,Aktif,Gg. Jend. A. Yani No.. 818,MALANG,35,,N,N,,2023-04-14,AKTIF,False,False,True,True,True,2026-06-11 14:21:15
9632595327877,39.509.023.1-967.402,CV SUARTINI MANGUNSONG,CV,CV,Berbadan Hukum,Dibekukan,Gg. Rawamangun No.. 9,TANGERANG SELATAN,32,,N,N,,2023-04-10,AKTIF,False,False,True,True,True,2026-06-11 14:21:15
7480162456506,06.583.575.3-371.566,UD SAEFULLAH RAHAYU (PERSERO) TBK,UD,UD,Belum Berbadan Hukum,Dibekukan,Gg. Rawamangun No.. 00,KOTAMOBAGU,12,,Y,N,API-P,2023-09-01,AKTIF,False,False,True,True,True,2026-06-11 14:21:15
5852398680002,91.341.823.7-531.467,PERUM PUSPASARI GUNARTO TBK,PERUM,UD,Belum Berbadan Hukum,Aktif,Gang S. Parman No.. 071,TASIKMALAYA,33,,Y,N,API-P,2024-09-04,AKTIF,False,False,True,True,True,2026-06-11 14:21:15
8879470551694,92.893.704.0-611.485,PERUM NURDIYANTI SURYATMI (PERSERO) TBK,PERUM,UD,Belum Berbadan Hukum,Aktif,Gang Sukajadi No.. 59,SORONG,12,,Y,N,API-U,2023-10-30,DIBEKUKAN,False,False,True,True,True,2026-06-11 14:21:15
9130756263689,60.893.868.0-722.141,UD WAHYUNI (PERSERO) TBK,UD,Perum,Belum Berbadan Hukum,Tidak Aktif,Jl.. Sentot Alibasa No.. 62,LHOKSEUMAWE,32,,Y,N,API-P,2025-07-30,DICABUT,False,False,True,False,True,2026-06-11 14:21:15
5497334843443,88.721.500.5-491.357,PT TARIHORAN TBK,,Firma,Berbadan Hukum,Dibekukan,Gg. Rajiman No.. 322,KUPANG,35,,N,N,,2025-03-19,DICABUT,False,False,True,True,True,2026-06-11 14:21:15
2404157473384,71.712.278.2-111.630,PERUM WALUYO MANGUNSONG,,PT,Berbadan Hukum,Dibekukan,Jl.. Cempaka No.. 653,SINGKAWANG,33,,Y,Y,API-U,2023-04-18,AKTIF,False,False,True,True,True,2026-06-11 14:21:15
7120826773454,82.060.929.1-667.587,CV UWAIS WASTUTI TBK,CV,Perum,Berbadan Hukum,Aktif,Gang S. Parman No.. 6,DUMAI,51,,Y,N,API-U,2025-10-11,AKTIF,False,False,True,False,True,2026-06-11 14:21:15
4004991547887,17.871.516.7-279.197,PERUM MAHESWARA,PERUM,CV,Belum Berbadan Hukum,Dibekukan,Jl.. Pasteur No.. 82,BEKASI,61,,Y,N,API-P,2024-01-17,AKTIF,False,False,True,True,True,2026-06-11 14:21:15
4932966851612,17.488.331.3-006.267,PERUM WAHYUDIN PRAKASA TBK,PERUM,Firma,Belum Berbadan Hukum,Tidak Aktif,Jalan Astana Anyar No.. 15,BOGOR,21,,Y,Y,API-P,2024-06-19,AKTIF,False,False,True,True,True,2026-06-11 14:21:15
0174268414593,28.980.136.7-156.465,PT BUDIYANTO,PT,Perum,Belum Berbadan Hukum,Dibekukan,Jl.. M.H Thamrin No.. 9,BINJAI,33,,N,Y,,2024-05-21,AKTIF,False,False,True,True,True,2026-06-11 14:21:15
1878519108839,68.153.168.5-874.532,PERUM HARYANTI HARYANTO (PERSERO) TBK,PERUM,UD,Belum Berbadan Hukum,Aktif,Jl.. Ir. H. Djuanda No.. 60,KENDARI,18,,Y,N,API-U,2023-04-24,DICABUT,False,False,True,True,True,2026-06-11 14:21:15
7908740640391,05.433.352.1-554.061,PD HALIMAH,,PT,Belum Berbadan Hukum,Tidak Aktif,Gang Pasir Koja No.. 0,,12,,N,Y,,2023-10-05,AKTIF,False,False,True,True,True,2026-06-11 14:21:15
6567661825128,50.541.130.3-854.003,UD PALASTRI,UD,Perum,Belum Berbadan Hukum,Dibekukan,Gg. Ronggowarsito No.. 2,BATAM,35,,Y,N,API-P,2024-04-15,AKTIF,False,False,True,True,True,2026-06-11 14:21:15
4310690331190,57.612.688.0-250.758,UD SARAGIH,UD,Perum,Berbadan Hukum,Dibekukan,Gang Bkr No.. 3,MANADO,31,,N,Y,,2023-04-26,AKTIF,False,False,True,True,True,2026-06-11 14:21:15
3959953428364,35.062.570.9-900.752,PD WINARNO SIRAIT (PERSERO) TBK,PD,UD,Belum Berbadan Hukum,Aktif,Gang M.T Haryono No.. 16,PALANGKARAYA,73,,N,N,,2025-02-19,AKTIF,False,False,True,True,True,2026-06-11 14:21:15
6624628733427,07.575.422.6-570.542,UD SAMOSIR TBK,,CV,Belum Berbadan Hukum,Aktif,Gg. Sentot Alibasa No.. 05,KOTA ADMINISTRASI JAKARTA UTARA,33,,N,N,,2023-06-11,DICABUT,False,False,True,True,True,2026-06-11 14:21:15
1830469901398,27.490.213.5-310.979,CV SUDIATI,CV,PT,Belum Berbadan Hukum,Aktif,Jl.. Cikutra Timur No.. 556,SIBOLGA,31,,Y,N,API-U,2025-03-23,DICABUT,False,False,True,True,True,2026-06-11 14:21:15
4678544587717,97.859.327.3-379.320,PERUM UTAMA WIDODO,PERUM,CV,Berbadan Hukum,Tidak Aktif,Jalan Gardujati No.. 278,SABANG,16,,Y,N,API-U,2024-08-27,AKTIF,False,False,True,True,True,2026-06-11 14:21:15
6937854777252,17.737.559.7-188.938,PD PANGESTU (PERSERO) TBK,PD,PT,Berbadan Hukum,Aktif,Gg. Jend. Sudirman No.. 7,TANGERANG SELATAN,35,,Y,N,API-U,2023-10-09,DIBEKUKAN,False,False,True,True,True,2026-06-11 14:21:15
2038750997700,68.564.421.0-017.542,CV UYAINAH (PERSERO) TBK,CV,UD,Belum Berbadan Hukum,Aktif,Jl.. Kiaracondong No.. 370,,33,,N,N,,2024-01-03,AKTIF,False,False,True,True,True,2026-06-11 14:21:15
0339845461567,72.249.713.3-307.700,UD WIDODO,UD,Perum,Belum Berbadan Hukum,Tidak Aktif,Gang Joyoboyo No.. 251,PANGKALPINANG,12,,Y,N,API-U,2023-04-25,AKTIF,False,False,True,True,True,2026-06-11 14:21:15
1765918033974,05.946.076.4-920.556,PERUM HAKIM MAHESWARA (PERSERO) TBK,,Firma,Berbadan Hukum,Aktif,Jl.. Raya Ujungberung No.. 3,PEMATANGSIANTAR,51,,Y,Y,API-U,2025-03-26,DICABUT,False,False,True,True,True,2026-06-11 14:21:15
9396856218501,55.237.858.1-348.619,UD SUSANTI NASYIDAH,UD,Firma,Berbadan Hukum,Dibekukan,Jl.. Jend. A. Yani No.. 9,SALATIGA,35,10940,N,N,,2025-07-11,AKTIF,False,False,True,False,True,2026-06-11 14:21:15
6629619431142,48.728.802.2-757.398,PERUM AGUSTINA SAFITRI,PERUM,PT,Berbadan Hukum,Aktif,Gang H.J Maemunah No.. 73,LANGSA,12,,N,N,,2025-06-29,AKTIF,False,False,True,False,True,2026-06-11 14:21:15
2126788861015,70.095.611.9-803.332,PD PUTRA SIREGAR (PERSERO) TBK,PD,Perum,Belum Berbadan Hukum,Aktif,Gang Surapati No.. 588,LUBUKLINGGAU,21,,Y,Y,API-P,2025-12-03,AKTIF,False,False,True,False,True,2026-06-11 14:21:15
2444721264647,09.369.257.3-738.640,PT HARDIANSYAH SIREGAR,PT,PT,Berbadan Hukum,Tidak Aktif,Jalan Jamika No.. 95,,36,,Y,Y,API-P,2025-03-21,AKTIF,False,False,True,True,True,2026-06-11 14:21:15
