NIB,NPWP_PERSEROAN,NAMA_PERSEROAN,NAMA_SINGKATAN,JENIS_PERSEROAN,STATUS_BADAN_HUKUM,STATUS_PERSEROAN,ALAMAT_PERSEROAN,KELURAHAN_PERSEROAN,PERSEROAN_DAERAH_ID,KODE_POS_PERSEROAN,FLAG_IMPOR,FLAG_EKSPOR,JENIS_API,TGL_PERUBAHAN_NIB,STATUS_NIB,FLAG_MITA,FLAG_AEO,NAMA_PERSEROAN_CLEAN,NPWP_CLEAN
6036690967054.0,66.889.373.4-670.656,UD Habibi Iswahyudi Tbk,UD Habibi ,CV,Berbadan Hukum,Aktif,Jl. Rumah Sakit No. 427,Surakarta,3804,80112,N,N,API-P,2025-07-01,AKTIF,N,N,UD HABIBI ISWAHYUDI TBK,66.889.373.4-670.656
7298069901627.0,20.465.375.5-646.417,UD PADMASARI,UD PADMASA,CV,Berbadan Hukum,Aktif,Jalan Cihampelas No. 50,Prabumulih,1417,33158,Y,Y,API-P,2025-09-08,AKTIF,Y,N,UD PADMASARI,20.465.375.5-646.417
8053100330923.0,27.193.745.2-991.241,Perum Mangunsong Prakasa (Persero) Tbk,Perum Mang,Koperasi,Berbadan Hukum,Aktif,Jalan Jend. Sudirman No. 5,Kota Administrasi Jakarta Barat,1520,34216,Y,Y,API-P,2025-09-18,AKTIF,Y,N,PERUM MANGUNSONG PRAKASA PERSERO TBK,27.193.745.2-991.241
4966319314919.0,05.865.185.0-671.657,PD Prasetya,PD Prasety,PT,Berbadan Hukum,Aktif,Gang Rajawali Timur No. 303,Bandung,3606,54145,N,Y,API-P,2026-04-19,AKTIF,Y,N,PD PRASETYA,05.865.185.0-671.657
,14.737.996.5-075.273,Perum Sitompul Dabukke (Persero) Tbk,Perum Sito,Koperasi,Berbadan Hukum,Aktif,Gg. BKR No. 965,Batu,6913,69816,N,Y,API-U,2025-07-09,AKTIF,Y,N,PERUM SITOMPUL DABUKKE PERSERO TBK,14.737.996.5-075.273
4549480831367.0,83.777.014.3-634.957,UD Gunawan Fujiati,UD Gunawan,Koperasi,Berbadan Hukum,Aktif,Gg. Bangka Raya No. 595,Surakarta,9798,48465,N,Y,API-U,2025-12-31,AKTIF,N,Y,UD GUNAWAN FUJIATI,83.777.014.3-634.957
5685574443135.0,18.233.749.8-941.343,UD Puspasari Mahendra (Persero) Tbk,UD Puspasa,CV,Berbadan Hukum,Aktif,Jalan Kendalsari No. 4,Padang,7012,80443,Y,N,API-U,2025-06-19,AKTIF,N,N,UD PUSPASARI MAHENDRA PERSERO TBK,18.233.749.8-941.343
2408240084271.0,09.477.752.0-471.167,Perum Sudiati Yolanda Tbk,Perum Sudi,PT,Berbadan Hukum,Aktif,Gang Tebet Barat Dalam No. 872,Tebingtinggi,2313,48951,Y,Y,API-P,2025-09-20,AKTIF,Y,N,PERUM SUDIATI YOLANDA TBK,09.477.752.0-471.167
,93.867.749.6-499.091,UD Prasetyo Napitupulu,UD Prasety,CV,Berbadan Hukum,Aktif,Jl. Pacuan Kuda No. 91,Pangkalpinang,4504,69367,Y,N,API-P,2026-04-07,AKTIF,Y,N,UD PRASETYO NAPITUPULU,93.867.749.6-499.091
3412328120679.0,74.034.471.3-493.618,CV Maulana Yolanda (Persero) Tbk,CV Maulana,Koperasi,Berbadan Hukum,Aktif,Jalan Jend. Sudirman No. 8,Tanjungbalai,4783,8317,Y,Y,API-P,2026-01-13,AKTIF,N,Y,CV MAULANA YOLANDA PERSERO TBK,74.034.471.3-493.618
2421024994717.0,46.488.771.9-065.940,PD Widiastuti Nuraini,PD Widiast,Koperasi,Berbadan Hukum,Aktif,Gang M.H Thamrin No. 27,Payakumbuh,2596,43487,N,N,API-P,2025-10-15,AKTIF,N,Y,PD WIDIASTUTI NURAINI,46.488.771.9-065.940
3990490278742.0,96.717.565.5-125.674,UD Farida Hutagalung,UD Farida ,PT,Berbadan Hukum,Aktif,Gg. Rumah Sakit No. 81,Padang,7661,23623,Y,N,API-U,2026-01-22,AKTIF,Y,Y,UD FARIDA HUTAGALUNG,96.717.565.5-125.674
8071545168087.0,60.385.977.0-348.247,PD Wasita,PD Wasita,PT,Berbadan Hukum,Aktif,Gang Cikutra Barat No. 669,Tebingtinggi,9041,96705,Y,N,API-U,2026-04-04,AKTIF,Y,N,PD WASITA,60.385.977.0-348.247
1093248086131.0,71.274.846.7-737.826,PD Andriani (Persero) Tbk,PD Andrian,Koperasi,Berbadan Hukum,Aktif,Gg. Bangka Raya No. 06,Dumai,4222,62729,Y,Y,API-P,2025-10-27,AKTIF,Y,Y,PD ANDRIANI PERSERO TBK,71.274.846.7-737.826
9821465840449.0,97.278.755.8-867.533,PD Rahayu,PD Rahayu,CV,Berbadan Hukum,Aktif,Gg. HOS. Cokroaminoto No. 20,Palangkaraya,7374,65375,Y,Y,API-U,2025-10-30,AKTIF,Y,Y,PD RAHAYU,97.278.755.8-867.533
,51.718.702.6-217.459,PD Setiawan Tbk,PD Setiawa,Koperasi,Berbadan Hukum,Aktif,Gg. Asia Afrika No. 8,Kota Administrasi Jakarta Timur,7612,53100,N,N,API-P,2025-11-08,AKTIF,N,N,PD SETIAWAN TBK,51.718.702.6-217.459
1586578091343.0,16.117.240.0-504.556,CV Damanik Oktaviani,CV Damanik,CV,Berbadan Hukum,Aktif,Jl. Waringin No. 1,Tegal,3485,74529,Y,N,API-P,2026-01-25,AKTIF,N,N,CV DAMANIK OKTAVIANI,16.117.240.0-504.556
3869222196937.0,92.374.740.7-482.175,CV Saragih,CV Saragih,CV,Berbadan Hukum,Aktif,Gg. Joyoboyo No. 6,Batam,6001,31931,Y,N,API-P,2025-11-23,AKTIF,Y,Y,CV SARAGIH,92.374.740.7-482.175
6474367136959.0,44.064.090.9-743.953,Perum Lazuardi (Persero) Tbk,Perum Lazu,PT,Berbadan Hukum,Aktif,Gang Cikutra Timur No. 5,Kota Administrasi Jakarta Utara,4215,67165,N,Y,API-P,2025-07-28,AKTIF,N,Y,PERUM LAZUARDI PERSERO TBK,44.064.090.9-743.953
9421047095214.0,56.232.858.8-424.745,CV Fujiati Nugroho Tbk,CV Fujiati,CV,Berbadan Hukum,Aktif,Gang Kutai No. 53,Cirebon,2986,47379,Y,Y,API-U,2025-10-20,AKTIF,N,Y,CV FUJIATI NUGROHO TBK,56.232.858.8-424.745
7123685160481.0,75.496.513.7-098.593,UD Dabukke Lailasari Tbk,UD Dabukke,CV,Berbadan Hukum,Aktif,Jalan Setiabudhi No. 54,Medan,2135,80831,N,N,API-U,2025-06-17,AKTIF,N,Y,UD DABUKKE LAILASARI TBK,75.496.513.7-098.593
7461200471138.0,26.758.692.6-179.640,PD Lestari Puspita,PD Lestari,CV,Berbadan Hukum,Aktif,Gang Cihampelas No. 143,Samarinda,7170,34957,Y,N,API-P,2025-10-15,AKTIF,Y,N,PD LESTARI PUSPITA,26.758.692.6-179.640
3773515850643.0,17.139.005.3-293.183,PD Pudjiastuti Tbk,PD Pudjias,CV,Berbadan Hukum,Aktif,Gang Rajawali Timur No. 31,Pekanbaru,4638,51823,Y,N,API-P,2025-07-12,AKTIF,Y,Y,PD PUDJIASTUTI TBK,17.139.005.3-293.183
3529042284210.0,20.539.502.4-026.811,PD Saefullah Rahmawati,PD Saefull,CV,Berbadan Hukum,Aktif,Jl. PHH. Mustofa No. 524,Denpasar,8902,82400,N,Y,API-P,2026-03-31,AKTIF,Y,N,PD SAEFULLAH RAHMAWATI,20.539.502.4-026.811
7589178390847.0,00.766.177.1-159.212,CV Uyainah Tbk,CV Uyainah,PT,Berbadan Hukum,Aktif,Gg. Waringin No. 75,Serang,5605,4711,N,Y,API-U,2025-08-03,AKTIF,N,N,CV UYAINAH TBK,00.766.177.1-159.212
9985698478961.0,18.367.365.7-661.565,PD Hidayanto Permata (Persero) Tbk,PD Hidayan,CV,Berbadan Hukum,Aktif,Gg. Ciwastra No. 186,Medan,5276,86774,Y,Y,API-U,2026-01-18,AKTIF,Y,Y,PD HIDAYANTO PERMATA PERSERO TBK,18.367.365.7-661.565
5271111615280.0,98.851.656.0-494.519,UD Purnawati Safitri (Persero) Tbk,UD Purnawa,Koperasi,Berbadan Hukum,Aktif,Jl. Pasirkoja No. 1,Mojokerto,9413,32812,Y,N,API-P,2025-10-04,AKTIF,N,N,UD PURNAWATI SAFITRI PERSERO TBK,98.851.656.0-494.519
3273158514936.0,89.980.940.2-445.502,PD Hartati,PD Hartati,PT,Berbadan Hukum,Aktif,Jalan Moch. Ramdan No. 47,Denpasar,3447,34936,Y,N,API-P,2025-07-22,AKTIF,Y,Y,PD HARTATI,89.980.940.2-445.502
9612018366752.0,54.599.102.2-901.476,Perum Prasetyo,Perum Pras,Koperasi,Berbadan Hukum,Aktif,Jalan Ciumbuleuit No. 249,Balikpapan,9057,71746,Y,N,API-U,2025-12-02,AKTIF,Y,Y,PERUM PRASETYO,54.599.102.2-901.476
9764381561497.0,84.036.900.3-432.445,Perum Namaga Tbk,Perum Nama,CV,Berbadan Hukum,Aktif,Jl. Bangka Raya No. 5,Bogor,3065,1399,Y,N,API-P,2025-09-10,AKTIF,Y,Y,PERUM NAMAGA TBK,84.036.900.3-432.445
762268388516.0,06.071.596.9-664.160,UD Permata,UD Permata,Koperasi,Berbadan Hukum,Aktif,Gg. M.T Haryono No. 7,Tasikmalaya,6421,29671,Y,N,API-U,2026-01-23,AKTIF,Y,Y,UD PERMATA,06.071.596.9-664.160
2975161369681.0,64.535.218.1-883.552,UD Wasita Sitorus Tbk,UD Wasita ,CV,Berbadan Hukum,Aktif,Gg. Tubagus Ismail No. 7,Kota Administrasi Jakarta Timur,4971,68071,N,N,API-P,2025-08-18,AKTIF,N,N,UD WASITA SITORUS TBK,64.535.218.1-883.552
,79.955.271.7-744.905,UD Sinaga (Persero) Tbk,UD Sinaga ,PT,Berbadan Hukum,Aktif,Gg. Tubagus Ismail No. 385,Bitung,9412,70348,N,Y,API-P,2026-06-06,AKTIF,N,N,UD SINAGA PERSERO TBK,79.955.271.7-744.905
1477005411998.0,67.980.793.5-978.207,UD Farida Laksita,UD Farida ,PT,Berbadan Hukum,Aktif,Jl. Jamika No. 80,Banjarbaru,2795,13171,N,N,API-U,2026-02-23,AKTIF,N,Y,UD FARIDA LAKSITA,67.980.793.5-978.207
5182037788925.0,54.665.905.1-518.644,PD Siregar Melani,PD Siregar,CV,Berbadan Hukum,Aktif,Gang Waringin No. 782,Sungai Penuh,3563,39821,N,Y,API-U,2026-01-06,AKTIF,N,N,PD SIREGAR MELANI,54.665.905.1-518.644
5192546291486.0,52.816.850.5-423.573,PD Siregar Tbk,PD Siregar,Koperasi,Berbadan Hukum,Aktif,Gang Kutai No. 7,Kota Administrasi Jakarta Barat,4811,78755,N,N,API-P,2026-04-12,AKTIF,N,N,PD SIREGAR TBK,52.816.850.5-423.573
2214188805929.0,62.229.270.6-537.947,PD Sinaga Nainggolan (Persero) Tbk,PD Sinaga ,CV,Berbadan Hukum,Aktif,Gg. Cihampelas No. 76,Padangpanjang,4933,27028,N,Y,API-U,2026-04-22,AKTIF,N,Y,PD SINAGA NAINGGOLAN PERSERO TBK,62.229.270.6-537.947
8347359774688.0,62.392.407.5-818.141,PT Farida (Persero) Tbk,PT Farida ,PT,Berbadan Hukum,Aktif,Jl. Tubagus Ismail No. 2,Langsa,3726,74596,Y,N,API-U,2026-04-06,AKTIF,N,N,PT FARIDA PERSERO TBK,62.392.407.5-818.141
4782613750606.0,85.361.530.5-152.204,UD Wulandari,UD Wulanda,Koperasi,Berbadan Hukum,Aktif,Gang R.E Martadinata No. 913,Lhokseumawe,8840,31611,Y,Y,API-P,2025-08-30,AKTIF,N,Y,UD WULANDARI,85.361.530.5-152.204
2779010432898.0,61.434.103.6-971.179,CV SALAHUDIN DABUKKE (PERSERO) TBK,CV SALAHUD,PT,Berbadan Hukum,Aktif,Gg. Setiabudhi No. 62,Palopo,9882,86922,N,N,API-P,2026-01-15,AKTIF,N,Y,CV SALAHUDIN DABUKKE PERSERO TBK,61.434.103.6-971.179
893246095396.0,21.851.888.8-806.706,PT Suryatmi Wibowo,PT Suryatm,CV,Berbadan Hukum,Aktif,Jalan Moch. Ramdan No. 47,Jayapura,7216,7482,N,Y,API-U,2026-02-19,AKTIF,N,N,PT SURYATMI WIBOWO,21.851.888.8-806.706
4051531952058.0,52.772.217.0-430.305,PD Situmorang,PD Situmor,Koperasi,Berbadan Hukum,Aktif,Gang Erlangga No. 36,Jayapura,6180,13695,Y,Y,API-U,2025-07-19,AKTIF,N,Y,PD SITUMORANG,52.772.217.0-430.305
8687403450541.0,56.676.527.7-584.161,UD Damanik Tbk,UD Damanik,CV,Berbadan Hukum,Aktif,Jl. Rungkut Industri No. 7,Bandar Lampung,8155,39533,Y,N,API-U,2026-01-02,AKTIF,Y,N,UD DAMANIK TBK,56.676.527.7-584.161
,27.570.596.4-016.582,CV Utami (Persero) Tbk,CV Utami (,CV,Berbadan Hukum,Aktif,Gang BKR No. 5,Payakumbuh,1610,14562,N,Y,API-U,2026-06-09,AKTIF,Y,Y,CV UTAMI PERSERO TBK,27.570.596.4-016.582
2970213556909.0,27.557.192.8-565.431,CV Namaga Utama,CV Namaga ,PT,Berbadan Hukum,Aktif,Gg. Ronggowarsito No. 51,Cimahi,1524,12368,N,Y,API-P,2025-08-03,AKTIF,Y,N,CV NAMAGA UTAMA,27.557.192.8-565.431
2786814473947.0,31.217.271.5-518.844,PT Widodo (Persero) Tbk,PT Widodo ,CV,Berbadan Hukum,Aktif,Gg. Soekarno Hatta No. 4,Bau-Bau,3680,51370,N,Y,API-U,2025-10-30,AKTIF,Y,Y,PT WIDODO PERSERO TBK,31.217.271.5-518.844
2583132370589.0,57.829.114.6-786.691,Perum Prasetya (Persero) Tbk,Perum Pras,Koperasi,Berbadan Hukum,Aktif,Gang Gardujati No. 004,Bekasi,3153,11382,Y,N,API-U,2026-05-30,AKTIF,N,Y,PERUM PRASETYA PERSERO TBK,57.829.114.6-786.691
5177852892268.0,01.824.225.3-584.143,PD Uwais Winarsih Tbk,PD Uwais W,CV,Berbadan Hukum,Aktif,Jalan Rajiman No. 6,Lubuklinggau,5596,5377,N,N,API-P,2025-08-08,AKTIF,N,N,PD UWAIS WINARSIH TBK,01.824.225.3-584.143
2498182992299.0,59.001.094.3-969.078,UD Januar Uwais,UD Januar ,Koperasi,Berbadan Hukum,Aktif,Gg. Pelajar Pejuang No. 171,Mataram,5845,90053,N,Y,API-U,2026-04-21,AKTIF,Y,Y,UD JANUAR UWAIS,59.001.094.3-969.078
4736471027677.0,35.925.556.2-588.153,PERUM PUTRA HIDAYAT,PERUM PUTR,PT,Berbadan Hukum,Aktif,Jl. Rumah Sakit No. 904,Ternate,8742,28421,N,N,API-U,2026-05-23,AKTIF,N,N,PERUM PUTRA HIDAYAT,35.925.556.2-588.153
1473210469632.0,59.532.787.7-470.168,CV Budiman,CV Budiman,Koperasi,Berbadan Hukum,Aktif,Gg. Asia Afrika No. 402,Palangkaraya,8591,81177,N,Y,API-U,2026-05-20,AKTIF,N,N,CV BUDIMAN,59.532.787.7-470.168
3395004797480.0,16.245.650.6-098.358,Perum Rahayu (Persero) Tbk,Perum Raha,PT,Berbadan Hukum,Aktif,Jl. Kapten Muslihat No. 4,Kota Administrasi Jakarta Selatan,5828,766,Y,Y,API-U,2025-09-20,AKTIF,Y,N,PERUM RAHAYU PERSERO TBK,16.245.650.6-098.358
1687849912165.0,58.523.986.8-000.257,PD Handayani,PD Handaya,PT,Berbadan Hukum,Aktif,Gg. Rungkut Industri No. 124,Banjarbaru,9608,69847,Y,Y,API-U,2025-07-22,AKTIF,Y,N,PD HANDAYANI,58.523.986.8-000.257
7298259526949.0,58.887.947.0-551.694,PT Latupono Yolanda (Persero) Tbk,PT Latupon,CV,Berbadan Hukum,Aktif,Jalan Tubagus Ismail No. 76,Depok,1536,15654,Y,N,API-P,2026-02-13,AKTIF,N,Y,PT LATUPONO YOLANDA PERSERO TBK,58.887.947.0-551.694
9749930972896.0,23.091.307.5-626.368,CV Kusmawati (Persero) Tbk,CV Kusmawa,Koperasi,Berbadan Hukum,Aktif,Jl. Bangka Raya No. 528,Sukabumi,8826,98851,N,Y,API-P,2026-06-06,AKTIF,Y,N,CV KUSMAWATI PERSERO TBK,23.091.307.5-626.368
283857865278.0,58.549.733.4-843.443,UD Widiastuti Anggraini (Persero) Tbk,UD Widiast,Koperasi,Berbadan Hukum,Aktif,Gang Dr. Djunjunan No. 8,Tanjungbalai,9111,27315,Y,Y,API-U,2025-12-31,AKTIF,N,N,UD WIDIASTUTI ANGGRAINI PERSERO TBK,58.549.733.4-843.443
5758441986652.0,40.415.747.3-384.842,PT Setiawan (Persero) Tbk,PT Setiawa,CV,Berbadan Hukum,Aktif,Gg. Astana Anyar No. 445,Makassar,2889,2296,Y,Y,API-P,2026-05-14,AKTIF,Y,Y,PT SETIAWAN PERSERO TBK,40.415.747.3-384.842
9933083301657.0,12.082.677.3-454.019,CV Usada,CV Usada,Koperasi,Berbadan Hukum,Aktif,Jl. Sukabumi No. 75,Jayapura,4904,54599,N,N,API-P,2026-05-26,AKTIF,Y,N,CV USADA,12.082.677.3-454.019
8026206724004.0,99.154.788.7-287.431,PT Mangunsong,PT Manguns,Koperasi,Berbadan Hukum,Aktif,Jl. Pasteur No. 67,Pangkalpinang,6517,64381,Y,N,API-P,2025-12-01,AKTIF,Y,Y,PT MANGUNSONG,99.154.788.7-287.431
2742054932966.0,85.161.227.5-304.637,PD Kusumo Tbk,PD Kusumo ,Koperasi,Berbadan Hukum,Aktif,Jalan Merdeka No. 90,Samarinda,5474,34324,N,N,API-U,2025-11-22,AKTIF,Y,Y,PD KUSUMO TBK,85.161.227.5-304.637
5499045301742.0,68.414.593.3-272.795,UD Lazuardi (Persero) Tbk,UD Lazuard,Koperasi,Berbadan Hukum,Aktif,Jalan Gegerkalong Hilir No. 83,Tangerang Selatan,7913,16060,Y,Y,API-P,2025-10-12,AKTIF,N,Y,UD LAZUARDI PERSERO TBK,68.414.593.3-272.795
8783391878519.0,10.883.982.2-587.139,PT Sihotang Permata Tbk,PT Sihotan,CV,Berbadan Hukum,Aktif,Gang Gardujati No. 05,Depok,9108,97516,Y,Y,API-P,2025-08-23,AKTIF,N,N,PT SIHOTANG PERMATA TBK,10.883.982.2-587.139
1870728679087.0,40.640.391.0-651.801,CV Fujiati,CV Fujiati,Koperasi,Berbadan Hukum,Aktif,Gg. Rajawali Timur No. 5,Ambon,8834,52181,Y,N,API-P,2025-07-22,AKTIF,Y,N,CV FUJIATI,40.640.391.0-651.801
462265676618.0,25.128.682.3-004.786,UD Tampubolon Yuliarti,UD Tampubo,Koperasi,Berbadan Hukum,Aktif,Jl. Ir. H. Djuanda No. 32,Banjarmasin,9815,12779,Y,N,API-P,2026-02-14,AKTIF,N,N,UD TAMPUBOLON YULIARTI,25.128.682.3-004.786
6337524310690.0,33.119.079.0-306.738,Perum Yuniar Usada Tbk,Perum Yuni,Koperasi,Berbadan Hukum,Aktif,Gg. Cikutra Timur No. 74,Tual,4659,90581,N,N,API-P,2026-02-08,AKTIF,Y,N,PERUM YUNIAR USADA TBK,33.119.079.0-306.738
284395995342.0,83.644.089.2-687.056,PD Hartati (Persero) Tbk,PD Hartati,Koperasi,Berbadan Hukum,Aktif,Gang Ciumbuleuit No. 1,Bukittinggi,9692,79807,N,N,API-P,2026-04-20,AKTIF,Y,Y,PD HARTATI PERSERO TBK,83.644.089.2-687.056
5662462873342.0,70.866.882.6-343.517,UD Suartini Kusmawati,UD Suartin,PT,Berbadan Hukum,Aktif,Gg. Dr. Djunjunan No. 18,Prabumulih,7179,3778,Y,N,API-P,2025-07-03,AKTIF,N,N,UD SUARTINI KUSMAWATI,70.866.882.6-343.517
1830469901398.0,37.354.033.1-739.363,UD Wahyudin Suryono,UD Wahyudi,PT,Berbadan Hukum,Aktif,Gang Tebet Barat Dalam No. 0,Medan,6369,15186,N,Y,API-U,2025-10-13,AKTIF,N,N,UD WAHYUDIN SURYONO,37.354.033.1-739.363
4678544587717.0,53.556.093.2-048.996,UD Wahyuni (Persero) Tbk,UD Wahyuni,CV,Berbadan Hukum,Aktif,Jl. Sentot Alibasa No. 62,Bandung,5936,48652,Y,N,API-P,2025-06-18,AKTIF,Y,N,UD WAHYUNI PERSERO TBK,53.556.093.2-048.996
2353693785477.0,72.522.872.8-080.100,PD Melani,PD Melani,Koperasi,Berbadan Hukum,Aktif,Gg. Rajawali Timur No. 357,Pariaman,7856,32214,N,Y,API-U,2026-05-07,AKTIF,Y,Y,PD MELANI,72.522.872.8-080.100
2312038750997.0,70.088.600.8-484.086,PERUM NAMAGA,PERUM NAMA,PT,Berbadan Hukum,Aktif,Jalan Kutisari Selatan No. 22,Tegal,4037,92706,Y,Y,API-U,2025-07-28,AKTIF,N,Y,PERUM NAMAGA,70.088.600.8-484.086
1182339845461.0,56.793.341.0-166.687,CV Handayani Tbk,CV Handaya,Koperasi,Berbadan Hukum,Aktif,Jl. Rajawali Timur No. 35,Lhokseumawe,2019,74688,Y,Y,API-P,2025-08-20,AKTIF,N,Y,CV HANDAYANI TBK,56.793.341.0-166.687
