ID_PERUSAHAAN,NIB,NPWP,NAMA_PERUSAHAAN,ALAMAT_PERUSAHAAN,KELURAHAN,DAERAH_ID,KODE_POS,NOMOR_TELPON,KATEGORI,NIPER,NOMOR_API,TGL_TERBIT_NIB,STATUS_NIB
C000047,3273158514936,89.980.940.2-445.502,PD Hartati,Jalan Moch. Ramdan No. 47,Madiun,3447,34936,(0640) 535 6707,EKSPORTIR,6443909519,5663006362,2024-07-02,AKTIF
C000048,9612018366752,54.599.102.2-901.476,Perum Prasetyo,Jalan Ciumbuleuit No. 249,Payakumbuh,9057,71746,+62 (542) 619 0384,EKSPORTIR,1640787048,1135373965,2023-10-02,AKTIF
C000049,9764381561497,84.036.900.3-432.445,Perum Namaga Tbk,Jl. Bangka Raya No. 5,Pariaman,3065,01399,+62-627-320-2227,IMPORTIR,9598677705,5489907129,2023-08-29,AKTIF
C000050,0762268388516,06.071.596.9-664.160,UD Permata,Gg. M.T Haryono No. 7,Tual,6421,29671,+62 (075) 769 1716,IMPORTIR,5482700293,3132689374,2023-10-15,AKTIF
C000051,2975161369681,64.535.218.1-883.552,UD Wasita Sitorus Tbk,Gg. Tubagus Ismail No. 7,Kupang,4971,68071,+62 (98) 514-4869,KEDUA-DUANYA,8415771291,8425195617,2024-08-12,AKTIF
C000052,1243292127799,79.955.271.7-744.905,UD Sinaga (Persero) Tbk,Gg. Tubagus Ismail No. 385,Bandung,9412,70348,+62 (216) 903-9220,KEDUA-DUANYA,9223552858,7063022829,2025-05-07,AKTIF
C000053,1477005411998,67.980.793.5-978.207,UD Farida Laksita,Jl. Jamika No. 80,Tidore Kepulauan,2795,13171,(098) 014-2647,IMPORTIR,8789715359,6472684746,2025-03-14,AKTIF
C000054,5182037788925,546659051518644,PD Siregar Melani,Gang Waringin No. 782,Banjarmasin,3563,39821,(080) 177-0316,KEDUA-DUANYA,2831018508,8087564505,2025-05-27,AKTIF
C000055,5192546291486,52.816.850.5-423.573,PD Siregar Tbk,Gang Kutai No. 7,Palopo,4811,78755,+62-050-049-3326,IMPORTIR,1088679744,7619378866,2025-03-19,AKTIF
C000056,2214188805929,62.229.270.6-537.947,PD Sinaga Nainggolan (Persero) Tbk,Gg. Cihampelas No. 76,Denpasar,4933,27028,+62 (0469) 317 2947,EKSPORTIR,5333477496,3379226281,2024-05-11,AKTIF
C000057,8347359774688,623924075818141,PT Farida (Persero) Tbk,Jalan Tubagus Ismail No. 2,Sabang,3726,74596,+62-83-906-5402,IMPORTIR,7438734505,2194050472,2025-04-24,AKTIF
C000058,4782613750606,85.361.530.5-152.204,UD Wulandari,Gang R.E Martadinata No. 913,Singkawang,8840,31611,0851939327,KEDUA-DUANYA,9629145977,3660985919,2024-12-05,AKTIF
C000059,2779010432898,61.434.103.6-971.179,CV Salahudin Dabukke (Persero) Tbk,Gg. Setiabudhi No. 62,Tual,9882,86922,(0281) 291-6350,KEDUA-DUANYA,3665397885,8748955713,2024-01-27,AKTIF
C000060,0893246095396,21.851.888.8-806.706,Suryatmi Wibowo,Jalan Moch. Ramdan No. 47,Banjarmasin,7216,07482,+62 (66) 765 2728,EKSPORTIR,4961639525,7477743721,2024-10-22,AKTIF
C000061,4051531952058,52.772.217.0-430.305,PD Situmorang,Gang Erlangga No. 36,Manado,6180,13695,+62-974-995-0708,EKSPORTIR,5619189875,5798322900,2025-04-07,AKTIF
C000062,8687403450541,566765277584161,UD Damanik Tbk,Jl. Rungkut Industri No. 7,Langsa,8155,39533,+62-67-560-2080,EKSPORTIR,5173658540,5919344246,2024-11-07,AKTIF
C000063,9284511544796,27.570.596.4-016.582,Utami (Persero) Tbk,Gang BKR No. 5,Salatiga,1610,14562,+62 (90) 221-5439,IMPORTIR,2393306533,5359759809,2023-07-05,AKTIF
C000064,2970213556909,27.557.192.8-565.431,CV Namaga Utama,Gg. Ronggowarsito No. 51,Kota Administrasi Jakarta Selatan,1524,12368,0890932253,KEDUA-DUANYA,1960878757,8827376309,2023-12-19,AKTIF
C000065,2786814473947,31.217.271.5-518.844,PT Widodo (Persero) Tbk,Gg. Soekarno Hatta No. 4,Cirebon,3680,51370,+62-23-510-2555,KEDUA-DUANYA,3666097978,5500445072,2025-04-02,AKTIF
C000066,2583132370589,57.829.114.6-786.691,Perum Prasetya (Persero) Tbk,Gang Gardujati No. 004,Binjai,3153,11382,+62-0545-036-9888,KEDUA-DUANYA,0107932265,2782546305,2024-01-17,AKTIF
C000067,5177852892268,01.824.225.3-584.143,PD Uwais Winarsih Tbk,Jalan Rajiman No. 6,Solok,5596,05377,+62-332-436-2962,EKSPORTIR,7117753987,2458198708,2023-06-15,AKTIF
C000068,2498182992299,59.001.094.3-969.078,UD Januar Uwais,Gg. Pelajar Pejuang No. 171,Malang,5845,90053,0831244129,KEDUA-DUANYA,5380536597,2683950705,2023-07-24,AKTIF
C000069,4736471027677,359255562588153,Perum Putra Hidayat,Jl. Rumah Sakit No. 904,Magelang,8742,28421,(059) 992 0123,KEDUA-DUANYA,6721281568,3870278537,2024-06-29,AKTIF
C000070,1473210469632,59.532.787.7-470.168,CV Budiman,Gg. Asia Afrika No. 402,Dumai,8591,81177,+62 (077) 495 4210,IMPORTIR,4924137173,0639085830,2024-04-03,AKTIF
C000071,3395004797480,16.245.650.6-098.358,Perum Rahayu (Persero) Tbk,Jl. Kapten Muslihat No. 4,Serang,5828,00766,+62 (0193) 759 1922,IMPORTIR,6816723866,5606775595,2024-04-12,AKTIF
C000072,1687849912165,58.523.986.8-000.257,PD Handayani,Gg. Rungkut Industri No. 124,Batu,9608,69847,+62-0175-362-6475,EKSPORTIR,4105772504,0258988108,2023-10-05,AKTIF
C000073,7298259526949,58.887.947.0-551.694,PT Latupono Yolanda (Persero) Tbk,Jalan Tubagus Ismail No. 76,Kota Administrasi Jakarta Pusat,1536,15654,(012) 096 1730,IMPORTIR,3578457208,0241041507,2023-06-13,AKTIF
C000074,9749930972896,23.091.307.5-626.368,CV Kusmawati (Persero) Tbk,Jl. Bangka Raya No. 528,Surabaya,8826,98851,0845240321,IMPORTIR,1660816115,5661340475,2023-07-28,AKTIF
C000075,0283857865278,58.549.733.4-843.443,UD Widiastuti Anggraini (Persero) Tbk,Gang Dr. Djunjunan No. 8,Tanjungbalai,9111,27315,+62-0550-514-3219,EKSPORTIR,8408922706,9906494935,2024-10-18,AKTIF
C000076,5758441986652,40.415.747.3-384.842,PT Setiawan (Persero) Tbk,Gg. Astana Anyar No. 445,Langsa,2889,02296,+62-0087-797-2479,KEDUA-DUANYA,8036383647,2245581708,2023-09-16,AKTIF
C000077,9933083301657,120826773454019,CV Usada,Jl. Sukabumi No. 75,Tanjungbalai,4904,54599,+62 (0221) 883 4581,EKSPORTIR,2449663900,0453980488,2024-09-10,AKTIF
C000078,8026206724004,99.154.788.7-287.431,PT Mangunsong,Jl. Pasteur No. 67,Ternate,6517,64381,+62-48-770-6769,EKSPORTIR,1409617099,8731709816,2023-11-11,AKTIF
C000079,2742054932966,85.161.227.5-304.637,PD Kusumo Tbk,Jalan Merdeka No. 90,Kendari,5474,34324,+62 (99) 865-1590,IMPORTIR,3038469128,1501645466,2023-10-16,AKTIF
C000080,5499045301742,68.414.593.3-272.795,UD Lazuardi (Persero) Tbk,Jalan Gegerkalong Hilir No. 83,Pangkalpinang,7913,16060,0846408585,IMPORTIR,5361276987,6229579474,2025-01-01,AKTIF
C000081,8783391878519,10.883.982.2-587.139,PT Sihotang Permata Tbk,Gang Gardujati No. 05,Ternate,9108,97516,0825672620,KEDUA-DUANYA,8971733157,1604261447,2025-01-04,AKTIF
C000082,1870728679087,406403910651801,Fujiati,Gg. Rajawali Timur No. 5,Mojokerto,8834,52181,(0292) 543-5519,EKSPORTIR,4152644582,9694541913,2024-04-09,AKTIF
C000083,0462265676618,25.128.682.3-004.786,UD Tampubolon Yuliarti,Jl. Ir. H. Djuanda No. 32,Sabang,9815,12779,+62 (22) 501-8256,EKSPORTIR,9876209383,7396524276,2023-10-18,AKTIF
C000084,6337524310690,33.119.079.0-306.738,Perum Yuniar Usada Tbk,Gg. Cikutra Timur No. 74,Palopo,4659,90581,+62 (86) 394-2012,KEDUA-DUANYA,1464402613,5342555618,2025-02-14,AKTIF
C000085,0284395995342,83.644.089.2-687.056,PD Hartati (Persero) Tbk,Gang Ciumbuleuit No. 1,Kota Administrasi Jakarta Barat,9692,79807,+62 (0149) 929 0096,IMPORTIR,1384155109,5425275056,2024-04-11,AKTIF
C000086,5662462873342,708668826343517,UD Suartini Kusmawati,Gg. Dr. Djunjunan No. 18,Tanjungbalai,7179,03778,(0026) 604 5095,EKSPORTIR,8207271263,3402937813,2024-05-09,AKTIF
C000087,1830469901398,37.354.033.1-739.363,UD Wahyudin Suryono,Gang Tebet Barat Dalam No. 0,Denpasar,6369,15186,+62 (074) 003 9101,IMPORTIR,2627767469,5881946877,2024-08-29,AKTIF
C000088,4678544587717,53.556.093.2-048.996,UD Wahyuni (Persero) Tbk,Jl. Sentot Alibasa No. 62,Kota Administrasi Jakarta Barat,5936,48652,+62 (389) 222-4711,KEDUA-DUANYA,4499313675,7266849053,2024-09-11,AKTIF
C000089,2353693785477,72.522.872.8-080.100,PD Melani,Gg. Rajawali Timur No. 357,Metro,7856,32214,+62-06-082-7705,KEDUA-DUANYA,3203161317,7905340388,2024-04-15,AKTIF
C000090,2312038750997,70.088.600.8-484.086,Perum Namaga,Jalan Kutisari Selatan No. 22,Padang,4037,92706,+62 (060) 762-6438,KEDUA-DUANYA,1801664802,3628019388,2024-12-14,AKTIF
C000091,1182339845461,56.793.341.0-166.687,CV Handayani Tbk,Jl. Rajawali Timur No. 35,Balikpapan,2019,74688,+62-95-372-3461,EKSPORTIR,3115439781,5734159106,2024-05-20,AKTIF
C000092,0217659180339,74.014.890.2-503.926,CV Pangestu Suartini (Persero) Tbk,Gg. Soekarno Hatta No. 1,Surabaya,2360,41247,+62 (31) 336 1094,IMPORTIR,3650460262,2478922518,2024-01-15,AKTIF
C000093,4293968562185,01.631.599.9-650.477,PD Iswahyudi Prasetya,Jalan Veteran No. 685,Palangkaraya,4837,61530,+62 (0231) 654-4137,EKSPORTIR,1350621084,0157997062,2023-10-26,AKTIF
C000094,5866296194311,426265511047541,PT Yulianti Tbk,Jl. Peta No. 27,Parepare,3270,90104,(085) 760 6349,KEDUA-DUANYA,9752686650,8368168214,2024-01-23,AKTIF
C000095,1267888610158,19.956.046.6-183.982,Pudjiastuti Sudiati,Gg. Moch. Toha No. 10,Solok,7337,69711,+62-046-175-5188,IMPORTIR,0871439039,0920056260,2024-05-17,AKTIF
C000096,2244472126464,71.543.799.3-712.406,Perum Nasyiah Budiyanto (Persero) Tbk,Gang Abdul Muis No. 5,Bekasi,6543,96218,(0999) 324-2024,EKSPORTIR,7485798889,2132738152,2024-08-18,AKTIF
C000097,9657569245937,52.654.793.5-646.519,Novitasari (Persero) Tbk,Jalan KH Amin Jasuta No. 54,Palembang,4373,51531,+62 (0441) 723-4565,IMPORTIR,9725401493,8475431886,2025-02-17,AKTIF
C000098,9828073741672,43.426.617.9-796.886,CV Gunawan Tbk,Gg. Ronggowarsito No. 2,Pekalongan,1702,17043,(094) 790 2548,KEDUA-DUANYA,0079246366,9837555045,2024-03-23,AKTIF
C000099,5891135290965,61.014.388.8-993.756,CV Gunarto,Gang R.E Martadinata No. 40,Metro,8686,45054,+62 (68) 904 7238,IMPORTIR,7709903172,1135980433,2024-05-11,AKTIF
C000100,9825071461125,45.738.757.1-775.140,UD Fujiati,Gang Sadang Serang No. 775,Batam,2985,16169,+62-09-538-5574,EKSPORTIR,9640101460,1933520622,2023-10-23,AKTIF
C000101,0512382825867,36.226.609.3-796.603,Perum Sihombing Sinaga,Gg. Kapten Muslihat No. 47,Mojokerto,4471,27570,+62 (0359) 900 9378,IMPORTIR,1642663316,1408231017,2023-08-09,AKTIF
C000102,4191825537147,85.969.691.5-579.249,Perum Fujiati Tbk,Gg. Siliwangi No. 2,Tangerang,2488,29702,(004) 761-4378,KEDUA-DUANYA,4574051995,0819005673,2025-05-14,AKTIF
C000103,2513412528669,29.662.782.8-274.225,CV Yuliarti,Gang Ahmad Yani No. 927,Kota Administrasi Jakarta Utara,8489,57192,+62-706-618-7564,IMPORTIR,5951763524,1302286710,2025-05-06,AKTIF
C000104,9050723688767,67.721.903.4-043.842,PD Sihotang Tbk,Jl. K.H. Wahid Hasyim No. 86,Pangkalpinang,8592,44739,+62 (63) 681 5418,IMPORTIR,4923577741,4905717532,2024-03-25,AKTIF
C000105,9788191485807,83.613.407.4-517.133,PD Pangestu (Persero) Tbk,Gg. Jend. Sudirman No. 7,Banjarmasin,6844,55188,+62 (77) 291 0845,KEDUA-DUANYA,7526158789,8916831715,2023-07-11,AKTIF
C000106,9629233095849,825449481260422,UD Manullang (Persero) Tbk,Jl. Kiaracondong No. 370,Sungai Penuh,5190,89578,0860435660,IMPORTIR,4124845467,3137174190,2024-02-27,AKTIF
C000107,2536729466711,68.457.759.0-175.186,Perum Irawan Haryanto,Gang Ahmad Dahlan No. 69,Kediri,4668,25177,+62-0746-983-3067,EKSPORTIR,0857034011,7617061301,2024-10-22,AKTIF
C000108,6374545892975,00.170.127.7-063.242,Puspasari (Persero) Tbk,Jalan Gedebage Selatan No. 2,Surakarta,5589,22535,+62-067-182-2266,IMPORTIR,1817203579,6564001915,2025-04-29,AKTIF
C000109,1541520643611,03.712.938.7-005.162,PT Ramadan (Persero) Tbk,Gg. Kendalsari No. 1,Samarinda,8926,99229,+62 (0190) 878 8653,IMPORTIR,7824116434,2411475466,2024-07-04,AKTIF
C000110,1361115542622,18.909.275.3-269.731,Perum Gunarto (Persero) Tbk,Gg. Suryakencana No. 969,Tangerang,2746,78447,+62-067-396-3428,IMPORTIR,3064211684,6038951592,2024-11-29,AKTIF
C000111,2196565234138,99.940.438.9-836.403,PD Salahudin Hasanah,Jl. Cempaka No. 77,Padang,9208,59255,+62-55-049-2217,EKSPORTIR,2174645331,6495060541,2023-07-25,AKTIF
C000112,6137918055269,65.827.109.1-043.006,PD Mustofa Tbk,Jalan Rawamangun No. 473,Sukabumi,9400,10469,0861867066,KEDUA-DUANYA,1346310789,0786957601,2023-11-16,AKTIF
C000113,4866618892414,18.328.569.1-463.031,CV Manullang Simbolon Tbk,Gg. Monginsidi No. 74,Banjarmasin,8218,01687,+62 (062) 907 3992,IMPORTIR,4154474733,4359736970,2025-01-25,AKTIF
C000114,1799042102027,58.842.524.1-056.481,Padmasari Thamrin,Gg. Yos Sudarso No. 7,Tangerang,5408,80162,0827182653,IMPORTIR,5317504093,7011859689,2025-01-30,AKTIF
C000115,9177850792524,191380003075622,UD Waskita Tbk,Jalan Ahmad Yani No. 3,Pangkalpinang,1679,84168,+62 (070) 864 9426,KEDUA-DUANYA,5290550957,9281847266,2024-09-08,AKTIF
C000116,8635365419518,02.380.617.4-451.870,Perum Setiawan Oktaviani (Persero) Tbk,Gg. Soekarno Hatta No. 85,Cilegon,7144,39868,+62-39-831-3549,KEDUA-DUANYA,9241611954,0627890880,2024-11-28,AKTIF
C000117,3494937597383,206038505064138,PT Firgantoro,Gang M.T Haryono No. 29,Binjai,5002,59526,+62 (0599) 670-6921,IMPORTIR,2179592822,3312567725,2024-10-01,AKTIF
C000118,6702410386571,91.826.199.0-623.445,Perum Sirait Tbk,Jalan Soekarno Hatta No. 16,Prabumulih,7538,09749,(0305) 498 2438,KEDUA-DUANYA,5616271413,4277323573,2025-05-18,AKTIF
C000119,5574313291212,77.561.853.7-474.112,PT Padmasari Kuswandari,Jalan Pacuan Kuda No. 913,Surabaya,6084,75626,+62-0021-781-6780,IMPORTIR,4209420793,7415871994,2024-04-05,AKTIF
C000120,9035213568044,20.678.831.7-121.003,PD Mardhiyah Suryatmi,Jalan M.T Haryono No. 857,Sukabumi,3241,52785,+62 (0315) 890 1649,EKSPORTIR,9253095587,7993642737,2025-05-25,AKTIF
C000121,3651994101372,15.107.029.6-670.662,UD Suryatmi Tbk,Gg. Stasiun Wonokromo No. 34,Sungai Penuh,6899,37575,081 503 7017,KEDUA-DUANYA,1612921351,1133010753,2023-07-22,AKTIF
C000122,3244720999347,687014626383806,UD Maheswara Tbk,Jalan PHH. Mustofa No. 415,Padang Sidempuan,6983,47338,+62 (0070) 308-8081,EKSPORTIR,6948412322,2320873857,2024-05-27,AKTIF
C000123,7875985642059,30.407.859.3-213.348,Perum Saputra (Persero) Tbk,Jl. Cikapayang No. 8,Padang,2016,30165,+62 (82) 968 2448,KEDUA-DUANYA,4391370858,7837921316,2024-02-18,AKTIF
C000124,3965223955905,99.293.784.2-701.039,PT Zulaika Mandala (Persero) Tbk,Gang Ronggowarsito No. 3,Surabaya,4684,54019,+62-72-889-5927,EKSPORTIR,0809937151,9317844988,2024-10-12,AKTIF
C000125,0870593252500,29.218.515.6-915.452,Perum Firgantoro Natsir,Jl. Suniaraja No. 24,Bekasi,3680,04991,+62 (068) 069 1961,IMPORTIR,7473811337,0494624554,2023-10-21,AKTIF
C000126,6752895392644,22.096.902.9-593.917,UD Hasanah Tbk,Gang Kebonjati No. 527,Padang,3404,20549,(020) 808 2039,IMPORTIR,0535588234,8118082938,2023-09-11,AKTIF
