NIB,field,source
1718227824896,DAERAH_ID,OSS
1718227824896,KODE_POS,N/A
1718227824896,FLAG_IMPOR,OSS
1718227824896,FLAG_EKSPOR,OSS
1718227824896,JENIS_API,N/A
1718227824896,KODE_KANTOR,CEISA
1718227824896,NOMOR_TELPON,CEISA
1718227824896,KATEGORI,CEISA
1718227824896,NIPER,CEISA
1718227824896,NOMOR_API,N/A
1718227824896,ID_PERUSAHAAN,CEISA
1718227824896,TGL_PERUBAHAN_NIB,OSS
1718227824896,TGL_TERBIT_NIB,CEISA
1718227824896,TGL_SYNC_OSS,CEISA
1718227824896,STATUS_NIB,OSS
3829973763116,NIB,OSS
3829973763116,NPWP,OSS
3829973763116,NAMA,OSS
3829973763116,NAMA_SINGKATAN,N/A
3829973763116,JENIS_PERSEROAN,OSS
3829973763116,STATUS_BADAN_HUKUM,OSS
3829973763116,STATUS_PERSEROAN,OSS
3829973763116,ALAMAT,OSS
3829973763116,KELURAHAN,OSS
3829973763116,DAERAH_ID,OSS
3829973763116,KODE_POS,N/A
3829973763116,FLAG_IMPOR,OSS
3829973763116,FLAG_EKSPOR,OSS
3829973763116,JENIS_API,OSS
3829973763116,KODE_KANTOR,CEISA
3829973763116,NOMOR_TELPON,CEISA
3829973763116,KATEGORI,CEISA
3829973763116,NIPER,CEISA
3829973763116,NOMOR_API,N/A
3829973763116,ID_PERUSAHAAN,CEISA
3829973763116,TGL_PERUBAHAN_NIB,OSS
3829973763116,TGL_TERBIT_NIB,CEISA
3829973763116,TGL_SYNC_OSS,CEISA
3829973763116,STATUS_NIB,OSS
6247317810801,NIB,OSS
6247317810801,NPWP,OSS
6247317810801,NAMA,OSS
6247317810801,NAMA_SINGKATAN,OSS
6247317810801,JENIS_PERSEROAN,OSS
6247317810801,STATUS_BADAN_HUKUM,OSS
6247317810801,STATUS_PERSEROAN,OSS
6247317810801,ALAMAT,OSS
6247317810801,KELURAHAN,OSS
6247317810801,DAERAH_ID,OSS
6247317810801,KODE_POS,N/A
6247317810801,FLAG_IMPOR,OSS
6247317810801,FLAG_EKSPOR,OSS
6247317810801,JENIS_API,OSS
6247317810801,KODE_KANTOR,CEISA
6247317810801,NOMOR_TELPON,CEISA
6247317810801,KATEGORI,CEISA
6247317810801,NIPER,N/A
6247317810801,NOMOR_API,CEISA
6247317810801,ID_PERUSAHAAN,CEISA
6247317810801,TGL_PERUBAHAN_NIB,OSS
6247317810801,TGL_TERBIT_NIB,CEISA
6247317810801,TGL_SYNC_OSS,CEISA
6247317810801,STATUS_NIB,OSS
7468723430980,NIB,OSS
7468723430980,NPWP,OSS
7468723430980,NAMA,OSS
7468723430980,NAMA_SINGKATAN,OSS
7468723430980,JENIS_PERSEROAN,OSS
7468723430980,STATUS_BADAN_HUKUM,OSS
7468723430980,STATUS_PERSEROAN,OSS
7468723430980,ALAMAT,OSS
7468723430980,KELURAHAN,OSS
7468723430980,DAERAH_ID,OSS
7468723430980,KODE_POS,N/A
7468723430980,FLAG_IMPOR,OSS
7468723430980,FLAG_EKSPOR,OSS
7468723430980,JENIS_API,OSS
7468723430980,KODE_KANTOR,CEISA
7468723430980,NOMOR_TELPON,CEISA
7468723430980,KATEGORI,CEISA
7468723430980,NIPER,CEISA
7468723430980,NOMOR_API,N/A
7468723430980,ID_PERUSAHAAN,CEISA
7468723430980,TGL_PERUBAHAN_NIB,OSS
7468723430980,TGL_TERBIT_NIB,CEISA
7468723430980,TGL_SYNC_OSS,CEISA
7468723430980,STATUS_NIB,OSS
1939909169985,NIB,OSS
1939909169985,NPWP,OSS
1939909169985,NAMA,OSS
1939909169985,NAMA_SINGKATAN,OSS
1939909169985,JENIS_PERSEROAN,OSS
1939909169985,STATUS_BADAN_HUKUM,OSS
1939909169985,STATUS_PERSEROAN,OSS
1939909169985,ALAMAT,OSS
1939909169985,KELURAHAN,OSS
1939909169985,DAERAH_ID,OSS
1939909169985,KODE_POS,OSS
1939909169985,FLAG_IMPOR,OSS
1939909169985,FLAG_EKSPOR,OSS
1939909169985,JENIS_API,OSS
1939909169985,KODE_KANTOR,CEISA
1939909169985,NOMOR_TELPON,CEISA
1939909169985,KATEGORI,CEISA
1939909169985,NIPER,CEISA
1939909169985,NOMOR_API,N/A
1939909169985,ID_PERUSAHAAN,CEISA
1939909169985,TGL_PERUBAHAN_NIB,OSS
1939909169985,TGL_TERBIT_NIB,CEISA
1939909169985,TGL_SYNC_OSS,CEISA
1939909169985,STATUS_NIB,OSS
1183842513542,NIB,OSS
1183842513542,NPWP,OSS
1183842513542,NAMA,OSS
1183842513542,NAMA_SINGKATAN,OSS
1183842513542,JENIS_PERSEROAN,OSS
1183842513542,STATUS_BADAN_HUKUM,OSS
1183842513542,STATUS_PERSEROAN,OSS
1183842513542,ALAMAT,OSS
1183842513542,KELURAHAN,OSS
1183842513542,DAERAH_ID,OSS
1183842513542,KODE_POS,OSS
1183842513542,FLAG_IMPOR,OSS
1183842513542,FLAG_EKSPOR,OSS
1183842513542,JENIS_API,OSS
1183842513542,KODE_KANTOR,CEISA
1183842513542,NOMOR_TELPON,CEISA
1183842513542,KATEGORI,CEISA
1183842513542,NIPER,CEISA
1183842513542,NOMOR_API,CEISA
1183842513542,ID_PERUSAHAAN,CEISA
1183842513542,TGL_PERUBAHAN_NIB,OSS
1183842513542,TGL_TERBIT_NIB,CEISA
1183842513542,TGL_SYNC_OSS,CEISA
1183842513542,STATUS_NIB,OSS
4935348740164,NIB,OSS
4935348740164,NPWP,OSS
4935348740164,NAMA,OSS
4935348740164,NAMA_SINGKATAN,OSS
4935348740164,JENIS_PERSEROAN,OSS
4935348740164,STATUS_BADAN_HUKUM,OSS
4935348740164,STATUS_PERSEROAN,OSS
4935348740164,ALAMAT,OSS
4935348740164,KELURAHAN,OSS
4935348740164,DAERAH_ID,OSS
4935348740164,KODE_POS,N/A
4935348740164,FLAG_IMPOR,OSS
4935348740164,FLAG_EKSPOR,OSS
4935348740164,JENIS_API,N/A
4935348740164,KODE_KANTOR,CEISA
4935348740164,NOMOR_TELPON,CEISA
4935348740164,KATEGORI,CEISA
4935348740164,NIPER,CEISA
4935348740164,NOMOR_API,CEISA
4935348740164,ID_PERUSAHAAN,CEISA
4935348740164,TGL_PERUBAHAN_NIB,OSS
4935348740164,TGL_TERBIT_NIB,CEISA
4935348740164,TGL_SYNC_OSS,CEISA
4935348740164,STATUS_NIB,OSS
2805982620450,NIB,OSS
2805982620450,NPWP,OSS
2805982620450,NAMA,OSS
2805982620450,NAMA_SINGKATAN,OSS
2805982620450,JENIS_PERSEROAN,OSS
2805982620450,STATUS_BADAN_HUKUM,OSS
2805982620450,STATUS_PERSEROAN,OSS
2805982620450,ALAMAT,OSS
2805982620450,KELURAHAN,OSS
2805982620450,DAERAH_ID,OSS
2805982620450,KODE_POS,N/A
2805982620450,FLAG_IMPOR,OSS
2805982620450,FLAG_EKSPOR,OSS
2805982620450,JENIS_API,N/A
2805982620450,KODE_KANTOR,CEISA
2805982620450,NOMOR_TELPON,CEISA
2805982620450,KATEGORI,CEISA
2805982620450,NIPER,N/A
2805982620450,NOMOR_API,CEISA
2805982620450,ID_PERUSAHAAN,CEISA
2805982620450,TGL_PERUBAHAN_NIB,OSS
2805982620450,TGL_TERBIT_NIB,CEISA
2805982620450,TGL_SYNC_OSS,CEISA
2805982620450,STATUS_NIB,OSS
7543303654145,NIB,OSS
7543303654145,NPWP,OSS
7543303654145,NAMA,OSS
7543303654145,NAMA_SINGKATAN,OSS
7543303654145,JENIS_PERSEROAN,OSS
7543303654145,STATUS_BADAN_HUKUM,OSS
7543303654145,STATUS_PERSEROAN,OSS
7543303654145,ALAMAT,OSS
7543303654145,KELURAHAN,OSS
7543303654145,DAERAH_ID,OSS
7543303654145,KODE_POS,N/A
7543303654145,FLAG_IMPOR,OSS
7543303654145,FLAG_EKSPOR,OSS
7543303654145,JENIS_API,OSS
7543303654145,KODE_KANTOR,CEISA
7543303654145,NOMOR_TELPON,CEISA
7543303654145,KATEGORI,CEISA
7543303654145,NIPER,CEISA
7543303654145,NOMOR_API,N/A
7543303654145,ID_PERUSAHAAN,CEISA
7543303654145,TGL_PERUBAHAN_NIB,OSS
7543303654145,TGL_TERBIT_NIB,CEISA
7543303654145,TGL_SYNC_OSS,CEISA
7543303654145,STATUS_NIB,OSS
6981693406088,NIB,OSS
6981693406088,NPWP,OSS
6981693406088,NAMA,OSS
6981693406088,NAMA_SINGKATAN,OSS
6981693406088,JENIS_PERSEROAN,OSS
6981693406088,STATUS_BADAN_HUKUM,OSS
6981693406088,STATUS_PERSEROAN,OSS
6981693406088,ALAMAT,OSS
6981693406088,KELURAHAN,OSS
6981693406088,DAERAH_ID,OSS
6981693406088,KODE_POS,N/A
6981693406088,FLAG_IMPOR,OSS
6981693406088,FLAG_EKSPOR,OSS
6981693406088,JENIS_API,N/A
6981693406088,KODE_KANTOR,CEISA
6981693406088,NOMOR_TELPON,CEISA
6981693406088,KATEGORI,CEISA
6981693406088,NIPER,N/A
6981693406088,NOMOR_API,CEISA
6981693406088,ID_PERUSAHAAN,CEISA
6981693406088,TGL_PERUBAHAN_NIB,OSS
6981693406088,TGL_TERBIT_NIB,CEISA
6981693406088,TGL_SYNC_OSS,CEISA
6981693406088,STATUS_NIB,OSS
5648236629946,NIB,OSS
5648236629946,NPWP,OSS
5648236629946,NAMA,OSS
5648236629946,NAMA_SINGKATAN,OSS
5648236629946,JENIS_PERSEROAN,OSS
5648236629946,STATUS_BADAN_HUKUM,OSS
5648236629946,STATUS_PERSEROAN,OSS
5648236629946,ALAMAT,OSS
5648236629946,KELURAHAN,OSS
5648236629946,DAERAH_ID,OSS
5648236629946,KODE_POS,N/A
5648236629946,FLAG_IMPOR,OSS
5648236629946,FLAG_EKSPOR,OSS
5648236629946,JENIS_API,N/A
5648236629946,KODE_KANTOR,CEISA
5648236629946,NOMOR_TELPON,CEISA
5648236629946,KATEGORI,CEISA
5648236629946,NIPER,N/A
5648236629946,NOMOR_API,CEISA
5648236629946,ID_PERUSAHAAN,CEISA
5648236629946,TGL_PERUBAHAN_NIB,OSS
5648236629946,TGL_TERBIT_NIB,CEISA
5648236629946,TGL_SYNC_OSS,CEISA
5648236629946,STATUS_NIB,OSS
2148951343320,NIB,OSS
2148951343320,NPWP,OSS
2148951343320,NAMA,OSS
2148951343320,NAMA_SINGKATAN,OSS
2148951343320,JENIS_PERSEROAN,OSS
2148951343320,STATUS_BADAN_HUKUM,OSS
2148951343320,STATUS_PERSEROAN,OSS
2148951343320,ALAMAT,OSS
2148951343320,KELURAHAN,N/A
2148951343320,DAERAH_ID,OSS
2148951343320,KODE_POS,N/A
2148951343320,FLAG_IMPOR,OSS
2148951343320,FLAG_EKSPOR,OSS
2148951343320,JENIS_API,N/A
2148951343320,KODE_KANTOR,CEISA
2148951343320,NOMOR_TELPON,CEISA
2148951343320,KATEGORI,CEISA
2148951343320,NIPER,CEISA
2148951343320,NOMOR_API,CEISA
2148951343320,ID_PERUSAHAAN,CEISA
2148951343320,TGL_PERUBAHAN_NIB,OSS
2148951343320,TGL_TERBIT_NIB,CEISA
2148951343320,TGL_SYNC_OSS,CEISA
2148951343320,STATUS_NIB,OSS
8957986872774,NIB,OSS
8957986872774,NPWP,OSS
8957986872774,NAMA,OSS
8957986872774,NAMA_SINGKATAN,OSS
8957986872774,JENIS_PERSEROAN,OSS
8957986872774,STATUS_BADAN_HUKUM,OSS
8957986872774,STATUS_PERSEROAN,OSS
8957986872774,ALAMAT,OSS
8957986872774,KELURAHAN,OSS
8957986872774,DAERAH_ID,OSS
8957986872774,KODE_POS,N/A
8957986872774,FLAG_IMPOR,OSS
8957986872774,FLAG_EKSPOR,OSS
8957986872774,JENIS_API,N/A
8957986872774,KODE_KANTOR,CEISA
8957986872774,NOMOR_TELPON,CEISA
8957986872774,KATEGORI,CEISA
8957986872774,NIPER,CEISA
8957986872774,NOMOR_API,CEISA
8957986872774,ID_PERUSAHAAN,CEISA
8957986872774,TGL_PERUBAHAN_NIB,OSS
8957986872774,TGL_TERBIT_NIB,CEISA
8957986872774,TGL_SYNC_OSS,CEISA
8957986872774,STATUS_NIB,OSS
8122362316658,NIB,OSS
8122362316658,NPWP,OSS
8122362316658,NAMA,OSS
8122362316658,NAMA_SINGKATAN,OSS
8122362316658,JENIS_PERSEROAN,OSS
8122362316658,STATUS_BADAN_HUKUM,OSS
8122362316658,STATUS_PERSEROAN,OSS
8122362316658,ALAMAT,OSS
8122362316658,KELURAHAN,OSS
8122362316658,DAERAH_ID,OSS
8122362316658,KODE_POS,N/A
8122362316658,FLAG_IMPOR,OSS
8122362316658,FLAG_EKSPOR,OSS
8122362316658,JENIS_API,OSS
8122362316658,KODE_KANTOR,CEISA
8122362316658,NOMOR_TELPON,CEISA
8122362316658,KATEGORI,CEISA
8122362316658,NIPER,CEISA
8122362316658,NOMOR_API,N/A
8122362316658,ID_PERUSAHAAN,CEISA
8122362316658,TGL_PERUBAHAN_NIB,OSS
8122362316658,TGL_TERBIT_NIB,CEISA
8122362316658,TGL_SYNC_OSS,CEISA
8122362316658,STATUS_NIB,OSS
6889373467065,NIB,OSS
6889373467065,NPWP,OSS
6889373467065,NAMA,OSS
6889373467065,NAMA_SINGKATAN,OSS
6889373467065,JENIS_PERSEROAN,OSS
6889373467065,STATUS_BADAN_HUKUM,OSS
6889373467065,STATUS_PERSEROAN,OSS
6889373467065,ALAMAT,OSS
6889373467065,KELURAHAN,OSS
6889373467065,DAERAH_ID,OSS
6889373467065,KODE_POS,N/A
6889373467065,FLAG_IMPOR,OSS
6889373467065,FLAG_EKSPOR,OSS
6889373467065,JENIS_API,OSS
6889373467065,KODE_KANTOR,CEISA
6889373467065,NOMOR_TELPON,CEISA
6889373467065,KATEGORI,CEISA
6889373467065,NIPER,CEISA
6889373467065,NOMOR_API,CEISA
6889373467065,ID_PERUSAHAAN,CEISA
6889373467065,TGL_PERUBAHAN_NIB,OSS
6889373467065,TGL_TERBIT_NIB,CEISA
6889373467065,TGL_SYNC_OSS,CEISA
6889373467065,STATUS_NIB,OSS
1937452991241,NIB,OSS
1937452991241,NPWP,OSS
1937452991241,NAMA,OSS
1937452991241,NAMA_SINGKATAN,OSS
1937452991241,JENIS_PERSEROAN,OSS
1937452991241,STATUS_BADAN_HUKUM,OSS
1937452991241,STATUS_PERSEROAN,OSS
1937452991241,ALAMAT,OSS
1937452991241,KELURAHAN,OSS
1937452991241,DAERAH_ID,OSS
1937452991241,KODE_POS,N/A
1937452991241,FLAG_IMPOR,OSS
1937452991241,FLAG_EKSPOR,OSS
1937452991241,JENIS_API,N/A
1937452991241,KODE_KANTOR,CEISA
1937452991241,NOMOR_TELPON,CEISA
1937452991241,KATEGORI,CEISA
1937452991241,NIPER,N/A
1937452991241,NOMOR_API,CEISA
1937452991241,ID_PERUSAHAAN,CEISA
1937452991241,TGL_PERUBAHAN_NIB,OSS
1937452991241,TGL_TERBIT_NIB,CEISA
1937452991241,TGL_SYNC_OSS,CEISA
1937452991241,STATUS_NIB,OSS
9190586518506,NIB,OSS
9190586518506,NPWP,OSS
9190586518506,NAMA,OSS
9190586518506,NAMA_SINGKATAN,OSS
9190586518506,JENIS_PERSEROAN,OSS
9190586518506,STATUS_BADAN_HUKUM,OSS
9190586518506,STATUS_PERSEROAN,OSS
9190586518506,ALAMAT,OSS
9190586518506,KELURAHAN,OSS
9190586518506,DAERAH_ID,OSS
9190586518506,KODE_POS,N/A
9190586518506,FLAG_IMPOR,OSS
9190586518506,FLAG_EKSPOR,OSS
9190586518506,JENIS_API,OSS
9190586518506,KODE_KANTOR,CEISA
9190586518506,NOMOR_TELPON,CEISA
9190586518506,KATEGORI,CEISA
9190586518506,NIPER,N/A
9190586518506,NOMOR_API,CEISA
9190586518506,ID_PERUSAHAAN,CEISA
9190586518506,TGL_PERUBAHAN_NIB,OSS
9190586518506,TGL_TERBIT_NIB,CEISA
9190586518506,TGL_SYNC_OSS,CEISA
9190586518506,STATUS_NIB,OSS
4531473799650,NIB,OSS
4531473799650,NPWP,OSS
4531473799650,NAMA,OSS
4531473799650,NAMA_SINGKATAN,OSS
4531473799650,JENIS_PERSEROAN,OSS
4531473799650,STATUS_BADAN_HUKUM,OSS
4531473799650,STATUS_PERSEROAN,OSS
4531473799650,ALAMAT,OSS
4531473799650,KELURAHAN,OSS
4531473799650,DAERAH_ID,OSS
4531473799650,KODE_POS,N/A
4531473799650,FLAG_IMPOR,OSS
4531473799650,FLAG_EKSPOR,OSS
4531473799650,JENIS_API,N/A
4531473799650,KODE_KANTOR,CEISA
4531473799650,NOMOR_TELPON,CEISA
4531473799650,KATEGORI,CEISA
4531473799650,NIPER,N/A
4531473799650,NOMOR_API,CEISA
4531473799650,ID_PERUSAHAAN,CEISA
4531473799650,TGL_PERUBAHAN_NIB,OSS
4531473799650,TGL_TERBIT_NIB,CEISA
4531473799650,TGL_SYNC_OSS,CEISA
4531473799650,STATUS_NIB,OSS
3678377701436,NIB,OSS
3678377701436,NPWP,OSS
3678377701436,NAMA,OSS
3678377701436,NAMA_SINGKATAN,OSS
3678377701436,JENIS_PERSEROAN,OSS
3678377701436,STATUS_BADAN_HUKUM,OSS
3678377701436,STATUS_PERSEROAN,OSS
3678377701436,ALAMAT,OSS
3678377701436,KELURAHAN,OSS
3678377701436,DAERAH_ID,OSS
3678377701436,KODE_POS,N/A
3678377701436,FLAG_IMPOR,OSS
3678377701436,FLAG_EKSPOR,OSS
3678377701436,JENIS_API,N/A
3678377701436,KODE_KANTOR,CEISA
3678377701436,NOMOR_TELPON,CEISA
3678377701436,KATEGORI,CEISA
3678377701436,NIPER,N/A
3678377701436,NOMOR_API,CEISA
3678377701436,ID_PERUSAHAAN,CEISA
3678377701436,TGL_PERUBAHAN_NIB,OSS
3678377701436,TGL_TERBIT_NIB,CEISA
3678377701436,TGL_SYNC_OSS,CEISA
3678377701436,STATUS_NIB,OSS
3518233749894,NIB,OSS
3518233749894,NPWP,OSS
3518233749894,NAMA,OSS
3518233749894,NAMA_SINGKATAN,OSS
3518233749894,JENIS_PERSEROAN,OSS
3518233749894,STATUS_BADAN_HUKUM,OSS
3518233749894,STATUS_PERSEROAN,OSS
3518233749894,ALAMAT,OSS
3518233749894,KELURAHAN,OSS
3518233749894,DAERAH_ID,OSS
3518233749894,KODE_POS,N/A
3518233749894,FLAG_IMPOR,OSS
3518233749894,FLAG_EKSPOR,OSS
3518233749894,JENIS_API,N/A
3518233749894,KODE_KANTOR,CEISA
3518233749894,NOMOR_TELPON,CEISA
3518233749894,KATEGORI,CEISA
3518233749894,NIPER,CEISA
3518233749894,NOMOR_API,N/A
3518233749894,ID_PERUSAHAAN,CEISA
3518233749894,TGL_PERUBAHAN_NIB,OSS
3518233749894,TGL_TERBIT_NIB,CEISA
3518233749894,TGL_SYNC_OSS,CEISA
3518233749894,STATUS_NIB,OSS
2710947775204,NIB,OSS
2710947775204,NPWP,OSS
2710947775204,NAMA,OSS
2710947775204,NAMA_SINGKATAN,OSS
2710947775204,JENIS_PERSEROAN,OSS
2710947775204,STATUS_BADAN_HUKUM,OSS
2710947775204,STATUS_PERSEROAN,OSS
2710947775204,ALAMAT,OSS
2710947775204,KELURAHAN,OSS
2710947775204,DAERAH_ID,OSS
2710947775204,KODE_POS,N/A
2710947775204,FLAG_IMPOR,OSS
2710947775204,FLAG_EKSPOR,OSS
2710947775204,JENIS_API,OSS
2710947775204,KODE_KANTOR,CEISA
2710947775204,NOMOR_TELPON,CEISA
2710947775204,KATEGORI,CEISA
2710947775204,NIPER,CEISA
2710947775204,NOMOR_API,N/A
2710947775204,ID_PERUSAHAAN,CEISA
2710947775204,TGL_PERUBAHAN_NIB,OSS
2710947775204,TGL_TERBIT_NIB,CEISA
2710947775204,TGL_SYNC_OSS,CEISA
2710947775204,STATUS_NIB,OSS
9938677496499,NIB,OSS
9938677496499,NPWP,OSS
9938677496499,NAMA,OSS
9938677496499,NAMA_SINGKATAN,OSS
9938677496499,JENIS_PERSEROAN,OSS
9938677496499,STATUS_BADAN_HUKUM,OSS
9938677496499,STATUS_PERSEROAN,OSS
9938677496499,ALAMAT,OSS
9938677496499,KELURAHAN,OSS
9938677496499,DAERAH_ID,OSS
9938677496499,KODE_POS,N/A
9938677496499,FLAG_IMPOR,OSS
9938677496499,FLAG_EKSPOR,OSS
9938677496499,JENIS_API,OSS
9938677496499,KODE_KANTOR,CEISA
9938677496499,NOMOR_TELPON,CEISA
9938677496499,KATEGORI,CEISA
9938677496499,NIPER,CEISA
9938677496499,NOMOR_API,CEISA
9938677496499,ID_PERUSAHAAN,CEISA
9938677496499,TGL_PERUBAHAN_NIB,OSS
9938677496499,TGL_TERBIT_NIB,CEISA
9938677496499,TGL_SYNC_OSS,CEISA
9938677496499,STATUS_NIB,OSS
9740344713493,NIB,OSS
9740344713493,NPWP,OSS
9740344713493,NAMA,OSS
9740344713493,NAMA_SINGKATAN,OSS
9740344713493,JENIS_PERSEROAN,OSS
9740344713493,STATUS_BADAN_HUKUM,OSS
9740344713493,STATUS_PERSEROAN,OSS
9740344713493,ALAMAT,OSS
9740344713493,KELURAHAN,OSS
9740344713493,DAERAH_ID,OSS
9740344713493,KODE_POS,N/A
9740344713493,FLAG_IMPOR,OSS
9740344713493,FLAG_EKSPOR,OSS
9740344713493,JENIS_API,OSS
9740344713493,KODE_KANTOR,CEISA
9740344713493,NOMOR_TELPON,CEISA
9740344713493,KATEGORI,CEISA
9740344713493,NIPER,CEISA
9740344713493,NOMOR_API,N/A
9740344713493,ID_PERUSAHAAN,CEISA
9740344713493,TGL_PERUBAHAN_NIB,OSS
9740344713493,TGL_TERBIT_NIB,CEISA
9740344713493,TGL_SYNC_OSS,CEISA
9740344713493,STATUS_NIB,OSS
6488771906594,NIB,OSS
6488771906594,NPWP,OSS
6488771906594,NAMA,OSS
6488771906594,NAMA_SINGKATAN,OSS
6488771906594,JENIS_PERSEROAN,OSS
6488771906594,STATUS_BADAN_HUKUM,OSS
6488771906594,STATUS_PERSEROAN,OSS
6488771906594,ALAMAT,OSS
6488771906594,KELURAHAN,OSS
6488771906594,DAERAH_ID,OSS
6488771906594,KODE_POS,N/A
6488771906594,FLAG_IMPOR,OSS
6488771906594,FLAG_EKSPOR,OSS
6488771906594,JENIS_API,N/A
6488771906594,KODE_KANTOR,CEISA
6488771906594,NOMOR_TELPON,CEISA
6488771906594,KATEGORI,CEISA
6488771906594,NIPER,CEISA
6488771906594,NOMOR_API,N/A
6488771906594,ID_PERUSAHAAN,CEISA
6488771906594,TGL_PERUBAHAN_NIB,OSS
6488771906594,TGL_TERBIT_NIB,CEISA
6488771906594,TGL_SYNC_OSS,CEISA
6488771906594,STATUS_NIB,OSS
2967175655125,NIB,OSS
2967175655125,NPWP,OSS
2967175655125,NAMA,OSS
2967175655125,NAMA_SINGKATAN,OSS
2967175655125,JENIS_PERSEROAN,OSS
2967175655125,STATUS_BADAN_HUKUM,OSS
2967175655125,STATUS_PERSEROAN,OSS
2967175655125,ALAMAT,OSS
2967175655125,KELURAHAN,OSS
2967175655125,DAERAH_ID,OSS
2967175655125,KODE_POS,N/A
2967175655125,FLAG_IMPOR,OSS
2967175655125,FLAG_EKSPOR,OSS
2967175655125,JENIS_API,OSS
2967175655125,KODE_KANTOR,CEISA
2967175655125,NOMOR_TELPON,CEISA
2967175655125,KATEGORI,CEISA
2967175655125,NIPER,CEISA
2967175655125,NOMOR_API,CEISA
2967175655125,ID_PERUSAHAAN,CEISA
2967175655125,TGL_PERUBAHAN_NIB,OSS
