NIB,field,oss_value,ceisa_value,winner
9464743671369,NAMA,PT PRAYOGA (PERSERO) TBK,PRAYOGA (PERSERO) TBK (CABANG),OSS
2474517123685,NPWP_VALUE,11.809.404.0-270.549,27.352.511.6-885.460,OSS
2474517123685,FLAG_EKSPOR_vs_NIPER,N,9762748218.0,OSS (FLAG_EKSPOR)
0985931746120,NAMA,PD SIHOMBING,PD SIHOMBING (CABANG),OSS
0985931746120,FLAG_EKSPOR_vs_NIPER,N,3289023170.0,OSS (FLAG_EKSPOR)
2931839335290,NPWP_VALUE,35.879.148.2-553.256,30527635,OSS
0268117758917,FLAG_EKSPOR_vs_NIPER,N,4803163678.0,OSS (FLAG_EKSPOR)
1836736576615,NAMA,PD HALIMAH PRASASTA TBK,PD HALIMAH PRASASTA TBK (CABANG),OSS
6899809402445,NAMA,PT SIMANJUNTAK KUSMAWATI TBK,SIMANJUNTAK KUSMAWATI TBK (CABANG),OSS
5459910229014,FLAG_EKSPOR_vs_NIPER,N,4803163678.0,OSS (FLAG_EKSPOR)
5160607159696,FLAG_EKSPOR_vs_NIPER,N,7993655137.0,OSS (FLAG_EKSPOR)
9681645352181,NPWP_VALUE,67.522.198.5-359.744,885969781,OSS
1277997995527,NPWP_VALUE,08.480.452.4-815.281,99326997483449,OSS
4119986798079,NAMA,CV USADA (PERSERO) TBK,CV USADA (PERSERO) TBK (CABANG),OSS
1518644925192,FLAG_EKSPOR_vs_NIPER,N,8183421333.0,OSS (FLAG_EKSPOR)
8168505423573,FLAG_EKSPOR_vs_NIPER,N,1710656748.0,OSS (FLAG_EKSPOR)
2392407581814,STATUS_NIB,DICABUT,AKTIF,OSS
2392407581814,NPWP_VALUE,10.781.164.4-460.927,48687527877,OSS
2392407581814,NAMA,PT WIDODO TBK,WIDODO TBK (CABANG),OSS
2392407581814,FLAG_EKSPOR_vs_NIPER,N,5769206245.0,OSS (FLAG_EKSPOR)
7980893246095,FLAG_EKSPOR_vs_NIPER,N,2265611274.0,OSS (FLAG_EKSPOR)
4051531952058,NPWP_VALUE,43.833.658.2-850.797,4993626636,OSS
4051531952058,FLAG_EKSPOR_vs_NIPER,N,4803163678.0,OSS (FLAG_EKSPOR)
9640165820297,NPWP_VALUE,04.129.068.3-797.660,94064227,OSS
0727155188442,NPWP_VALUE,91.726.949.2-812.370,74.256.384.6-336.517,OSS
0727155188442,FLAG_EKSPOR_vs_NIPER,N,9872537822.0,OSS (FLAG_EKSPOR)
0182422535841,NPWP_VALUE,32.201.650.8-281.128,482542284,OSS
9590010943969,NPWP_VALUE,81.031.509.8-296.657,404382124,OSS
9590010943969,FLAG_EKSPOR_vs_NIPER,N,4651180772.0,OSS (FLAG_EKSPOR)
6773592555625,FLAG_EKSPOR_vs_NIPER,N,4803163678.0,OSS (FLAG_EKSPOR)
9632595327877,FLAG_EKSPOR_vs_NIPER,N,2815592836.0,OSS (FLAG_EKSPOR)
7480162456506,FLAG_EKSPOR_vs_NIPER,N,2895667672.0,OSS (FLAG_EKSPOR)
5852398680002,NPWP_VALUE,91.341.823.7-531.467,43868335,OSS
5852398680002,FLAG_EKSPOR_vs_NIPER,N,4803163678.0,OSS (FLAG_EKSPOR)
8879470551694,NAMA,PERUM NURDIYANTI SURYATMI (PERSERO) TBK,PERUM NURDIYANTI SURYATMI (PERSERO) TBK (CABANG),OSS
9130756263689,STATUS_NIB,DICABUT,AKTIF,OSS
9130756263689,NAMA,UD WAHYUNI (PERSERO) TBK,UD WAHYUNI (PERSERO) TBK (CABANG),OSS
9130756263689,FLAG_EKSPOR_vs_NIPER,N,4803163678.0,OSS (FLAG_EKSPOR)
5497334843443,STATUS_NIB,DICABUT,AKTIF,OSS
7120826773454,NPWP_VALUE,82.060.929.1-667.587,113571811,OSS
7120826773454,FLAG_EKSPOR_vs_NIPER,N,3259425990.0,OSS (FLAG_EKSPOR)
4004991547887,FLAG_EKSPOR_vs_NIPER,N,8811670079.0,OSS (FLAG_EKSPOR)
1878519108839,STATUS_NIB,DICABUT,AKTIF,OSS
1878519108839,NPWP_VALUE,68.153.168.5-874.532,96749199,OSS
1878519108839,NAMA,PERUM HARYANTI HARYANTO (PERSERO) TBK,PERUM HARYANTI HARYANTO (PERSERO) TBK (CABANG),OSS
6567661825128,FLAG_EKSPOR_vs_NIPER,N,6171425487.0,OSS (FLAG_EKSPOR)
6624628733427,NPWP_VALUE,07.575.422.6-570.542,091714797,OSS
6624628733427,FLAG_EKSPOR_vs_NIPER,N,7301386037.0,OSS (FLAG_EKSPOR)
1830469901398,FLAG_EKSPOR_vs_NIPER,N,4803163678.0,OSS (FLAG_EKSPOR)
6937854777252,NPWP_VALUE,17.737.559.7-188.938,20.577.660.4-091.708,OSS
6937854777252,FLAG_EKSPOR_vs_NIPER,N,2555013816.0,OSS (FLAG_EKSPOR)
0339845461567,FLAG_EKSPOR_vs_NIPER,N,6830347865.0,OSS (FLAG_EKSPOR)
6629619431142,FLAG_EKSPOR_vs_NIPER,N,3808590419.0,OSS (FLAG_EKSPOR)
2444721264647,NAMA,PT HARDIANSYAH SIREGAR,HARDIANSYAH SIREGAR (CABANG),OSS
6886805891135,NAMA,CV NAPITUPULU TBK,CV NAPITUPULU TBK (CABANG),OSS
8899375679825,FLAG_EKSPOR_vs_NIPER,N,4803163678.0,OSS (FLAG_EKSPOR)
1775140105123,NPWP_VALUE,66.178.565.2-338.573,47.277.637.6-889.564,OSS
0937966033419,FLAG_EKSPOR_vs_NIPER,N,1343504146.0,OSS (FLAG_EKSPOR)
6278282742257,NPWP_VALUE,79.054.886.5-974.009,24.292.046.5-388.555,OSS
6278282742257,FLAG_EKSPOR_vs_NIPER,N,9791455751.0,OSS (FLAG_EKSPOR)
2190340438427,NPWP_VALUE,72.760.791.7-562.523,7829837699725,OSS
1340745171339,NAMA,UD YULIARTI (PERSERO) TBK,UD YULIARTI (PERSERO) TBK (CABANG),OSS
5449481260422,FLAG_EKSPOR_vs_NIPER,N,4803163678.0,OSS (FLAG_EKSPOR)
0684577590175,NPWP_VALUE,08.814.547.6-223.991,296895346,OSS
0684577590175,FLAG_EKSPOR_vs_NIPER,N,7673179334.0,OSS (FLAG_EKSPOR)
3611037129387,FLAG_EKSPOR_vs_NIPER,N,4803163678.0,OSS (FLAG_EKSPOR)
6523413899940,FLAG_EKSPOR_vs_NIPER,N,7483366126.0,OSS (FLAG_EKSPOR)
9180552696582,FLAG_EKSPOR_vs_NIPER,N,4803163678.0,OSS (FLAG_EKSPOR)
0307562208635,NPWP_VALUE,31.426.937.5-277.845,31819568,OSS
0307562208635,NAMA,PERUM RAHAYU,PERUM RAHAYU (CABANG),OSS
0506413836702,FLAG_EKSPOR_vs_NIPER,N,4803163678.0,OSS (FLAG_EKSPOR)
6199062344565,NPWP_VALUE,40.463.278.3-076.966,50853926,OSS
6199062344565,FLAG_EKSPOR_vs_NIPER,N,2785087978.0,OSS (FLAG_EKSPOR)
3747411249035,FLAG_EKSPOR_vs_NIPER,N,4803163678.0,OSS (FLAG_EKSPOR)
1712100323651,NPWP_VALUE,74.600.265.1-022.066,33.225.086.4-566.329,OSS
0999347687014,FLAG_EKSPOR_vs_NIPER,N,521021784.0,OSS (FLAG_EKSPOR)
6420593040785,FLAG_EKSPOR_vs_NIPER,N,3209636074.0,OSS (FLAG_EKSPOR)
2239559059929,NAMA,PT WASKITA,WASKITA (CABANG),OSS
5932525002921,FLAG_EKSPOR_vs_NIPER,N,4803163678.0,OSS (FLAG_EKSPOR)
2513552157043,FLAG_EKSPOR_vs_NIPER,N,6192131753.0,OSS (FLAG_EKSPOR)
7062962015336,FLAG_EKSPOR_vs_NIPER,N,1642206917.0,OSS (FLAG_EKSPOR)
6149731032417,FLAG_EKSPOR_vs_NIPER,N,4803163678.0,OSS (FLAG_EKSPOR)
4774349021158,FLAG_EKSPOR_vs_NIPER,N,4803163678.0,OSS (FLAG_EKSPOR)
6329451168685,NPWP_VALUE,35.532.469.0-805.717,639321943,OSS
6329451168685,FLAG_EKSPOR_vs_NIPER,N,4803163678.0,OSS (FLAG_EKSPOR)
5054447132475,NPWP_VALUE,34.746.426.9-661.091,40.838.935.3-492.236,OSS
5054447132475,NAMA,UD ASTUTI KURNIAWAN (PERSERO) TBK,UD ASTUTI KURNIAWAN (PERSERO) TBK (CABANG),OSS
5054447132475,FLAG_EKSPOR_vs_NIPER,N,6596912394.0,OSS (FLAG_EKSPOR)
8214862890233,NAMA,PT LAKSMIWATI (PERSERO) TBK,LAKSMIWATI (PERSERO) TBK (CABANG),OSS
7972798552414,NPWP_VALUE,03.395.050.2-874.585,46823798893,OSS
7972798552414,FLAG_EKSPOR_vs_NIPER,N,7159295269.0,OSS (FLAG_EKSPOR)
0722903494466,FLAG_EKSPOR_vs_NIPER,N,1159387578.0,OSS (FLAG_EKSPOR)
5494717099917,FLAG_EKSPOR_vs_NIPER,N,8160636077.0,OSS (FLAG_EKSPOR)
2175250074329,FLAG_EKSPOR_vs_NIPER,N,1369760254.0,OSS (FLAG_EKSPOR)
5058300335421,NPWP_VALUE,49.515.602.4-171.066,88.181.985.2-289.572,OSS
5058300335421,FLAG_EKSPOR_vs_NIPER,N,341928505.0,OSS (FLAG_EKSPOR)
3564208737530,FLAG_EKSPOR_vs_NIPER,N,4803163678.0,OSS (FLAG_EKSPOR)
7447012045561,FLAG_EKSPOR_vs_NIPER,N,6703108610.0,OSS (FLAG_EKSPOR)
0166088019948,FLAG_EKSPOR_vs_NIPER,N,4803163678.0,OSS (FLAG_EKSPOR)
6978292216995,FLAG_EKSPOR_vs_NIPER,N,33089729.0,OSS (FLAG_EKSPOR)
8485833394522,FLAG_EKSPOR_vs_NIPER,N,8928326328.0,OSS (FLAG_EKSPOR)
0810620034244,NPWP_VALUE,18.859.063.4-208.771,026498757,OSS
0810620034244,NAMA,PD SURYATMI,PD SURYATMI (CABANG),OSS
4066658004397,STATUS_NIB,DICABUT,AKTIF,OSS
1606484229405,FLAG_EKSPOR_vs_NIPER,N,2483445211.0,OSS (FLAG_EKSPOR)
1826886153355,NPWP_VALUE,46.300.223.9-543.486,64.947.538.9-540.489,OSS
1648408588770,NPWP_VALUE,37.919.667.3-328.526,071185413,OSS
6452577754781,STATUS_NIB,DICABUT,AKTIF,OSS
6452577754781,FLAG_EKSPOR_vs_NIPER,N,4803163678.0,OSS (FLAG_EKSPOR)
0848872563942,NPWP_VALUE,59.513.522.1-406.372,68050156,OSS
0848872563942,NAMA,PD MANDASARI DABUKKE TBK,PD MANDASARI DABUKKE TBK (CABANG),OSS
0388629127990,NAMA,PT SITOMPUL SUSANTI (PERSERO) TBK,SITOMPUL SUSANTI (PERSERO) TBK (CABANG),OSS
7659916247314,NPWP_VALUE,76.897.556.6-263.193,64459222328859,OSS
9472846392086,FLAG_EKSPOR_vs_NIPER,N,4803163678.0,OSS (FLAG_EKSPOR)
1559428434795,STATUS_NIB,DICABUT,AKTIF,OSS
1559428434795,NAMA,CV GUNARTO ANGGRAINI,CV GUNARTO ANGGRAINI (CABANG),OSS
1559428434795,FLAG_EKSPOR_vs_NIPER,N,6872747584.0,OSS (FLAG_EKSPOR)
4722569961125,FLAG_EKSPOR_vs_NIPER,N,9380091505.0,OSS (FLAG_EKSPOR)
2341326111780,NPWP_VALUE,03.789.406.8-783.085,762622858838,OSS
7228200557784,STATUS_NIB,DICABUT,AKTIF,OSS
1745642400825,FLAG_EKSPOR_vs_NIPER,N,4803163678.0,OSS (FLAG_EKSPOR)
3686632663416,NPWP_VALUE,80.245.529.9-826.710,99733545,OSS
4757051204618,NAMA,UD YOLANDA TBK,UD YOLANDA TBK (CABANG),OSS
8376452088147,NAMA,PD FIRGANTORO PADMASARI (PERSERO) TBK,PD FIRGANTORO PADMASARI (PERSERO) TBK (CABANG),OSS
6300979251327,NPWP_VALUE,11.702.633.5-953.992,49687293,OSS
2886195761228,STATUS_NIB,DICABUT,AKTIF,OSS
2886195761228,NPWP_VALUE,51.516.345.2-546.614,73629616,OSS
2886195761228,NAMA,PT PRADANA PRASETYO (PERSERO) TBK,PRADANA PRASETYO (PERSERO) TBK (CABANG),OSS
2886195761228,FLAG_EKSPOR_vs_NIPER,N,4803163678.0,OSS (FLAG_EKSPOR)
9610556613906,NPWP_VALUE,06.312.536.0-326.552,63.269.924.3-599.139,OSS
9610556613906,NAMA,CV LAKSMIWATI SITOMPUL (PERSERO) TBK,CV LAKSMIWATI SITOMPUL (PERSERO) TBK (CABANG),OSS
9813646225179,NAMA,PD HARDIANSYAH (PERSERO) TBK,PD HARDIANSYAH (PERSERO) TBK (CABANG),OSS
8983314659116,NPWP_VALUE,54.374.356.3-328.352,044039475,OSS
8983314659116,FLAG_EKSPOR_vs_NIPER,N,1829387338.0,OSS (FLAG_EKSPOR)
3352110392405,NPWP_VALUE,88.823.113.4-460.482,89.126.648.0-792.334,OSS
3352110392405,NAMA,PT AGUSTINA RAHAYU,AGUSTINA RAHAYU (CABANG),OSS
3352110392405,FLAG_EKSPOR_vs_NIPER,N,4955651607.0,OSS (FLAG_EKSPOR)
0698042043940,NPWP_VALUE,59.670.967.0-068.397,4688992692,OSS
4046084325621,NPWP_VALUE,93.391.533.9-893.640,60.324.384.6-082.206,OSS
2222064474212,FLAG_EKSPOR_vs_NIPER,N,1174237040.0,OSS (FLAG_EKSPOR)
7671990384983,NPWP_VALUE,06.189.151.0-668.357,17.395.503.5-559.136,OSS
2499982795014,FLAG_EKSPOR_vs_NIPER,N,2474141891.0,OSS (FLAG_EKSPOR)
0155699023557,FLAG_EKSPOR_vs_NIPER,N,3841735445.0,OSS (FLAG_EKSPOR)
3574384215031,FLAG_EKSPOR_vs_NIPER,N,4803163678.0,OSS (FLAG_EKSPOR)
2307681040915,FLAG_EKSPOR_vs_NIPER,N,4803163678.0,OSS (FLAG_EKSPOR)
8571422410988,STATUS_NIB,DICABUT,AKTIF,OSS
7020701601662,NPWP_VALUE,90.610.912.9-644.856,79505274,OSS
7020701601662,NAMA,UD PRANOWO,UD PRANOWO (CABANG),OSS
7020701601662,FLAG_EKSPOR_vs_NIPER,N,5175509356.0,OSS (FLAG_EKSPOR)
8179217174773,NPWP_VALUE,28.147.881.9-264.934,42.954.366.3-854.679,OSS
8179217174773,NAMA,PERUM HARIYAH,PERUM HARIYAH (CABANG),OSS
8179217174773,FLAG_EKSPOR_vs_NIPER,N,8051725605.0,OSS (FLAG_EKSPOR)
6570132902278,FLAG_EKSPOR_vs_NIPER,N,1346132266.0,OSS (FLAG_EKSPOR)
6562422010276,STATUS_NIB,DICABUT,AKTIF,OSS
1894905807787,NPWP_VALUE,73.751.339.6-361.983,67838745894793,OSS
3728051292766,NPWP_VALUE,30.676.450.2-215.591,19.839.827.1-866.811,OSS
7836674286047,FLAG_EKSPOR_vs_NIPER,N,4803163678.0,OSS (FLAG_EKSPOR)
9673938525800,NPWP_VALUE,08.012.421.1-537.106,996301891,OSS
9673938525800,FLAG_EKSPOR_vs_NIPER,N,9881557160.0,OSS (FLAG_EKSPOR)
0093911192692,NPWP_VALUE,14.712.188.4-301.478,19995521,OSS
0093911192692,NAMA,CV LAKSMIWATI WIBOWO TBK,CV LAKSMIWATI WIBOWO TBK (CABANG),OSS
7766183067198,FLAG_EKSPOR_vs_NIPER,N,5202910018.0,OSS (FLAG_EKSPOR)
6519825309251,NPWP_VALUE,15.280.144.6-172.713,80964557,OSS
6519825309251,NAMA,PERUM SIHOMBING,PERUM SIHOMBING (CABANG),OSS
1002194672324,NPWP_VALUE,66.461.421.3-960.178,84006923,OSS
1002194672324,FLAG_EKSPOR_vs_NIPER,N,3125908281.0,OSS (FLAG_EKSPOR)
3181958837340,FLAG_EKSPOR_vs_NIPER,N,4803163678.0,OSS (FLAG_EKSPOR)
6459701082207,NAMA,CV PANGESTU PRAYOGA,CV PANGESTU PRAYOGA (CABANG),OSS
3356939290600,NPWP_VALUE,60.751.787.8-034.435,32.955.455.5-242.351,OSS
3356939290600,NAMA,CV MANDASARI TBK,CV MANDASARI TBK (CABANG),OSS
3356939290600,FLAG_EKSPOR_vs_NIPER,N,6727429311.0,OSS (FLAG_EKSPOR)
6401557788178,FLAG_EKSPOR_vs_NIPER,N,8107209605.0,OSS (FLAG_EKSPOR)
5579887749242,FLAG_EKSPOR_vs_NIPER,N,4803163678.0,OSS (FLAG_EKSPOR)
3751509398343,FLAG_EKSPOR_vs_NIPER,N,4803163678.0,OSS (FLAG_EKSPOR)
8519610646287,FLAG_EKSPOR_vs_NIPER,N,1417717385.0,OSS (FLAG_EKSPOR)
1589042902572,FLAG_EKSPOR_vs_NIPER,N,4803163678.0,OSS (FLAG_EKSPOR)
3423216110760,NPWP_VALUE,25.110.033.8-607.060,46428961,OSS
3932501249552,NPWP_VALUE,64.799.746.9-247.517,4845669587476,OSS
3932501249552,NAMA,PD FARIDA,PD FARIDA (CABANG),OSS
3932501249552,FLAG_EKSPOR_vs_NIPER,N,4803163678.0,OSS (FLAG_EKSPOR)
8015716479473,FLAG_EKSPOR_vs_NIPER,N,2649066031.0,OSS (FLAG_EKSPOR)
1126691215353,FLAG_EKSPOR_vs_NIPER,N,3273093361.0,OSS (FLAG_EKSPOR)
6784271147732,FLAG_EKSPOR_vs_NIPER,N,9104330317.0,OSS (FLAG_EKSPOR)
8773477848588,FLAG_EKSPOR_vs_NIPER,N,4534133094.0,OSS (FLAG_EKSPOR)
4276246719788,NPWP_VALUE,73.481.487.8-874.160,09.019.177.1-271.584,OSS
2945637183440,NPWP_VALUE,38.587.411.3-639.760,99.940.479.4-496.455,OSS
4846853664987,FLAG_EKSPOR_vs_NIPER,N,9594938940.0,OSS (FLAG_EKSPOR)
1898471391559,FLAG_EKSPOR_vs_NIPER,N,4803163678.0,OSS (FLAG_EKSPOR)
7851586734257,NAMA,CV PANGESTU,CV PANGESTU (CABANG),OSS
1837606441343,NPWP_VALUE,20.937.449.5-900.831,87582666225555,OSS
1837606441343,NAMA,PD DAMANIK SITOMPUL (PERSERO) TBK,PD DAMANIK SITOMPUL (PERSERO) TBK (CABANG),OSS
1837606441343,FLAG_EKSPOR_vs_NIPER,N,6252881621.0,OSS (FLAG_EKSPOR)
5612481569857,NAMA,PT HASTUTI (PERSERO) TBK,HASTUTI (PERSERO) TBK (CABANG),OSS
0382965772429,STATUS_NIB,DICABUT,AKTIF,OSS
4476263934362,NAMA,PD PERMADI PERTIWI,PD PERMADI PERTIWI (CABANG),OSS
4476263934362,FLAG_EKSPOR_vs_NIPER,N,6828501005.0,OSS (FLAG_EKSPOR)
4856257287032,NAMA,PERUM SUARTINI HALIMAH,PERUM SUARTINI HALIMAH (CABANG),OSS
1659152017774,NAMA,PERUM KURNIAWAN,PERUM KURNIAWAN (CABANG),OSS
0896164236103,NPWP_VALUE,20.397.798.6-291.662,308711355,OSS
0896164236103,FLAG_EKSPOR_vs_NIPER,N,8467886744.0,OSS (FLAG_EKSPOR)
1476174224386,FLAG_EKSPOR_vs_NIPER,N,7874775566.0,OSS (FLAG_EKSPOR)
7945232194168,NPWP_VALUE,02.005.404.1-013.175,777869560,OSS
7945232194168,FLAG_EKSPOR_vs_NIPER,N,4803163678.0,OSS (FLAG_EKSPOR)
5641220310303,FLAG_EKSPOR_vs_NIPER,N,5061258810.0,OSS (FLAG_EKSPOR)
5972466572934,FLAG_EKSPOR_vs_NIPER,N,2807364511.0,OSS (FLAG_EKSPOR)
0545228015619,NPWP_VALUE,29.123.575.3-498.264,86091049,OSS
0545228015619,NAMA,UD RAJASA HIDAYAT,UD RAJASA HIDAYAT (CABANG),OSS
8507208115562,NPWP_VALUE,55.062.402.0-676.944,9756594793579,OSS
0753998935449,FLAG_EKSPOR_vs_NIPER,N,6727292911.0,OSS (FLAG_EKSPOR)
6110627371586,FLAG_EKSPOR_vs_NIPER,N,4689841474.0,OSS (FLAG_EKSPOR)
4470229604432,NPWP_VALUE,94.500.002.1-560.357,00886856,OSS
4470229604432,FLAG_EKSPOR_vs_NIPER,N,6907003978.0,OSS (FLAG_EKSPOR)
9228777251996,NPWP_VALUE,49.238.921.6-347.553,25829262635645,OSS
9228777251996,FLAG_EKSPOR_vs_NIPER,N,4803163678.0,OSS (FLAG_EKSPOR)
0687681180715,STATUS_NIB,DICABUT,AKTIF,OSS
0687681180715,FLAG_EKSPOR_vs_NIPER,N,4803163678.0,OSS (FLAG_EKSPOR)
5319433750479,FLAG_EKSPOR_vs_NIPER,N,4803163678.0,OSS (FLAG_EKSPOR)
2493843089487,FLAG_EKSPOR_vs_NIPER,N,5982965294.0,OSS (FLAG_EKSPOR)
3046875063519,NAMA,PT USAMAH TBK,USAMAH TBK (CABANG),OSS
1207049611080,NPWP_VALUE,37.870.390.6-098.632,526554787579,OSS
1207049611080,FLAG_EKSPOR_vs_NIPER,N,2644608988.0,OSS (FLAG_EKSPOR)
0249685498227,FLAG_EKSPOR_vs_NIPER,N,9223139151.0,OSS (FLAG_EKSPOR)
3153779599594,NPWP_VALUE,53.336.166.1-465.897,38531189,OSS
2583230241026,FLAG_EKSPOR_vs_NIPER,N,5297954550.0,OSS (FLAG_EKSPOR)
9611223386559,FLAG_EKSPOR_vs_NIPER,N,4803163678.0,OSS (FLAG_EKSPOR)
9731791286857,FLAG_EKSPOR_vs_NIPER,N,526400552.0,OSS (FLAG_EKSPOR)
7363466925481,FLAG_EKSPOR_vs_NIPER,N,1443623564.0,OSS (FLAG_EKSPOR)
7546027341514,NAMA,PT HARYANTI TBK,HARYANTI TBK (CABANG),OSS
4439284044566,NPWP_VALUE,74.775.671.0-483.669,2484698827339,OSS
8775153663778,FLAG_EKSPOR_vs_NIPER,N,9836250676.0,OSS (FLAG_EKSPOR)
2182097023164,FLAG_EKSPOR_vs_NIPER,N,9766262793.0,OSS (FLAG_EKSPOR)
3859777901475,FLAG_EKSPOR_vs_NIPER,N,1921313865.0,OSS (FLAG_EKSPOR)
2418621042752,NPWP_VALUE,27.731.035.8-221.452,954424629,OSS
7189241956252,NPWP_VALUE,81.779.905.5-871.682,605239082,OSS
3091436391025,NAMA,PD NURAINI,PD NURAINI (CABANG),OSS
3091436391025,FLAG_EKSPOR_vs_NIPER,N,4803163678.0,OSS (FLAG_EKSPOR)
0864035533803,FLAG_EKSPOR_vs_NIPER,N,4803163678.0,OSS (FLAG_EKSPOR)
0023212983381,FLAG_EKSPOR_vs_NIPER,N,4715892660.0,OSS (FLAG_EKSPOR)
4689715273230,NPWP_VALUE,01.882.512.5-503.414,92943622,OSS
4689715273230,FLAG_EKSPOR_vs_NIPER,N,9575304800.0,OSS (FLAG_EKSPOR)
0692364587506,NAMA,PT NAINGGOLAN TBK,NAINGGOLAN TBK (CABANG),OSS
2011669183626,FLAG_EKSPOR_vs_NIPER,N,2397883566.0,OSS (FLAG_EKSPOR)
0415093771004,FLAG_EKSPOR_vs_NIPER,N,193786703.0,OSS (FLAG_EKSPOR)
8027148727178,FLAG_EKSPOR_vs_NIPER,N,4803163678.0,OSS (FLAG_EKSPOR)
5528993160875,NPWP_VALUE,18.835.965.4-857.224,712541846,OSS
5528993160875,FLAG_EKSPOR_vs_NIPER,N,4803163678.0,OSS (FLAG_EKSPOR)
2333059126620,FLAG_EKSPOR_vs_NIPER,N,4803163678.0,OSS (FLAG_EKSPOR)
7492617647501,STATUS_NIB,DICABUT,AKTIF,OSS
7492617647501,NPWP_VALUE,14.084.124.7-656.684,10.617.494.8-147.853,OSS
6492151826068,NPWP_VALUE,68.802.831.8-500.065,38625568595578,OSS
1029321840118,FLAG_EKSPOR_vs_NIPER,N,4086453881.0,OSS (FLAG_EKSPOR)
5859883103032,NPWP_VALUE,38.876.852.3-980.137,817168307,OSS
5859883103032,FLAG_EKSPOR_vs_NIPER,N,6779644659.0,OSS (FLAG_EKSPOR)
8615155423401,FLAG_EKSPOR_vs_NIPER,N,536922002.0,OSS (FLAG_EKSPOR)
4849102562588,NAMA,UD LAILASARI,UD LAILASARI (CABANG),OSS
0539672757844,NPWP_VALUE,54.533.964.3-312.650,61520606,OSS
4309634807970,FLAG_EKSPOR_vs_NIPER,N,593971323.0,OSS (FLAG_EKSPOR)
0531340266502,NAMA,PT PURNAWATI WULANDARI TBK,PURNAWATI WULANDARI TBK (CABANG),OSS
6862110225803,FLAG_EKSPOR_vs_NIPER,N,3048743918.0,OSS (FLAG_EKSPOR)
2823414363718,STATUS_NIB,DICABUT,AKTIF,OSS
2823414363718,NAMA,PT SAMOSIR,SAMOSIR (CABANG),OSS
9310668433567,FLAG_EKSPOR_vs_NIPER,N,4803163678.0,OSS (FLAG_EKSPOR)
8669432029390,NPWP_VALUE,65.466.515.8-265.310,306070477,OSS
2424033810595,NPWP_VALUE,41.085.969.8-270.739,374427492723,OSS
7272239724042,FLAG_EKSPOR_vs_NIPER,N,9513727486.0,OSS (FLAG_EKSPOR)
7230848100184,NPWP_VALUE,13.523.907.6-145.001,53472560,OSS
6172131451951,NAMA,PT LESTARI TBK,LESTARI TBK (CABANG),OSS
6172131451951,FLAG_EKSPOR_vs_NIPER,N,4803163678.0,OSS (FLAG_EKSPOR)
2265576769523,NPWP_VALUE,49.428.562.7-551.546,84978684337864,OSS
9179202521310,FLAG_EKSPOR_vs_NIPER,N,4625831017.0,OSS (FLAG_EKSPOR)
0412009282066,FLAG_EKSPOR_vs_NIPER,N,4803163678.0,OSS (FLAG_EKSPOR)
5034281139043,STATUS_NIB,DICABUT,AKTIF,OSS
4683565215681,NPWP_VALUE,64.826.793.2-024.601,351824344,OSS
