no_dok_ekspor,tgl_dok_ekspor,nama_perusahaan,npwp_perusahaan,alamat_perusahaan,nama_barang,hs_code_2d,kode_pelabuhan_ekspor,nama_pelabuhan_ekspor,berat_barang_ton,negara_tujuan,kode_negara_tujuan,nama_kapal,flag_anomali_tonase,flag_anomali_kapal,flag_anomali_kombinasi,selisih_hari_kapal,pt_hs_count,pel_hs_count,hs_neg_count
00634461,2026-02-02 16:00:00,UD Mandala Prayoga,884969653287101,"Gang Setiabudhi No. 91, Binjai, SG 26016",Lemak & Minyak Hewani/Nabati (CPO),15,IDKBU,Kotabaru,36891.33,Jepang,JP,MV BAKIANTO 65,0,1,0,1.0833333333333333,18,46,56
00179485,2026-02-13 15:00:00,PT Yulianti,801326773602606,"Jalan Wonoayu No. 842, Tarakan, JT 31059",Mesin & Peralatan Elektrik,85,IDBEL,Belawan,2730.2,China,CN,MV BAKIANTO 65,0,1,0,0.4583333333333333,15,54,70
00178635,2026-02-14 06:00:00,PD Pudjiastuti Marbun,489638346578713,"Jalan Kiaracondong No. 089, Parepare, Jambi 01401",Mesin & Peralatan Elektrik,85,IDKBU,Kotabaru,46238.95,China,CN,MV BAKIANTO 65,0,1,0,0.625,22,66,70
00682140,2026-02-21 07:00:00,Perum Saptono Mustofa,513542784980841,"Jalan Rajiman No. 20, Tanjungpinang, MA 76504",Sereal/Beras,10,IDTPP,Tanjung Priok,17756.41,China,CN,MV BAKIANTO 65,0,1,0,1.875,25,53,61
00965997,2026-02-21 19:00:00,PD Suwarno Tbk,872343098050097,"Jl. Ciwastra No. 943, Solok, Bali 84473",Bahan Bakar Mineral (Batubara/Minyak),27,IDTPE,Tanjung Perak,33345.43,India,IN,MV BAKIANTO 65,0,1,0,0.5,21,68,85
00646965,2026-02-28 18:00:00,PT Sirait Damanik,983930103105183,"Jalan Pasirkoja No. 3, Denpasar, Sumatera Utara 51292",Sereal/Beras,10,IDTPE,Tanjung Perak,9718.04,China,CN,MV BAKIANTO 65,0,1,0,0.08333333333333333,18,66,61
00553861,2026-03-01 08:00:00,PD Suwarno Tbk,872343098050097,"Gang Wonoayu No. 759, Yogyakarta, KS 20603",Lemak & Minyak Hewani/Nabati (CPO),15,IDTPE,Tanjung Perak,7286.5,China,CN,MV BAKIANTO 65,0,1,0,0.5833333333333334,14,65,61
00361184,2026-03-01 18:00:00,PD Pudjiastuti Marbun,489638346578713,"Jalan Ciwastra No. 71, Kotamobagu, SG 73864",Bahan Bakar Mineral (Batubara/Minyak),27,IDTPP,Tanjung Priok,20821.26,India,IN,MV BAKIANTO 65,0,1,0,0.4166666666666667,21,75,85
00739955,2026-03-01 19:00:00,PT Waskita,513338726247317,"Gg. Soekarno Hatta No. 79, Malang, BA 14611",Mesin & Peralatan Elektrik,85,IDTPP,Tanjung Priok,23438.43,China,CN,MV BAKIANTO 65,0,1,0,0.041666666666666664,13,52,70
00567623,2026-01-02 05:00:00,Perum Sinaga,701543039117182,"Gang Soekarno Hatta No. 568, Sorong, Sulawesi Selatan 62590",Lemak & Minyak Hewani/Nabati (CPO),15,IDTPP,Tanjung Priok,44546.86,Singapura,SG,MV BAKIJAN 55,0,1,0,0.5416666666666666,16,57,66
00438537,2026-01-02 07:00:00,PD Saputra Uyainah (Persero) Tbk,503056413953767,"Gg. Tubagus Ismail No. 8, Makassar, Kalimantan Barat 33978",Sereal/Beras,10,IDTPE,Tanjung Perak,16619.97,Jepang,JP,MV BAKIJAN 55,0,1,0,0.08333333333333333,15,66,58
00589785,2026-01-03 18:00:00,PT Waskita,513338726247317,"Gang Gegerkalong Hilir No. 689, Cimahi, DI Yogyakarta 44789",Mesin & Peralatan Elektrik,85,IDTPP,Tanjung Priok,45353.05,Jepang,JP,MV BAKIJAN 55,0,1,0,1.4583333333333333,13,52,48
00408022,2026-01-07 13:00:00,Perum Saptono Mustofa,513542784980841,"Gg. Rajawali Timur No. 7, Singkawang, Sulawesi Barat 02908",Bahan Bakar Mineral (Batubara/Minyak),27,IDTPP,Tanjung Priok,16790.22,Singapura,SG,MV BAKIJAN 55,0,1,0,1.6666666666666667,24,75,69
00335216,2026-01-07 15:00:00,PD Saputra Uyainah (Persero) Tbk,503056413953767,"Gg. HOS. Cokroaminoto No. 244, Pasuruan, Kalimantan Selatan 10291",Bahan Bakar Mineral (Batubara/Minyak),27,IDKBU,Kotabaru,5391.96,India,IN,MV BAKIJAN 55,0,1,0,0.08333333333333333,18,72,85
00726192,2026-01-07 20:00:00,PD Prabowo (Persero) Tbk,997376311656670,"Jl. HOS. Cokroaminoto No. 599, Metro, KT 18637",Sereal/Beras,10,IDKBU,Kotabaru,7188.2,Singapura,SG,MV BAKIJAN 55,0,1,0,0.20833333333333334,16,56,49
00940139,2026-01-09 09:00:00,CV Zulaika Anggraini,916697848018451,"Gg. Astana Anyar No. 504, Medan, Sulawesi Selatan 38692",Lemak & Minyak Hewani/Nabati (CPO),15,IDBEL,Belawan,29932.03,Singapura,SG,MV BAKIJAN 55,0,1,0,1.5416666666666667,11,66,66
00323755,2026-01-17 08:00:00,PT Pradipta (Persero) Tbk,647525534192832,"Jalan Cikapayang No. 7, Medan, Bali 44471",Lemak & Minyak Hewani/Nabati (CPO),27,IDTPE,Tanjung Perak,46030.87,Jepang,JP,MV BAKIJAN 55,0,1,0,1.4583333333333333,60,68,66
00304650,2026-01-18 16:00:00,PD Manullang Tbk,048281489325288,"Gang Medokan Ayu No. 65, Meulaboh, JA 91901",Lemak & Minyak Hewani/Nabati (CPO),15,IDKBU,Kotabaru,12122.52,Jepang,JP,MV BAKIJAN 55,0,1,0,1.3333333333333333,24,46,56
00786483,2026-01-19 02:00:00,PD Saputra Uyainah (Persero) Tbk,503056413953767,"Gang Setiabudhi No. 470, Palu, BB 38856",Mesin & Peralatan Elektrik,85,IDBEL,Belawan,13213.36,India,IN,MV BAKIJAN 55,0,1,0,0.4166666666666667,16,54,57
00275334,2026-01-24 08:00:00,CV Zulaika Anggraini,916697848018451,"Jl. Kutisari Selatan No. 92, Tarakan, Kalimantan Barat 70908",Bahan Bakar Mineral (Batubara/Minyak),27,IDTPE,Tanjung Perak,40006.9,Jepang,JP,MV BAKIJAN 55,0,1,0,0.875,16,68,66
00332515,2026-01-31 23:00:00,Perum Sinaga,701543039117182,"Gg. Dipatiukur No. 943, Blitar, LA 62607",Sereal/Beras,10,IDTPE,Tanjung Perak,30321.44,India,IN,MV BAKIJAN 55,0,1,0,0.9166666666666666,8,66,64
00400708,2026-02-02 10:00:00,PT Melani Hutapea,219136193990916,"Gg. Raya Ujungberung No. 735, Makassar, KR 80831",Sereal/Beras,10,IDTPP,Tanjung Priok,20077.82,India,IN,MV BAKIJAN 55,0,1,0,1.4583333333333333,21,53,64
00583795,2026-02-02 20:00:00,PT Yulianti,801326773602606,"Gg. Siliwangi No. 312, Singkawang, Bengkulu 18472",Mesin & Peralatan Elektrik,85,IDTPP,Tanjung Priok,6674.66,Jepang,JP,MV BAKIJAN 55,0,1,0,0.4166666666666667,15,52,48
00273802,2026-02-03 06:00:00,PT Yulianti,801326773602606,"Gg. HOS. Cokroaminoto No. 73, Kotamobagu, SR 30098",Lemak & Minyak Hewani/Nabati (CPO),15,IDBEL,Belawan,1028.62,Jepang,JP,MV BAKIJAN 55,0,1,0,0.4166666666666667,20,66,56
00324518,2026-02-03 10:00:00,PD Suwarno Tbk,872343098050097,"Gg. Pacuan Kuda No. 1, Bogor, Papua 43263",Lemak & Minyak Hewani/Nabati (CPO),15,IDKBU,Kotabaru,43030.1,Jepang,JP,MV BAKIJAN 55,0,1,0,0.16666666666666666,14,46,56
00344699,2026-02-06 17:00:00,Perum Saptono Mustofa,513542784980841,"Jl. Sukajadi No. 8, Bontang, JB 17819",Bahan Bakar Mineral (Batubara/Minyak),27,IDTPP,Tanjung Priok,14439.85,India,IN,MV BAKIJAN 55,0,1,0,0.4166666666666667,24,75,85
00514310,2026-02-10 18:00:00,PT Pradipta (Persero) Tbk,647525534192832,"Gang Tebet Barat Dalam No. 33, Palangkaraya, Sumatera Utara 19013",Sereal/Beras,27,IDTPE,Tanjung Perak,36959.89,China,CN,MV BAKIJAN 55,0,1,0,0.7083333333333334,60,68,75
00791078,2026-02-11 00:00:00,PT Yulianti,801326773602606,"Jl. Sadang Serang No. 131, Tebingtinggi, Jawa Timur 68155",Sereal/Beras,10,IDTPP,Tanjung Priok,34752.52,Jepang,JP,MV BAKIJAN 55,0,1,0,0.25,13,53,58
00897216,2026-02-11 05:00:00,PT Sirait Damanik,983930103105183,"Gg. Cihampelas No. 122, Metro, BT 48422",Bahan Bakar Mineral (Batubara/Minyak),27,IDTPE,Tanjung Perak,13914.17,India,IN,MV BAKIJAN 55,0,1,0,0.20833333333333334,20,68,85
00595336,2026-02-11 21:00:00,UD Mandala Prayoga,884969653287101,"Gang Rajiman No. 90, Tegal, SG 18636",Mesin & Peralatan Elektrik,85,IDTPE,Tanjung Perak,30268.13,China,CN,MV BAKIJAN 55,0,1,0,0.6666666666666666,20,66,70
00551431,2026-02-20 02:00:00,Perum Saptono Mustofa,513542784980841,"Gang Jamika No. 6, Bogor, JK 34785",Lemak & Minyak Hewani/Nabati (CPO),15,IDKBU,Kotabaru,17412.84,India,IN,MV BAKIJAN 55,0,1,0,0.16666666666666666,15,46,51
00483734,2026-02-26 17:00:00,PD Suwarno Tbk,872343098050097,"Gang Kapten Muslihat No. 7, Bontang, Jawa Tengah 19646",Lemak & Minyak Hewani/Nabati (CPO),15,IDKBU,Kotabaru,36545.92,Singapura,SG,MV BAKIJAN 55,0,1,0,0.375,14,46,66
00183867,2026-01-02 13:00:00,UD Mandala Prayoga,884969653287101,"Jl. Yos Sudarso No. 1, Bandar Lampung, Lampung 65915",Lemak & Minyak Hewani/Nabati (CPO),15,IDKBU,Kotabaru,12915.98,China,CN,MV CAHYONO 51,0,1,0,1.0,18,46,61
00651002,2026-01-03 19:00:00,PD Saputra Uyainah (Persero) Tbk,503056413953767,"Jalan Kapten Muslihat No. 2, Bengkulu, SU 48251",Bahan Bakar Mineral (Batubara/Minyak),27,IDBEL,Belawan,29624.66,China,CN,MV CAHYONO 51,0,1,0,1.25,18,80,75
00274272,2026-01-05 18:00:00,UD Putra Tbk,346247510799118,"Jalan Astana Anyar No. 471, Sawahlunto, SU 47158",Bahan Bakar Mineral (Batubara/Minyak),27,IDBEL,Belawan,4088.43,Jepang,JP,MV CAHYONO 51,0,1,0,1.9583333333333333,20,80,66
00737653,2026-01-10 01:00:00,UD Mandala Prayoga,884969653287101,"Jl. Otto Iskandardinata No. 856, Palu, BT 51844",Bahan Bakar Mineral (Batubara/Minyak),27,IDBEL,Belawan,19410.59,Jepang,JP,MV CAHYONO 51,0,1,0,1.8333333333333333,15,80,66
00517838,2026-01-10 05:00:00,PT Waskita,513338726247317,"Jalan BKR No. 195, Binjai, SR 64505",Lemak & Minyak Hewani/Nabati (CPO),15,IDKBU,Kotabaru,40572.81,India,IN,MV CAHYONO 51,0,1,0,0.16666666666666666,15,46,51
00777616,2026-01-10 18:00:00,CV Zulaika Anggraini,916697848018451,"Jl. Pacuan Kuda No. 732, Kupang, Kalimantan Utara 97768",Bahan Bakar Mineral (Batubara/Minyak),27,IDTPP,Tanjung Priok,17206.64,China,CN,MV CAHYONO 51,0,1,0,0.5416666666666666,16,75,75
00252198,2026-01-11 06:00:00,PT Waskita,513338726247317,"Jalan H.J Maemunah No. 12, Jambi, GO 41011",Sereal/Beras,10,IDBEL,Belawan,13035.89,Singapura,SG,MV CAHYONO 51,0,1,0,0.5,19,58,49
00651282,2026-01-12 16:00:00,CV Zulaika Anggraini,916697848018451,"Jalan R.E Martadinata No. 242, Banjarmasin, JI 99471",Sereal/Beras,10,IDTPP,Tanjung Priok,45667.97,Jepang,JP,MV CAHYONO 51,0,1,0,1.4166666666666667,12,53,58
00433072,2026-01-12 16:00:00,PD Manullang Tbk,048281489325288,"Jalan Astana Anyar No. 95, Padang Sidempuan, Papua 49025",Mesin & Peralatan Elektrik,85,IDBEL,Belawan,5691.9,Jepang,JP,MV CAHYONO 51,0,1,0,0.0,16,54,48
00811373,2026-01-14 13:00:00,PD Manullang Tbk,048281489325288,"Gg. Kutisari Selatan No. 3, Bima, JB 06596",Lemak & Minyak Hewani/Nabati (CPO),15,IDTPP,Tanjung Priok,39468.84,Singapura,SG,MV CAHYONO 51,0,1,0,1.875,24,57,66
00148363,2026-01-14 16:00:00,Perum Saptono Mustofa,513542784980841,"Jl. Sadang Serang No. 621, Makassar, SU 62962",Lemak & Minyak Hewani/Nabati (CPO),15,IDTPP,Tanjung Priok,14047.79,Jepang,JP,MV CAHYONO 51,0,1,0,0.125,15,57,56
00589283,2026-01-16 18:00:00,UD Mandala Prayoga,884969653287101,"Gang Kebonjati No. 0, Bogor, SS 99605",Bahan Bakar Mineral (Batubara/Minyak),27,IDTPE,Tanjung Perak,9571.45,China,CN,MV CAHYONO 51,0,1,0,0.08333333333333333,15,68,75
00892483,2026-01-16 19:00:00,PD Pudjiastuti Marbun,489638346578713,"Gg. Astana Anyar No. 563, Cilegon, Gorontalo 07337",Sereal/Beras,10,IDTPP,Tanjung Priok,4196.84,China,CN,MV CAHYONO 51,0,1,0,0.041666666666666664,17,53,61
00486428,2026-01-20 23:00:00,Perum Sinaga,701543039117182,"Jl. Waringin No. 62, Bandung, Sulawesi Barat 53654",Bahan Bakar Mineral (Batubara/Minyak),27,IDTPP,Tanjung Priok,16352.89,India,IN,MV CAHYONO 51,0,1,0,0.4166666666666667,18,75,85
00333393,2026-01-21 09:00:00,PD Saputra Uyainah (Persero) Tbk,503056413953767,"Gang Ir. H. Djuanda No. 765, Cirebon, Kepulauan Bangka Belitung 20957",Mesin & Peralatan Elektrik,85,IDTPE,Tanjung Perak,4741.51,Singapura,SG,MV CAHYONO 51,0,1,0,0.4166666666666667,16,66,63
00767087,2026-01-21 09:00:00,CV Zulaika Anggraini,916697848018451,"Jalan Pacuan Kuda No. 26, Semarang, Kalimantan Selatan 51342",Mesin & Peralatan Elektrik,85,IDKBU,Kotabaru,4981.64,Jepang,JP,MV CAHYONO 51,0,1,0,0.0,20,66,48
00839168,2026-01-21 12:00:00,UD Putra Tbk,346247510799118,"Gang M.H Thamrin No. 65, Denpasar, SN 97384",Sereal/Beras,10,IDKBU,Kotabaru,47141.66,China,CN,MV CAHYONO 51,0,1,0,0.125,18,56,61
00980975,2026-01-22 20:00:00,PD Prabowo (Persero) Tbk,997376311656670,"Jl. Kiaracondong No. 234, Palembang, Gorontalo 14161",Lemak & Minyak Hewani/Nabati (CPO),15,IDBEL,Belawan,4253.93,China,CN,MV CAHYONO 51,0,1,0,1.3333333333333333,15,66,61
00943095,2026-01-23 02:00:00,PT Yulianti,801326773602606,"Gg. Merdeka No. 11, Pontianak, MA 18594",Mesin & Peralatan Elektrik,85,IDKBU,Kotabaru,16166.35,China,CN,MV CAHYONO 51,0,1,0,0.25,15,66,70
00795885,2026-01-25 00:00:00,PD Manullang Tbk,048281489325288,"Jalan Ciwastra No. 166, Padang, NB 55973",Mesin & Peralatan Elektrik,85,IDBEL,Belawan,4861.88,China,CN,MV CAHYONO 51,0,1,0,1.9166666666666667,16,54,70
00176056,2026-01-30 04:00:00,PT Pradipta (Persero) Tbk,647525534192832,"Gang Abdul Muis No. 754, Bau-Bau, Kepulauan Riau 65328",Sereal/Beras,27,IDTPE,Tanjung Perak,17569.84,India,IN,MV CAHYONO 51,0,1,0,0.7916666666666666,60,68,85
00481616,2026-02-03 00:00:00,UD Putra Tbk,346247510799118,"Gg. Rungkut Industri No. 859, Palu, Sulawesi Tenggara 14754",Mesin & Peralatan Elektrik,85,IDTPE,Tanjung Perak,36819.87,Singapura,SG,MV CAHYONO 51,0,1,0,0.08333333333333333,14,66,63
00623704,2026-02-07 05:00:00,PT Pradipta (Persero) Tbk,647525534192832,"Gang Gardujati No. 810, Cirebon, BT 17310",Bahan Bakar Mineral (Batubara/Minyak),27,IDKBU,Kotabaru,48233.01,Jepang,JP,MV CAHYONO 51,0,1,0,1.2083333333333333,60,72,66
00584121,2026-02-08 06:00:00,PT Pradipta (Persero) Tbk,647525534192832,"Jalan Moch. Ramdan No. 9, Subulussalam, PB 48058",Sereal/Beras,27,IDTPE,Tanjung Perak,6606.87,Singapura,SG,MV CAHYONO 51,0,1,0,1.0416666666666667,60,68,69
00788062,2026-02-08 18:00:00,Perum Sinaga,701543039117182,"Gg. Cihampelas No. 433, Malang, BB 00676",Lemak & Minyak Hewani/Nabati (CPO),15,IDBEL,Belawan,47014.25,India,IN,MV CAHYONO 51,0,1,0,0.5,16,66,51
00780463,2026-02-08 23:00:00,Perum Sinaga,701543039117182,"Jl. M.T Haryono No. 832, Banjarbaru, SS 38815",Lemak & Minyak Hewani/Nabati (CPO),15,IDTPP,Tanjung Priok,10303.78,China,CN,MV CAHYONO 51,0,1,0,0.20833333333333334,16,57,61
00177465,2026-02-10 21:00:00,PT Pradipta (Persero) Tbk,647525534192832,"Jalan Indragiri No. 4, Gorontalo, Sumatera Barat 76945",Bahan Bakar Mineral (Batubara/Minyak),27,IDKBU,Kotabaru,34997.18,India,IN,MV CAHYONO 51,0,1,0,1.9166666666666667,60,72,85
00799453,2026-02-10 22:00:00,PD Saputra Uyainah (Persero) Tbk,503056413953767,"Jl. Pacuan Kuda No. 963, Kota Administrasi Jakarta Selatan, SU 72742",Mesin & Peralatan Elektrik,85,IDTPE,Tanjung Perak,1938.2,Jepang,JP,MV CAHYONO 51,0,1,0,0.041666666666666664,16,66,48
00889873,2026-02-11 03:00:00,UD Putra Tbk,346247510799118,"Gg. Stasiun Wonokromo No. 52, Sukabumi, SN 05423",Bahan Bakar Mineral (Batubara/Minyak),27,IDTPE,Tanjung Perak,38625.79,India,IN,MV CAHYONO 51,0,1,0,0.20833333333333334,20,68,85
00749638,2026-02-11 20:00:00,Perum Saptono Mustofa,513542784980841,"Jalan Medokan Ayu No. 59, Binjai, Jawa Timur 82965",Sereal/Beras,10,IDTPP,Tanjung Priok,25889.17,China,CN,MV CAHYONO 51,0,1,0,0.7083333333333334,25,53,61
00329023,2026-02-12 02:00:00,Perum Saptono Mustofa,513542784980841,"Gg. Tebet Barat Dalam No. 626, Bandar Lampung, LA 39735",Bahan Bakar Mineral (Batubara/Minyak),27,IDBEL,Belawan,20651.75,Jepang,JP,MV CAHYONO 51,0,1,0,0.25,24,80,66
00769637,2026-02-12 12:00:00,PT Waskita,513338726247317,"Jl. KH Amin Jasuta No. 7, Tanjungbalai, KS 81721",Bahan Bakar Mineral (Batubara/Minyak),27,IDTPE,Tanjung Perak,2783.42,Jepang,JP,MV CAHYONO 51,0,1,0,0.4166666666666667,14,68,66
00988793,2026-02-13 00:00:00,Perum Saptono Mustofa,513542784980841,"Jl. M.H Thamrin No. 6, Padang, BB 36103",Bahan Bakar Mineral (Batubara/Minyak),27,IDKBU,Kotabaru,24394.11,China,CN,MV CAHYONO 51,0,1,0,0.5,24,72,75
00117123,2026-02-16 22:00:00,PD Prabowo (Persero) Tbk,997376311656670,"Gang Pasteur No. 6, Gorontalo, KI 73634",Bahan Bakar Mineral (Batubara/Minyak),27,IDKBU,Kotabaru,25578.49,India,IN,MV CAHYONO 51,0,1,0,1.0833333333333333,12,72,85
00517821,2026-02-17 22:00:00,PD Prabowo (Persero) Tbk,997376311656670,"Jalan Rumah Sakit No. 1, Purwokerto, JK 79833",Lemak & Minyak Hewani/Nabati (CPO),15,IDTPP,Tanjung Priok,45194.58,China,CN,MV CAHYONO 51,0,1,0,1.0,15,57,61
00920356,2026-01-03 21:00:00,UD Putra Tbk,346247510799118,"Gg. Gegerkalong Hilir No. 510, Banjarbaru, Jawa Timur 67066",Lemak & Minyak Hewani/Nabati (CPO),15,IDBEL,Belawan,19747.66,Jepang,JP,MV CANDRAKANTA 18,0,1,0,1.4166666666666667,21,66,56
00394592,2026-01-12 02:00:00,PT Waskita,513338726247317,"Jl. Cikutra Timur No. 695, Ternate, Jawa Tengah 90833",Lemak & Minyak Hewani/Nabati (CPO),15,IDKBU,Kotabaru,43080.4,Singapura,SG,MV CANDRAKANTA 18,0,1,0,0.4583333333333333,15,46,66
00796795,2026-01-17 02:00:00,UD Putra Tbk,346247510799118,"Gg. Lembong No. 95, Sabang, DI Yogyakarta 49383",Bahan Bakar Mineral (Batubara/Minyak),27,IDKBU,Kotabaru,24057.47,Jepang,JP,MV CANDRAKANTA 18,0,1,0,0.16666666666666666,20,72,66
00833536,2026-01-27 13:00:00,Perum Sinaga,701543039117182,"Gang Raya Ujungberung No. 401, Tarakan, MA 99106",Sereal/Beras,10,IDBEL,Belawan,26899.86,Jepang,JP,MV CANDRAKANTA 18,0,1,0,1.9166666666666667,8,58,58
00985221,2026-01-27 18:00:00,PD Pudjiastuti Marbun,489638346578713,"Gang Ciwastra No. 814, Blitar, KR 40192",Sereal/Beras,10,IDTPE,Tanjung Perak,25705.05,Jepang,JP,MV CANDRAKANTA 18,0,1,0,0.20833333333333334,17,66,58
00849723,2026-01-29 23:00:00,UD Mandala Prayoga,884969653287101,"Gang Raya Setiabudhi No. 18, Yogyakarta, Kalimantan Tengah 47411",Mesin & Peralatan Elektrik,85,IDKBU,Kotabaru,31330.83,Jepang,JP,MV CANDRAKANTA 18,0,1,0,0.125,20,66,48
00537867,2026-01-31 02:00:00,Perum Saptono Mustofa,513542784980841,"Jl. Kendalsari No. 009, Balikpapan, KR 47692",Sereal/Beras,10,IDTPP,Tanjung Priok,30370.76,China,CN,MV CANDRAKANTA 18,0,1,0,1.125,25,53,61
00502702,2026-01-31 18:00:00,PD Suwarno Tbk,872343098050097,"Jalan Surapati No. 461, Kota Administrasi Jakarta Timur, Bengkulu 11901",Bahan Bakar Mineral (Batubara/Minyak),27,IDBEL,Belawan,15251.0,India,IN,MV CANDRAKANTA 18,0,1,0,0.6666666666666666,21,80,85
00633335,2026-01-31 18:00:00,PD Manullang Tbk,048281489325288,"Jl. Yos Sudarso No. 265, Banjar, Sulawesi Barat 11987",Mesin & Peralatan Elektrik,85,IDBEL,Belawan,29114.36,India,IN,MV CANDRAKANTA 18,0,1,0,0.0,16,54,57
00163637,2026-02-09 11:00:00,UD Putra Tbk,346247510799118,"Jl. Soekarno Hatta No. 7, Tual, SN 24809",Mesin & Peralatan Elektrik,85,IDKBU,Kotabaru,27619.42,Singapura,SG,MV CANDRAKANTA 18,0,1,0,1.875,14,66,63
00135969,2026-02-13 22:00:00,CV Zulaika Anggraini,916697848018451,"Jl. Pelajar Pejuang No. 018, Tangerang, JK 37599",Sereal/Beras,10,IDTPP,Tanjung Priok,39042.77,India,IN,MV CANDRAKANTA 18,0,1,0,1.8333333333333333,12,53,64
