no_dok_ekspor,tgl_dok_ekspor,nama_perusahaan,npwp_perusahaan,alamat_perusahaan,nama_barang,hs_code_2d,kode_pelabuhan_ekspor,nama_pelabuhan_ekspor,berat_barang_ton,negara_tujuan,kode_negara_tujuan,nama_kapal,flag_anomali_tonase,flag_anomali_kapal,flag_anomali_kombinasi,selisih_hari_kapal,pt_hs_count,pel_hs_count,hs_neg_count
00416406,2026-02-13 04:00:00,PD Saputra Uyainah (Persero) Tbk,503056413953767,"Gang Medokan Ayu No. 9, Palembang, Kalimantan Timur 43962",Lemak & Minyak Hewani/Nabati (CPO),15,IDTPE,Tanjung Perak,42604.44,China,CN,MV BAKIANTO 65,0,0,0,6.291666666666667,18,65,61
00179485,2026-02-13 15:00:00,PT Yulianti,801326773602606,"Jalan Wonoayu No. 842, Tarakan, JT 31059",Mesin & Peralatan Elektrik,85,IDBEL,Belawan,2730.2,China,CN,MV BAKIANTO 65,0,1,0,0.4583333333333333,15,54,70
00178635,2026-02-14 06:00:00,PD Pudjiastuti Marbun,489638346578713,"Jalan Kiaracondong No. 089, Parepare, Jambi 01401",Mesin & Peralatan Elektrik,85,IDKBU,Kotabaru,46238.95,China,CN,MV BAKIANTO 65,0,1,0,0.625,22,66,70
00302119,2026-02-19 10:00:00,PD Manullang Tbk,048281489325288,"Jl. Dipenogoro No. 2, Lubuklinggau, MA 51895",Sereal/Beras,10,IDTPE,Tanjung Perak,40318.6,India,IN,MV BAKIANTO 65,0,0,0,5.166666666666667,20,66,64
00682140,2026-02-21 07:00:00,Perum Saptono Mustofa,513542784980841,"Jalan Rajiman No. 20, Tanjungpinang, MA 76504",Sereal/Beras,10,IDTPP,Tanjung Priok,17756.41,China,CN,MV BAKIANTO 65,0,1,0,1.875,25,53,61
00965997,2026-02-21 19:00:00,PD Suwarno Tbk,872343098050097,"Jl. Ciwastra No. 943, Solok, Bali 84473",Bahan Bakar Mineral (Batubara/Minyak),27,IDTPE,Tanjung Perak,33345.43,India,IN,MV BAKIANTO 65,0,1,0,0.5,21,68,85
00156948,2026-02-24 21:00:00,PD Manullang Tbk,048281489325288,"Gang Setiabudhi No. 5, Lhokseumawe, SN 60606",Lemak & Minyak Hewani/Nabati (CPO),15,IDBEL,Belawan,7768.87,Singapura,SG,MV BAKIANTO 65,0,0,0,3.0833333333333335,24,66,66
00735391,2026-02-28 16:00:00,PD Manullang Tbk,048281489325288,"Jalan Erlangga No. 3, Kota Administrasi Jakarta Timur, Kalimantan Selatan 20904",Mesin & Peralatan Elektrik,85,IDTPP,Tanjung Priok,47071.0,Singapura,SG,MV BAKIANTO 65,0,0,0,3.7916666666666665,16,52,63
00646965,2026-02-28 18:00:00,PT Sirait Damanik,983930103105183,"Jalan Pasirkoja No. 3, Denpasar, Sumatera Utara 51292",Sereal/Beras,10,IDTPE,Tanjung Perak,9718.04,China,CN,MV BAKIANTO 65,0,1,0,0.08333333333333333,18,66,61
00553861,2026-03-01 08:00:00,PD Suwarno Tbk,872343098050097,"Gang Wonoayu No. 759, Yogyakarta, KS 20603",Lemak & Minyak Hewani/Nabati (CPO),15,IDTPE,Tanjung Perak,7286.5,China,CN,MV BAKIANTO 65,0,1,0,0.5833333333333334,14,65,61
00361184,2026-03-01 18:00:00,PD Pudjiastuti Marbun,489638346578713,"Jalan Ciwastra No. 71, Kotamobagu, SG 73864",Bahan Bakar Mineral (Batubara/Minyak),27,IDTPP,Tanjung Priok,20821.26,India,IN,MV BAKIANTO 65,0,1,0,0.4166666666666667,21,75,85
00739955,2026-03-01 19:00:00,PT Waskita,513338726247317,"Gg. Soekarno Hatta No. 79, Malang, BA 14611",Mesin & Peralatan Elektrik,85,IDTPP,Tanjung Priok,23438.43,China,CN,MV BAKIANTO 65,0,1,0,0.041666666666666664,13,52,70
00508864,2026-01-01 16:00:00,PD Saputra Uyainah (Persero) Tbk,503056413953767,"Jalan Tubagus Ismail No. 3, Kota Administrasi Jakarta Timur, GO 82496",Lemak & Minyak Hewani/Nabati (CPO),15,IDBEL,Belawan,25229.74,Singapura,SG,MV BAKIJAN 55,0,0,0,,18,66,66
00567623,2026-01-02 05:00:00,Perum Sinaga,701543039117182,"Gang Soekarno Hatta No. 568, Sorong, Sulawesi Selatan 62590",Lemak & Minyak Hewani/Nabati (CPO),15,IDTPP,Tanjung Priok,44546.86,Singapura,SG,MV BAKIJAN 55,0,1,0,0.5416666666666666,16,57,66
00438537,2026-01-02 07:00:00,PD Saputra Uyainah (Persero) Tbk,503056413953767,"Gg. Tubagus Ismail No. 8, Makassar, Kalimantan Barat 33978",Sereal/Beras,10,IDTPE,Tanjung Perak,16619.97,Jepang,JP,MV BAKIJAN 55,0,1,0,0.08333333333333333,15,66,58
00589785,2026-01-03 18:00:00,PT Waskita,513338726247317,"Gang Gegerkalong Hilir No. 689, Cimahi, DI Yogyakarta 44789",Mesin & Peralatan Elektrik,85,IDTPP,Tanjung Priok,45353.05,Jepang,JP,MV BAKIJAN 55,0,1,0,1.4583333333333333,13,52,48
00567277,2026-01-05 21:00:00,Perum Saptono Mustofa,513542784980841,"Jalan K.H. Wahid Hasyim No. 293, Pekanbaru, SG 43448",Bahan Bakar Mineral (Batubara/Minyak),27,IDKBU,Kotabaru,33203.59,China,CN,MV BAKIJAN 55,0,0,0,2.125,24,72,75
00408022,2026-01-07 13:00:00,Perum Saptono Mustofa,513542784980841,"Gg. Rajawali Timur No. 7, Singkawang, Sulawesi Barat 02908",Bahan Bakar Mineral (Batubara/Minyak),27,IDTPP,Tanjung Priok,16790.22,Singapura,SG,MV BAKIJAN 55,0,1,0,1.6666666666666667,24,75,69
00335216,2026-01-07 15:00:00,PD Saputra Uyainah (Persero) Tbk,503056413953767,"Gg. HOS. Cokroaminoto No. 244, Pasuruan, Kalimantan Selatan 10291",Bahan Bakar Mineral (Batubara/Minyak),27,IDKBU,Kotabaru,5391.96,India,IN,MV BAKIJAN 55,0,1,0,0.08333333333333333,18,72,85
00726192,2026-01-07 20:00:00,PD Prabowo (Persero) Tbk,997376311656670,"Jl. HOS. Cokroaminoto No. 599, Metro, KT 18637",Sereal/Beras,10,IDKBU,Kotabaru,7188.2,Singapura,SG,MV BAKIJAN 55,0,1,0,0.20833333333333334,16,56,49
00940139,2026-01-09 09:00:00,CV Zulaika Anggraini,916697848018451,"Gg. Astana Anyar No. 504, Medan, Sulawesi Selatan 38692",Lemak & Minyak Hewani/Nabati (CPO),15,IDBEL,Belawan,29932.03,Singapura,SG,MV BAKIJAN 55,0,1,0,1.5416666666666667,11,66,66
00946231,2026-01-15 21:00:00,UD Putra Tbk,346247510799118,"Gang Ahmad Dahlan No. 68, Pontianak, Sulawesi Tenggara 99648",Lemak & Minyak Hewani/Nabati (CPO),15,IDTPP,Tanjung Priok,34422.99,China,CN,MV BAKIJAN 55,0,0,0,6.5,21,57,61
00323755,2026-01-17 08:00:00,PT Pradipta (Persero) Tbk,647525534192832,"Jalan Cikapayang No. 7, Medan, Bali 44471",Lemak & Minyak Hewani/Nabati (CPO),27,IDTPE,Tanjung Perak,46030.87,Jepang,JP,MV BAKIJAN 55,0,1,0,1.4583333333333333,60,68,66
00304650,2026-01-18 16:00:00,PD Manullang Tbk,048281489325288,"Gang Medokan Ayu No. 65, Meulaboh, JA 91901",Lemak & Minyak Hewani/Nabati (CPO),15,IDKBU,Kotabaru,12122.52,Jepang,JP,MV BAKIJAN 55,0,1,0,1.3333333333333333,24,46,56
00786483,2026-01-19 02:00:00,PD Saputra Uyainah (Persero) Tbk,503056413953767,"Gang Setiabudhi No. 470, Palu, BB 38856",Mesin & Peralatan Elektrik,85,IDBEL,Belawan,13213.36,India,IN,MV BAKIJAN 55,0,1,0,0.4166666666666667,16,54,57
00790389,2026-01-23 11:00:00,PD Saputra Uyainah (Persero) Tbk,503056413953767,"Gang Tebet Barat Dalam No. 9, Sawahlunto, GO 85899",Sereal/Beras,10,IDTPE,Tanjung Perak,46490.1,Jepang,JP,MV BAKIJAN 55,0,0,0,4.375,15,66,58
00275334,2026-01-24 08:00:00,CV Zulaika Anggraini,916697848018451,"Jl. Kutisari Selatan No. 92, Tarakan, Kalimantan Barat 70908",Bahan Bakar Mineral (Batubara/Minyak),27,IDTPE,Tanjung Perak,40006.9,Jepang,JP,MV BAKIJAN 55,0,1,0,0.875,16,68,66
00656307,2026-01-31 01:00:00,PT Melani Hutapea,219136193990916,"Jl. Jakarta No. 5, Semarang, DI Yogyakarta 63031",Lemak & Minyak Hewani/Nabati (CPO),15,IDBEL,Belawan,3080.69,Jepang,JP,MV BAKIJAN 55,0,0,0,6.708333333333333,17,66,56
00332515,2026-01-31 23:00:00,Perum Sinaga,701543039117182,"Gg. Dipatiukur No. 943, Blitar, LA 62607",Sereal/Beras,10,IDTPE,Tanjung Perak,30321.44,India,IN,MV BAKIJAN 55,0,1,0,0.9166666666666666,8,66,64
00400708,2026-02-02 10:00:00,PT Melani Hutapea,219136193990916,"Gg. Raya Ujungberung No. 735, Makassar, KR 80831",Sereal/Beras,10,IDTPP,Tanjung Priok,20077.82,India,IN,MV BAKIJAN 55,0,1,0,1.4583333333333333,21,53,64
00583795,2026-02-02 20:00:00,PT Yulianti,801326773602606,"Gg. Siliwangi No. 312, Singkawang, Bengkulu 18472",Mesin & Peralatan Elektrik,85,IDTPP,Tanjung Priok,6674.66,Jepang,JP,MV BAKIJAN 55,0,1,0,0.4166666666666667,15,52,48
00273802,2026-02-03 06:00:00,PT Yulianti,801326773602606,"Gg. HOS. Cokroaminoto No. 73, Kotamobagu, SR 30098",Lemak & Minyak Hewani/Nabati (CPO),15,IDBEL,Belawan,1028.62,Jepang,JP,MV BAKIJAN 55,0,1,0,0.4166666666666667,20,66,56
00324518,2026-02-03 10:00:00,PD Suwarno Tbk,872343098050097,"Gg. Pacuan Kuda No. 1, Bogor, Papua 43263",Lemak & Minyak Hewani/Nabati (CPO),15,IDKBU,Kotabaru,43030.1,Jepang,JP,MV BAKIJAN 55,0,1,0,0.16666666666666666,14,46,56
00443800,2026-02-06 07:00:00,PD Saputra Uyainah (Persero) Tbk,503056413953767,"Gang Otto Iskandardinata No. 0, Depok, SS 41270",Sereal/Beras,10,IDKBU,Kotabaru,15690.18,Jepang,JP,MV BAKIJAN 55,0,0,0,2.875,15,56,58
00344699,2026-02-06 17:00:00,Perum Saptono Mustofa,513542784980841,"Jl. Sukajadi No. 8, Bontang, JB 17819",Bahan Bakar Mineral (Batubara/Minyak),27,IDTPP,Tanjung Priok,14439.85,India,IN,MV BAKIJAN 55,0,1,0,0.4166666666666667,24,75,85
00410692,2026-02-10 01:00:00,PD Manullang Tbk,048281489325288,"Gg. M.T Haryono No. 27, Batam, Sumatera Barat 30232",Sereal/Beras,10,IDTPE,Tanjung Perak,22984.44,Singapura,SG,MV BAKIJAN 55,0,0,0,3.3333333333333335,20,66,49
00514310,2026-02-10 18:00:00,PT Pradipta (Persero) Tbk,647525534192832,"Gang Tebet Barat Dalam No. 33, Palangkaraya, Sumatera Utara 19013",Sereal/Beras,27,IDTPE,Tanjung Perak,36959.89,China,CN,MV BAKIJAN 55,0,1,0,0.7083333333333334,60,68,75
00791078,2026-02-11 00:00:00,PT Yulianti,801326773602606,"Jl. Sadang Serang No. 131, Tebingtinggi, Jawa Timur 68155",Sereal/Beras,10,IDTPP,Tanjung Priok,34752.52,Jepang,JP,MV BAKIJAN 55,0,1,0,0.25,13,53,58
00897216,2026-02-11 05:00:00,PT Sirait Damanik,983930103105183,"Gg. Cihampelas No. 122, Metro, BT 48422",Bahan Bakar Mineral (Batubara/Minyak),27,IDTPE,Tanjung Perak,13914.17,India,IN,MV BAKIJAN 55,0,1,0,0.20833333333333334,20,68,85
00595336,2026-02-11 21:00:00,UD Mandala Prayoga,884969653287101,"Gang Rajiman No. 90, Tegal, SG 18636",Mesin & Peralatan Elektrik,85,IDTPE,Tanjung Perak,30268.13,China,CN,MV BAKIJAN 55,0,1,0,0.6666666666666666,20,66,70
00700391,2026-02-15 07:00:00,PD Manullang Tbk,048281489325288,"Gang Otto Iskandardinata No. 910, Dumai, DKI Jakarta 11063",Lemak & Minyak Hewani/Nabati (CPO),15,IDTPP,Tanjung Priok,38284.62,China,CN,MV BAKIJAN 55,0,0,0,3.4166666666666665,24,57,61
00518287,2026-02-19 22:00:00,PD Prabowo (Persero) Tbk,997376311656670,"Jalan Ciwastra No. 2, Kotamobagu, SB 22489",Sereal/Beras,10,IDTPE,Tanjung Perak,17639.78,China,CN,MV BAKIJAN 55,0,0,0,4.625,16,66,61
00551431,2026-02-20 02:00:00,Perum Saptono Mustofa,513542784980841,"Gang Jamika No. 6, Bogor, JK 34785",Lemak & Minyak Hewani/Nabati (CPO),15,IDKBU,Kotabaru,17412.84,India,IN,MV BAKIJAN 55,0,1,0,0.16666666666666666,15,46,51
00313430,2026-02-23 11:00:00,PT Pradipta (Persero) Tbk,647525534192832,"Gang Gardujati No. 05, Solok, SG 16136",Mesin & Peralatan Elektrik,27,IDTPP,Tanjung Priok,5262.44,China,CN,MV BAKIJAN 55,0,0,0,3.375,60,75,75
00319545,2026-02-26 08:00:00,UD Putra Tbk,346247510799118,"Gg. Laswi No. 17, Bekasi, Kalimantan Selatan 46990",Mesin & Peralatan Elektrik,85,IDKBU,Kotabaru,8061.12,Singapura,SG,MV BAKIJAN 55,0,0,0,2.875,14,66,63
00483734,2026-02-26 17:00:00,PD Suwarno Tbk,872343098050097,"Gang Kapten Muslihat No. 7, Bontang, Jawa Tengah 19646",Lemak & Minyak Hewani/Nabati (CPO),15,IDKBU,Kotabaru,36545.92,Singapura,SG,MV BAKIJAN 55,0,1,0,0.375,14,46,66
00363991,2026-03-01 03:00:00,PT Melani Hutapea,219136193990916,"Gang Lembong No. 8, Metro, PA 03758",Lemak & Minyak Hewani/Nabati (CPO),15,IDKBU,Kotabaru,24765.62,India,IN,MV BAKIJAN 55,0,0,0,2.4166666666666665,17,46,51
00181804,2026-01-01 13:00:00,PD Saputra Uyainah (Persero) Tbk,503056413953767,"Jl. Antapani Lama No. 867, Tanjungpinang, Jawa Tengah 07202",Lemak & Minyak Hewani/Nabati (CPO),15,IDTPE,Tanjung Perak,18448.49,India,IN,MV CAHYONO 51,0,0,0,,18,65,51
00183867,2026-01-02 13:00:00,UD Mandala Prayoga,884969653287101,"Jl. Yos Sudarso No. 1, Bandar Lampung, Lampung 65915",Lemak & Minyak Hewani/Nabati (CPO),15,IDKBU,Kotabaru,12915.98,China,CN,MV CAHYONO 51,0,1,0,1.0,18,46,61
00651002,2026-01-03 19:00:00,PD Saputra Uyainah (Persero) Tbk,503056413953767,"Jalan Kapten Muslihat No. 2, Bengkulu, SU 48251",Bahan Bakar Mineral (Batubara/Minyak),27,IDBEL,Belawan,29624.66,China,CN,MV CAHYONO 51,0,1,0,1.25,18,80,75
00274272,2026-01-05 18:00:00,UD Putra Tbk,346247510799118,"Jalan Astana Anyar No. 471, Sawahlunto, SU 47158",Bahan Bakar Mineral (Batubara/Minyak),27,IDBEL,Belawan,4088.43,Jepang,JP,MV CAHYONO 51,0,1,0,1.9583333333333333,20,80,66
00711633,2026-01-08 05:00:00,PT Yulianti,801326773602606,"Gg. Raya Setiabudhi No. 39, Denpasar, KS 33343",Bahan Bakar Mineral (Batubara/Minyak),27,IDTPP,Tanjung Priok,47986.46,Jepang,JP,MV CAHYONO 51,0,0,0,2.4583333333333335,15,75,66
00737653,2026-01-10 01:00:00,UD Mandala Prayoga,884969653287101,"Jl. Otto Iskandardinata No. 856, Palu, BT 51844",Bahan Bakar Mineral (Batubara/Minyak),27,IDBEL,Belawan,19410.59,Jepang,JP,MV CAHYONO 51,0,1,0,1.8333333333333333,15,80,66
00517838,2026-01-10 05:00:00,PT Waskita,513338726247317,"Jalan BKR No. 195, Binjai, SR 64505",Lemak & Minyak Hewani/Nabati (CPO),15,IDKBU,Kotabaru,40572.81,India,IN,MV CAHYONO 51,0,1,0,0.16666666666666666,15,46,51
00777616,2026-01-10 18:00:00,CV Zulaika Anggraini,916697848018451,"Jl. Pacuan Kuda No. 732, Kupang, Kalimantan Utara 97768",Bahan Bakar Mineral (Batubara/Minyak),27,IDTPP,Tanjung Priok,17206.64,China,CN,MV CAHYONO 51,0,1,0,0.5416666666666666,16,75,75
00252198,2026-01-11 06:00:00,PT Waskita,513338726247317,"Jalan H.J Maemunah No. 12, Jambi, GO 41011",Sereal/Beras,10,IDBEL,Belawan,13035.89,Singapura,SG,MV CAHYONO 51,0,1,0,0.5,19,58,49
00651282,2026-01-12 16:00:00,CV Zulaika Anggraini,916697848018451,"Jalan R.E Martadinata No. 242, Banjarmasin, JI 99471",Sereal/Beras,10,IDTPP,Tanjung Priok,45667.97,Jepang,JP,MV CAHYONO 51,0,1,0,1.4166666666666667,12,53,58
00433072,2026-01-12 16:00:00,PD Manullang Tbk,048281489325288,"Jalan Astana Anyar No. 95, Padang Sidempuan, Papua 49025",Mesin & Peralatan Elektrik,85,IDBEL,Belawan,5691.9,Jepang,JP,MV CAHYONO 51,0,1,0,0.0,16,54,48
00811373,2026-01-14 13:00:00,PD Manullang Tbk,048281489325288,"Gg. Kutisari Selatan No. 3, Bima, JB 06596",Lemak & Minyak Hewani/Nabati (CPO),15,IDTPP,Tanjung Priok,39468.84,Singapura,SG,MV CAHYONO 51,0,1,0,1.875,24,57,66
00148363,2026-01-14 16:00:00,Perum Saptono Mustofa,513542784980841,"Jl. Sadang Serang No. 621, Makassar, SU 62962",Lemak & Minyak Hewani/Nabati (CPO),15,IDTPP,Tanjung Priok,14047.79,Jepang,JP,MV CAHYONO 51,0,1,0,0.125,15,57,56
00859253,2026-01-16 16:00:00,CV Zulaika Anggraini,916697848018451,"Gang Ronggowarsito No. 158, Pangkalpinang, Sumatera Barat 86342",Lemak & Minyak Hewani/Nabati (CPO),15,IDBEL,Belawan,30411.2,Jepang,JP,MV CAHYONO 51,0,0,0,2.0,11,66,56
00589283,2026-01-16 18:00:00,UD Mandala Prayoga,884969653287101,"Gang Kebonjati No. 0, Bogor, SS 99605",Bahan Bakar Mineral (Batubara/Minyak),27,IDTPE,Tanjung Perak,9571.45,China,CN,MV CAHYONO 51,0,1,0,0.08333333333333333,15,68,75
00892483,2026-01-16 19:00:00,PD Pudjiastuti Marbun,489638346578713,"Gg. Astana Anyar No. 563, Cilegon, Gorontalo 07337",Sereal/Beras,10,IDTPP,Tanjung Priok,4196.84,China,CN,MV CAHYONO 51,0,1,0,0.041666666666666664,17,53,61
00389924,2026-01-20 13:00:00,PT Yulianti,801326773602606,"Gg. Suniaraja No. 920, Pariaman, BT 62718",Bahan Bakar Mineral (Batubara/Minyak),27,IDKBU,Kotabaru,31594.84,India,IN,MV CAHYONO 51,0,0,0,3.75,15,72,85
00486428,2026-01-20 23:00:00,Perum Sinaga,701543039117182,"Jl. Waringin No. 62, Bandung, Sulawesi Barat 53654",Bahan Bakar Mineral (Batubara/Minyak),27,IDTPP,Tanjung Priok,16352.89,India,IN,MV CAHYONO 51,0,1,0,0.4166666666666667,18,75,85
00333393,2026-01-21 09:00:00,PD Saputra Uyainah (Persero) Tbk,503056413953767,"Gang Ir. H. Djuanda No. 765, Cirebon, Kepulauan Bangka Belitung 20957",Mesin & Peralatan Elektrik,85,IDTPE,Tanjung Perak,4741.51,Singapura,SG,MV CAHYONO 51,0,1,0,0.4166666666666667,16,66,63
00767087,2026-01-21 09:00:00,CV Zulaika Anggraini,916697848018451,"Jalan Pacuan Kuda No. 26, Semarang, Kalimantan Selatan 51342",Mesin & Peralatan Elektrik,85,IDKBU,Kotabaru,4981.64,Jepang,JP,MV CAHYONO 51,0,1,0,0.0,20,66,48
00839168,2026-01-21 12:00:00,UD Putra Tbk,346247510799118,"Gang M.H Thamrin No. 65, Denpasar, SN 97384",Sereal/Beras,10,IDKBU,Kotabaru,47141.66,China,CN,MV CAHYONO 51,0,1,0,0.125,18,56,61
00980975,2026-01-22 20:00:00,PD Prabowo (Persero) Tbk,997376311656670,"Jl. Kiaracondong No. 234, Palembang, Gorontalo 14161",Lemak & Minyak Hewani/Nabati (CPO),15,IDBEL,Belawan,4253.93,China,CN,MV CAHYONO 51,0,1,0,1.3333333333333333,15,66,61
