ID_PERUSAHAAN,NIB,NPWP,NAMA_PERUSAHAAN,ALAMAT_PERUSAHAAN,KELURAHAN,DAERAH_ID,KODE_POS,NOMOR_TELPON,KATEGORI,NIPER,NOMOR_API,TGL_TERBIT_NIB,STATUS_NIB,KODE_KANTOR,TGL_SYNC_OSS
C000020,6469243435486,76.337.181.1-191.839,PT SUDIATI SETIAWAN,GG. OTTO ISKANDARDINATA NO. 0,,35,97979,+62 (831) 312-9785,IMPORTIR,,1003025502,2023-05-11,AKTIF,070100,2026-04-30
C000021,0254550054908X,95.737.037.9-600.940,CV HASTUTI,JALAN W.R. SUPRATMAN NO. 881,BUKITTINGGI,35,39964,+62 (296) 489 3988,IMPORTIR,4803163678,2868447058,2023-10-04,AKTIF,070500,2026-04-27
C000022,5419635110967,39.350.109.3-881.826,CV WIBISONO TBK (CABANG),GG. RONGGOWARSITO NO. 80,TANGERANG SELATAN,16,,(011) 395-5434,KEDUA-DUANYA,0946542473,0358707290,2024-05-30,AKTIF,030100,2026-05-10
C000023,4842109222514,43.361.491.9-649.377,PT SETIAWAN,GANG SETIABUDHI NO. 1,BALIKPAPAN,33,17356,+62-054-162-5580,EKSPORTIR,4803163678,,2025-04-26,AKTIF,060300,2026-03-24
C000024,5362280937514,86 838 105,UD GUNARTO (CABANG),GANG CIKUTRA BARAT NO. 735,SIBOLGA,73,69252,081 786 9772,EKSPORTIR,6681780399,,2023-03-27,AKTIF,110100,2026-03-20
C000025,9072631068154,32.682.292.4-753.984,PERUM SURYONO FIRGANTORO TBK,JL. KUTISARI SELATAN NO. 1,,12,,0887360511,IMPORTIR,,0879858350,2014-04-10,DICABUT,010700,2026-04-10
C000026,7968863124079,03.315.649.4-556.701,PT PUDJIASTUTI NURDIYANTI (PERSERO) TBK,GG. PELAJAR PEJUANG NO. 887,,12,96686,+62-35-358-3995,EKSPORTIR,9787556380,,2024-07-15,DIBEKUKAN,020300,2026-05-16
C000027,0254260062892,21.193.533.4-208.368,PERUM PRASETYA ANGGRIAWAN,JALAN KUTISARI SELATAN NO. 26,,18,,+62 (58) 000 9631,KEDUA-DUANYA,4164101484,5191504959,2023-11-15,AKTIF,030700,2026-05-16
C000028,1623419031061,43.211.457.2-150.741,PERUM LAKSMIWATI TBK (CABANG),JL. PETA NO. 75,SURABAYA,73,12751,080 098 6331,EKSPORTIR,4499318968,,2025-06-27,AKTIF,110100,2026-05-19
C000029,6387239517451,68.272.541.1-240.150,PT SIRAIT BUDIMAN (PERSERO) TBK,JL. SURYAKENCANA NO. 86,BENGKULU,33,07670,(065) 937 3501,IMPORTIR,,1309629234,2024-08-10,DIBEKUKAN,060300,2026-04-12
C000030,4022695620948,36.721.656.6-081.787,UD ISWAHYUDI,JL. SURYAKENCANA NO. 6,SUBULUSSALAM,33,,+62-038-006-1958,EKSPORTIR,3021914656,,2024-01-31,AKTIF,060300,2026-03-17
C000031,3513052312447,25.976.094.5-725.564,UD IRAWAN WIDIASTUTI,JL. KIARACONDONG NO. 971,,73,33800,(0301) 924-4189,KEDUA-DUANYA,6747179607,9749135729,2024-01-31,AKTIF,110100,2026-06-02
C000032,0000000000000,96.358.191.7-393.164,UD AGUSTINA (CABANG),GG. DR. DJUNJUNAN NO. 75,,21,37054,+62 (34) 822-2471,KEDUA-DUANYA,4803163678,4962600105,2023-07-22,AKTIF,020400,2026-05-08
C000033,3326277674695,18 798 028,PT RAJATA HUTAPEA (PERSERO) TBK,JL. RONGGOWARSITO NO. 6,BANDUNG,12,,+62 (515) 152-8548,IMPORTIR,,7732764256,2024-08-25,AKTIF,010800,2026-05-16
C000034,5811863690766,82.580.626.3-682.445,CV MUSTOFA MARPAUNG (CABANG),JALAN CIUMBULEUIT NO. 027,,35,04484,+62 (987) 119-6902,IMPORTIR,4803163678,6242162628,2023-07-27,AKTIF,070100,2026-04-18
C000035,3130220373540,46.655.238.3-702.697,UD HARYANTI,JL. HOS. COKROAMINOTO NO. 701,,12,89359,+62 (038) 686-1183,EKSPORTIR,5973668755,,2025-01-09,AKTIF,010700,2026-05-14
C000036,0913307726292,64.467.356.0-948.302,PERUM SIRAIT SUSANTI TBK,GG. CIUMBULEUIT NO. 292,BALIKPAPAN,21,23852,+62 (0975) 271-2904,EKSPORTIR,5671092732,,2025-11-14,DICABUT,020400,2026-04-28
C000037,0455252654606,62.618.182.6-515.560,PD USADA NOVITASARI (PERSERO) TBK (CABANG),JL. DR. DJUNJUNAN NO. 1,TASIKMALAYA,32,64758,+62 (40) 827-4619,KEDUA-DUANYA,4804241634,0978979638,2025-06-05,AKTIF,050900,2026-03-18
C000038,2261673366053,66.785.857.9-287.260,PT SIHOMBING HAKIM,JL. JEND. A. YANI NO. 628,,12,99111,081 644 3373,EKSPORTIR,3457746381,,2024-08-21,AKTIF,011200,2026-05-06
C000039,0318686592799,39.948.528.1-839.646,PD LAKSITA (PERSERO) TBK,GANG PETA NO. 63,TANGERANG SELATAN,73,57289,+62-90-090-6299,KEDUA-DUANYA,8130255474,1948606512,2025-08-01,AKTIF,140100,2026-04-12
C000040,5077309559771,113571811,UD PUSPITA PADMASARI,JALAN KENDALSARI NO. 316,CIREBON,35,88584,+62 (039) 041 0406,IMPORTIR,,4475599852,2023-09-24,AKTIF,070100,2026-04-08
C000041,7844483548847,14.774.968.2-499.006,PD PURNAWATI SANTOSO (CABANG),JALAN TEBET BARAT DALAM NO. 6,DENPASAR,12,57844,+62-0314-767-3009,IMPORTIR,,0085912093,2025-06-03,AKTIF,011200,2026-04-13
C000042,3715273300627,56.145.988.7-089.065,PERUM JANUAR,JALAN RUMAH SAKIT NO. 97,BENGKULU,73,80271,+62 (064) 619-1585,EKSPORTIR,6503248182,,2023-12-12,AKTIF,110100,2026-04-24
C000043,6666170715879,49.313.509.4-789.700,CV PRATAMA,GG. CIHAMPELAS NO. 545,BANJAR,31,33991,+62-089-674-6319,EKSPORTIR,0397354005,,2024-10-04,AKTIF,040400,2026-05-30
C000044,1787830057525,63.376.949.8-195.389,UD WIBISONO FARIDA (PERSERO) TBK (CABANG),JALAN GEDEBAGE SELATAN NO. 7,BATU,12,79006,+62 (0523) 621-9036,KEDUA-DUANYA,4803163678,9515927450,2024-04-13,AKTIF,010800,2026-04-26
C000045,650875517399,90.136.657.0-771.931,PD NASHIRUDDIN,GANG JEND. A. YANI NO. 92,DENPASAR,12,20996,+62 (065) 438 4412,KEDUA-DUANYA,5032447516,4167313291,2024-05-30,AKTIF,011200,2026-06-04
C000046,992416119540,88.738.741.6-181.757,PT PALASTRI ASTUTI (PERSERO) TBK,JL. RUNGKUT INDUSTRI NO. 554,SERANG,36,05596,(032) 623-7634,EKSPORTIR,3090838784,,2023-11-04,DICABUT,050400,2026-04-23
C000047,6919575941904,41.270.864.9-050.445,CV PUSPASARI (PERSERO) TBK,JALAN PHH. MUSTOFA NO. 24,PRABUMULIH,12,35723,+62 (962) 635 3522,IMPORTIR,,1359070186,2024-09-07,AKTIF,011200,2026-05-07
C000048,9216298604278,47.717.507.1-768.058,CV NASHIRUDDIN NARPATI (PERSERO) TBK,GANG AHMAD YANI NO. 916,AMBON,51,,(0748) 076 6609,EKSPORTIR,4803163678,,2024-11-13,AKTIF,090100,2026-04-10
C000049,0341058828703,47.090.488.1-603.602,PERUM SIREGAR,GG. KH AMIN JASUTA NO. 21,SALATIGA,12,05312,(054) 592-5449,EKSPORTIR,0808293870,,2025-09-03,AKTIF,010700,2026-04-27
C000050,9988351991773,084718549,LATUPONO PRASASTA (CABANG),JALAN R.E MARTADINATA NO. 97,SAMARINDA,73,09077,+62 (176) 424 9327,KEDUA-DUANYA,2419621306,0831838681,2023-11-24,AKTIF,140100,2026-04-16
C000051,9283881298562,30.101.749.1-384.381,YULIARTI (PERSERO) TBK (CABANG),JALAN JOYOBOYO NO. 045,KOTA ADMINISTRASI JAKARTA UTARA,16,29860,+62-0848-876-1005,IMPORTIR,,2499832622,2025-09-23,AKTIF,030100,2026-05-12
C000052,6878689535557,02.960.665.5-959.613,PT PRASETYO (PERSERO) TBK,JL. PASIRKOJA NO. 8,TUAL,35,27425,+62 (0827) 069 0871,KEDUA-DUANYA,3142054105,7268159995,2025-05-04,AKTIF,071300,2026-05-02
C000053,4371171856911,91.736.483.8-082.513,PERUM YUNIAR SAMOSIR TBK,GG. PASIR KOJA NO. 7,DEPOK,35,09514,+62-197-285-8020,IMPORTIR,,6702482346,2025-12-18,AKTIF,070500,2026-04-14
C000054,148975484119,73.292.833.7-341.810,PERUM PRATAMA (PERSERO) TBK,GG. KIARACONDONG NO. 2,KOTA ADMINISTRASI JAKARTA BARAT,16,39411,082 064 6028,IMPORTIR,,1940199630,2024-03-18,AKTIF,030100,2026-05-24
C000055,6335420509530,87.460.164.7-950.751,PERUM ANGGRAINI,GANG SUNIARAJA NO. 8,DUMAI,36,66479,083 685 7860,IMPORTIR,,2881583465,2025-11-05,DIBEKUKAN,050400,2026-04-12
C000056,6154001288014,52 453 724,PT OKTAVIANI,GG. PASTEUR NO. 27,PADANGPANJANG,12,52059,+62 (058) 043 9398,KEDUA-DUANYA,9284879006,7683094777,2025-09-09,DIBEKUKAN,010800,2026-03-22
C000057,4217254014861,18.450.096.3-754.734,PERUM WASITA BUDIYANTO,JALAN CIKUTRA BARAT NO. 7,,61,32215,0818696750,IMPORTIR,4803163678,5150848552,2023-05-25,AKTIF,090400,2026-06-08
C000058,4224043261189,06.036.197.4-391.538,PERUM SURYONO,GG. RUNGKUT INDUSTRI NO. 28,PAYAKUMBUH,16,40652,+62 (0464) 307-7207,KEDUA-DUANYA,8229046995,2361514097,2023-11-02,AKTIF,030100,2026-05-30
C000059,5226549305397,24.787.312.5-098.199,PT MANDALA WIDODO TBK,GANG GEGERKALONG HILIR NO. 6,,91,80316,080 282 7398,KEDUA-DUANYA,3996980908,9283937334,2025-05-11,AKTIF,120300,2026-04-04
C000060,8331265281007,089765713302735,HIDAYANTO (PERSERO) TBK (CABANG),JL. BKR NO. 709,BENGKULU,91,67908,+62-099-889-5377,IMPORTIR,,5956782952,2025-12-06,AKTIF,120300,2026-05-20
C000061,9180552696582,159380344317043,PT NAMAGA (PERSERO) TBK,JALAN PETA NO. 22,MEDAN,12,,+62 (0769) 304-5105,KEDUA-DUANYA,4562113461,2337710628,2025-11-03,AKTIF,020300,2026-06-02
C000062,0990704644503,90 003 178,PERUM WALUYO TBK,GG. HOS. COKROAMINOTO NO. 660,PAREPARE,12,12081,0837849860,IMPORTIR,4803163678,7955067320,2025-11-17,AKTIF,010700,2026-04-07
C000063,8727174306881,13.775.392.4-794.738,CV OKTAVIANI LAKSMIWATI,JALAN BANGKA RAYA NO. 62,PAREPARE,35,55143,+62-054-251-8868,IMPORTIR,,7788396775,2025-11-04,AKTIF,071300,2026-04-10
C000064,0000000000000,493981701086776,PD NASHIRUDDIN (PERSERO) TBK,JL. CIHAMPELAS NO. 095,,73,91222,+62-055-077-8843,IMPORTIR,,9784250094,2024-06-25,AKTIF,140100,2026-05-26
C000065,1156854026218,05.402.733.0-732.251,UD TAMBA,GG. SILIWANGI NO. 61,PADANGPANJANG,35,09363,+62 (091) 814-9835,KEDUA-DUANYA,2154209844,4049190491,2023-09-08,AKTIF,071300,2026-05-15
C000066,691309810796,36.702.630.6-460.932,CV HUTASOIT (PERSERO) TBK (CABANG),GANG CIWASTRA NO. 76,SURAKARTA,33,20165,+62-026-528-7905,EKSPORTIR,4041315609,,2025-09-08,DICABUT,060300,2026-04-17
C000067,8454313742028,16.524.082.0-525.701,CV GUNAWAN TBK,GANG R.E MARTADINATA NO. 388,,35,19174,(0307) 778 1088,KEDUA-DUANYA,1318255110,6878058346,2024-01-26,AKTIF,070500,2026-06-06
C000068,4698716855131,20.496.648.7-218.081,UD PERMADI LAKSMIWATI (PERSERO) TBK,GANG S. PARMAN NO. 985,PURWOKERTO,12,,+62 (030) 575-4100,IMPORTIR,,9299043604,2025-04-11,AKTIF,011200,2026-05-22
C000069,2408860969253,81 675 716,CV WIDIASTUTI SIHOMBING (PERSERO) TBK,GANG CIKUTRA BARAT NO. 5,PAREPARE,51,,+62-169-962-1392,EKSPORTIR,3499851912,,2023-05-01,AKTIF,080100,2026-06-05
C000070,1891179720385,I5O56O95II95852,PD HARIYAH SUWARNO TBK,GG. PETA NO. 857,TANGERANG SELATAN,21,69666,+62-816-514-2432,KEDUA-DUANYA,1821608799,5510459999,2025-07-18,AKTIF,020400,2026-04-02
C000071,8222832800655,49.307.171.4-326.787,UD MANULLANG,JALAN CIUMBULEUIT NO. 27,TANJUNGPINANG,32,73613,+62 (0292) 840 6453,KEDUA-DUANYA,9968032452,8728025129,2023-07-28,AKTIF,050900,2026-04-03
C000072,7067516913952,11.329.056.1-858.416,UD WAHYUNI,JALAN CIKUTRA TIMUR NO. 1,KOTAMOBAGU,12,,+62-0845-247-9941,KEDUA-DUANYA,6988921594,6013246768,2024-03-21,AKTIF,010800,2026-05-20
C000073,8723836806014,582462164,PT PUDJIASTUTI,GG. SURAPATI NO. 39,SINGKAWANG,21,08899,(0357) 188 2853,EKSPORTIR,4803163678,,2014-07-16,AKTIF,020100,2026-04-20
C000074,6187996344060,94.873.840.8-574.182,PD SINAGA,JALAN TEBET BARAT DALAM NO. 8,PALANGKARAYA,12,,+62-0231-951-2154,IMPORTIR,,0692479985,2023-12-03,AKTIF,010800,2026-03-31
C000075,1927054874870,482694730379385,CV NURDIYANTI RAHIMAH TBK,JALAN SUNIARAJA NO. 163,BANDA ACEH,61,60172,087 897 0874,EKSPORTIR,3565304352,,2024-07-11,AKTIF,090400,2026-04-04
C000076,959360194127,03.425.392.1-575.793,PT SURYATMI TBK,JALAN ANTAPANI LAMA NO. 935,BANJARMASIN,12,,(074) 090 6143,EKSPORTIR,7315886190,,2025-06-16,AKTIF,011200,2026-04-16
C000077,4200287340362,38 229 926,PT SURYATMI WASTUTI (PERSERO) TBK,GANG H.J MAEMUNAH NO. 6,BENGKULU,21,10986,+62 (631) 082 3211,KEDUA-DUANYA,4523656778,8406402137,2023-10-24,AKTIF,020400,2026-05-17
C000078,0000000000000,91.310.406.4-923.793,PT HUTAPEA,JALAN LASWI NO. 09,BANJARBARU,21,04596,+62 (050) 824-8611,EKSPORTIR,1947447336,,2023-05-07,DIBEKUKAN,020400,2026-04-17
C000079,8461759265993,65.646.641.7-655.940,PT MANULLANG HARDIANSYAH,JL. RAJAWALI TIMUR NO. 092,KOTA ADMINISTRASI JAKARTA PUSAT,32,29540,+62 (0163) 555-7884,EKSPORTIR,6357209944,,2025-11-26,AKTIF,050900,2026-03-31
C000080,2054596715006,55.995.918.6-432.275,PD MAULANA (PERSERO) TBK (CABANG),GG. AHMAD YANI NO. 09,PALANGKARAYA,12,63748,+62 (045) 747 3558,IMPORTIR,,4395500715,2023-07-04,AKTIF,020300,2026-05-09
C000081,5354407896778,67.550.995.9-949.897,PD MANDALA,GANG IR. H. DJUANDA NO. 2,MOJOKERTO,73,49272,(0857) 671 6344,IMPORTIR,,7967128161,2023-01-19,DICABUT,140100,2026-03-27
C000082,9080479490515,944070556171137,PERUM HARYANTI,GANG TEBET BARAT DALAM NO. 511,PONTIANAK,21,09045,(0798) 733-1197,EKSPORTIR,9409492261,,2024-10-31,DIBEKUKAN,020400,2026-06-10
C000083,1210315538316,15.362.246.9-851.041,PERUM MAULANA TBK,JALAN PASIR KOJA NO. 438,MALANG,32,08699,+62 (753) 045-3707,EKSPORTIR,6111376923,,2025-09-07,AKTIF,050900,2026-05-09
C000084,8506967206474,00.728.348.5-725.016,UD SANTOSO (PERSERO) TBK,JALAN JOYOBOYO NO. 5,AMBON,51,75472,+62 (0713) 143 9692,EKSPORTIR,9034905410,,2023-01-01,AKTIF,090100,2026-05-07
C000085,1313071695215,50.702.025.5-390.592,PERUM NAINGGOLAN SAEFULLAH (PERSERO) TBK (CABANG),GG. ERLANGGA NO. 2,TANGERANG,35,21098,(019) 282-7930,EKSPORTIR,8928326328,,2025-04-18,AKTIF,070500,2026-04-17
C000086,5542327297027,289054604,PT WASTUTI,GANG PASIR KOJA NO. 8,,51,70773,(0504) 757 0974,KEDUA-DUANYA,0858555197,0460197813,2025-01-04,DICABUT,090100,2026-04-07
C000087,1621856352007X,55.962.074.5-042.296,PERUM NATSIR (PERSERO) TBK,GANG H.J MAEMUNAH NO. 119,DUMAI,33,82730,+62 (041) 745-0115,IMPORTIR,,4915166446,2025-05-10,AKTIF,050100,2026-04-10
C000088,4639484184986,79.872.231.5-005.149,UD OKTAVIANI,GG. ASTANA ANYAR NO. 18,KUPANG,35,41372,+62 (931) 857-1975,KEDUA-DUANYA,4803163678,2271689229,2025-12-11,AKTIF,070500,2026-03-31
C000089,4153053863772,47.222.763.9-658.863,UD PRADIPTA SARAGIH (PERSERO) TBK,JALAN JAMIKA NO. 869,BONTANG,73,82106,+62 (064) 478 5894,EKSPORTIR,6329477269,,2023-06-08,AKTIF,140100,2026-05-19
C000090,6387621577405,32.995.383.8-447.439,UD MARDHIYAH (CABANG),GG. SURYAKENCANA NO. 025,PADANG,35,50282,+62 (0397) 621 0897,IMPORTIR,4803163678,3068220148,2024-07-15,AKTIF,070100,2026-03-20
C000091,0810620034244,18.859.063.4-208.771,PD SURYATMI,JALAN GEDEBAGE SELATAN NO. 202,MALANG,35,25241,+62 (0854) 208 4813,EKSPORTIR,5532845729,,2025-03-07,AKTIF,070500,2026-04-13
C000092,0402560041316,87.406.867.7-476.360,CV WIBISONO ZULAIKA,GANG PASTEUR NO. 0,SAWAHLUNTO,33,98468,+62 (190) 477 1867,EKSPORTIR,3968083549,,2025-07-06,AKTIF,050100,2026-05-04
C000093,4072545396016,07.587.853.9-874.833,CV RAHAYU,GANG DIPATIUKUR NO. 8,BAU-BAU,51,48600,+62-0085-626-2392,IMPORTIR,,4241395175,2025-03-24,DICABUT,090100,2026-04-10
C000094,4768098568350,45.100.843.8-242.283,CV MAYASARI (CABANG),GANG CIUMBULEUIT NO. 407,SOLOK,12,85058,+62 (0151) 340 1749,IMPORTIR,,1476077181,2025-10-01,AKTIF,010800,2026-04-12
C000095,7189241956252,81.779.905.5-871.682,PD SETIAWAN BUDIMAN TBK,GG. BANGKA RAYA NO. 3,SAMARINDA,36,60078,(0136) 412 5418,KEDUA-DUANYA,0869933685,3906728826,2025-10-28,AKTIF,050400,2026-04-25
C000096,8676738209746,403328976,CV PRASETYO,JALAN CIKUTRA TIMUR NO. 4,SEMARANG,73,95867,+62 (081) 648 7739,IMPORTIR,,7040776687,2025-06-12,AKTIF,110100,2026-03-17
C000097,0000000000000,5456O654I486OI9,UD KUSUMO,GANG SADANG SERANG NO. 8,BALIKPAPAN,32,93772,(0865) 179-3852,KEDUA-DUANYA,5614205334,2289352259,2025-08-04,AKTIF,050900,2026-03-15
C000098,0427499861337,03.526.574.0-266.813,PD PRADANA PURNAWATI (PERSERO) TBK (CABANG),JL. CIHAMPELAS NO. 94,TANJUNGBALAI,73,58701,+62 (274) 704-6571,EKSPORTIR,0868393839,,2024-04-13,DICABUT,110100,2026-05-24
C000099,4827215503968,026498757,PD MAULANA,JALAN AHMAD DAHLAN NO. 01,PADANGPANJANG,33,,(0377) 157 8729,EKSPORTIR,8350555003,,2023-11-13,AKTIF,050100,2026-05-21
C000100,5791002623126,63.806.715.5-654.978,PT BUDIYANTO DAMANIK,GANG WARINGIN NO. 915,BENGKULU,51,21983,+62-0060-898-1920,IMPORTIR,4803163678,1006794893,2025-10-23,DICABUT,090100,2026-05-31
C000101,2146100498359,05.856.054.5-863.514,PD SURYONO,GANG ANTAPANI LAMA NO. 0,BANDAR LAMPUNG,35,29064,+62-829-635-5325,KEDUA-DUANYA,3302739496,4032668204,2023-04-28,AKTIF,070100,2026-05-09
C000102,9333677052979,O5IO76743933I83,PT JANUAR MARDHIYAH,JL. LEMBONG NO. 016,BIMA,31,60917,087 887 0221,KEDUA-DUANYA,8557126430,0529826167,2025-02-04,AKTIF,040400,2026-04-15
C000103,5594849674166,273998850,PD HALIM,GG. KUTAI NO. 386,BAU-BAU,16,71171,+62 (44) 641 6166,EKSPORTIR,1503343143,,2024-03-28,AKTIF,030100,2026-05-27
C000104,3968330933532,73.652.392.1-810.062,PT WASKITA,JALAN HOS. COKROAMINOTO NO. 581,AMBON,51,23779,+62 (0594) 830 7413,KEDUA-DUANYA,4803163678,5903288683,2024-02-19,AKTIF,080100,2026-04-17
C000105,8290755154526,07.936.948.7-331.446,UD RAMADAN TBK,GG. RUNGKUT INDUSTRI NO. 7,DENPASAR,51,71205,+62 (045) 422-8974,IMPORTIR,,3347609656,2023-01-08,AKTIF,080100,2026-06-05
C000106,6252602216908,90.522.466.5-811.282,PERUM LAILASARI,GANG SURYAKENCANA NO. 5,TEGAL,32,36477,+62-476-296-1171,EKSPORTIR,4526221063,,2024-04-17,AKTIF,050900,2026-04-01
C000107,6896176872962,92.889.020.4-174.786,CV SIMBOLON,GG. KEBONJATI NO. 905,PAYAKUMBUH,51,93287,+62-0960-838-9216,KEDUA-DUANYA,1714548762,3236779817,2024-09-24,AKTIF,080100,2026-05-09
C000108,3972961756577X,9IIO544I24629IO,CV UTAMA GUNAWAN,GANG KUTISARI SELATAN NO. 23,PEKALONGAN,32,40376,(022) 416-5673,KEDUA-DUANYA,6447687475,0191644093,2023-06-26,AKTIF,050900,2026-04-25
C000109,1651424329429,19.535.707.4-996.009,PD NAINGGOLAN YULIARTI (CABANG),GANG SETIABUDHI NO. 6,TANGERANG,16,40348,086 805 6106,KEDUA-DUANYA,6726968900,8307640436,2025-01-07,AKTIF,030100,2026-05-24
C000110,4703180533962,56.944.260.6-910.403,PD NURAINI TBK,GANG ABDUL MUIS NO. 6,BALIKPAPAN,16,56243,+62 (17) 562-6923,IMPORTIR,,9699521347,2023-10-11,AKTIF,030100,2026-05-18
C000111,7314976461368,35.494.291.8-518.250,CV FARIDA TBK,JL. TEBET BARAT DALAM NO. 3,TANJUNGPINANG,21,81647,+62-0833-124-6767,KEDUA-DUANYA,4337497378,9886759680,2025-07-15,AKTIF,020100,2026-06-11
C000112,3386194118390,79.812.236.4-129.287,UD HARDIANSYAH WINARNO,GG. JAKARTA NO. 7,MAKASSAR,73,22590,(0379) 889-0084,IMPORTIR,,4380411479,2025-11-15,AKTIF,110100,2026-05-25
C000113,5945681508951,37.390.718.3-808.668,PERUM PRASETYO PRAYOGA (CABANG),JALAN RAYA UJUNGBERUNG NO. 1,PROBOLINGGO,35,15337,+62-848-515-9698,IMPORTIR,,4599450767,2024-05-06,DICABUT,070100,2026-03-26
C000114,8122362316658,23 457 632,PERUM FUJIATI,GANG RUNGKUT INDUSTRI NO. 1,SAMARINDA,21,40608,+62 (032) 212-4954,EKSPORTIR,1403803197,,2025-03-09,DIBEKUKAN,020100,2026-03-18
