GR_ID,NIB,NPWP,NAMA,NAMA_SINGKATAN,JENIS_PERSEROAN,STATUS_BADAN_HUKUM,STATUS_PERSEROAN,ALAMAT,KELURAHAN,DAERAH_ID,KODE_POS,FLAG_IMPOR,FLAG_EKSPOR,JENIS_API,KODE_KANTOR,NOMOR_TELPON,KATEGORI,NIPER,NOMOR_API,ID_PERUSAHAAN,TGL_PERUBAHAN_NIB,TGL_TERBIT_NIB,TGL_SYNC_OSS,STATUS_NIB,SOURCE,MATCH_TYPE,SOURCE_COUNT,N_CONFLICTS,IS_OUT_OF_SYNC,IS_STALE,HIGH_SYNC_LAG,IS_LOGICAL_CONFLICT_NIPER,CREATED_AT
GR000011,1939909169985,33.209.685.5-244.271,CV KUSMAWATI WASITA (PERSERO) TBK,CV,Perum,Belum Berbadan Hukum,Aktif,Gg. Setiabudhi No. 67,TANGERANG,21,,Y,Y,API-P,20100.0,628163617296.0,IMPORTIR,,5906170401.0,C003252,2025-07-27,2025-07-27,2026-03-28,AKTIF,MATCHED,EXACT_NIB,2,0,False,False,True,False,2026-06-12 00:42:58
GR000012,1183842513542,56.853.556.4-626.826,CV NASYIAH HASSANAH,CV,PT,Berbadan Hukum,Tidak Aktif,Jalan Pelajar Pejuang No. 31,,73,,Y,Y,API-P,110100.0,62128581137.0,IMPORTIR,,2179980021.0,C004651,2023-08-08,2023-08-08,2026-04-02,AKTIF,MATCHED,EXACT_NIB,2,0,False,True,True,False,2026-06-12 00:42:58
GR000013,4935348740164,05.003.341.2-652.268,PD LAKSITA LAKSMIWATI,PD,UD,Belum Berbadan Hukum,Dibekukan,Jalan Jend. A. Yani No. 06,PALU,73,68723.0,N,N,,140100.0,626832273594.0,IMPORTIR,4803163678.0,3139590012.0,C000849,2023-08-18,2023-08-18,2026-05-04,AKTIF,MATCHED,EXACT_NIB,2,1,False,True,True,True,2026-06-12 00:42:58
GR000014,2805982620450,45.215.698.3-682.105,CV HAKIM (PERSERO) TBK,CV,UD,Berbadan Hukum,Aktif,Jl. Indragiri No. 88,BANJARMASIN,21,,N,Y,,20400.0,62862885853.0,IMPORTIR,,1384229382.0,C003456,2023-12-29,2023-12-29,2026-05-18,DIBEKUKAN,MATCHED,EXACT_NIB,2,0,False,True,False,False,2026-06-12 00:42:58
GR000015,6981693406088,87.736.962.3-372.441,CV SAPTONO,CV,UD,Belum Berbadan Hukum,Dibekukan,Jl. Pasteur No. 93,,12,87401.0,N,Y,,20300.0,62814952924.0,IMPORTIR,,1797643766.0,C002146,2024-09-07,2024-09-07,2026-03-29,AKTIF,MATCHED,EXACT_NIB,2,1,False,True,True,False,2026-06-12 00:42:58
GR000016,5648236629946,70.853.000.4-293.215,UD GUNAWAN ADRIANSYAH TBK,UD,Perum,Belum Berbadan Hukum,Tidak Aktif,Jalan Cempaka No. 6,BINJAI,16,28059.0,N,Y,,30100.0,622530095.0,EKSPORTIR,7509369269.0,,C000498,2025-11-12,2025-11-12,2026-04-21,AKTIF,MATCHED,EXACT_NIB,2,0,False,False,True,False,2026-06-12 00:42:58
GR000017,2148951343320,05.250.486.9-870.786,PD MAHENDRA GUNARTO,,Perum,Berbadan Hukum,Dibekukan,Jalan Setiabudhi No. 315,SOLOK,12,32260.0,N,N,,20300.0,62966941620.0,KEDUA-DUANYA,4086453881.0,5828428390.0,C000704,2025-10-09,2025-10-09,2026-05-01,DICABUT,MATCHED,EXACT_NIB,2,2,True,False,True,True,2026-06-12 00:42:58
GR000018,8957986872774,96.253.860.4-784.796,PD SITOMPUL SETIAWAN,,CV,Belum Berbadan Hukum,Tidak Aktif,Gang H.J Maemunah No. 6,BANDAR LAMPUNG,32,42940.0,N,Y,,50900.0,622598649244.0,IMPORTIR,,2244754895.0,C002773,2024-08-08,2024-08-08,2026-04-27,AKTIF,MATCHED,EXACT_NIB,2,1,False,True,True,False,2026-06-12 00:42:58
GR000019,8122362316658,59.425.063.3-852.430,PERUM FUJIATI,PERUM,Perum,Berbadan Hukum,Tidak Aktif,Gang Rungkut Industri No. 1,SAMARINDA,21,40608.0,Y,N,API-P,20100.0,62322124954.0,EKSPORTIR,1403803197.0,,C000114,2025-03-09,2025-03-09,2026-03-18,DIBEKUKAN,MATCHED,EXACT_NIB,2,2,False,True,True,True,2026-06-12 00:42:58
GR000020,6889373467065,85.695.817.6-741.169,UD ASTUTI HIDAYAT,UD,Perum,Berbadan Hukum,Aktif,Jalan Rajawali Barat No. 4,,18,48236.0,Y,N,API-U,30700.0,6212880143.0,EKSPORTIR,6111103822.0,,C001176,2023-10-05,2023-10-05,2026-06-08,DIBEKUKAN,MATCHED,EXACT_NIB,2,1,False,True,False,True,2026-06-12 00:42:58
GR000021,4653755646417,02.767.552.0-974.358,CV SUSANTI PURNAWATI TBK,CV,PT,Berbadan Hukum,Aktif,Gg. Peta No. 699,PANGKALPINANG,51,73872.0,Y,Y,API-U,90100.0,625878650324.0,EKSPORTIR,9916444724.0,,C004009,2023-11-09,2023-11-09,2026-04-14,AKTIF,MATCHED,EXACT_NIB,2,2,False,True,True,False,2026-06-12 00:42:58
GR000022,9190586518506,62.108.443.5-650.912,PERUM NABABAN WINARNO TBK,PERUM,CV,Belum Berbadan Hukum,Dibekukan,Jl. Suryakencana No. 0,,18,28708.0,Y,N,API-P,30700.0,6294363252.0,IMPORTIR,,5220988195.0,C004554,2025-08-10,2025-08-10,2026-05-07,AKTIF,MATCHED,EXACT_NIB,2,0,False,False,True,False,2026-06-12 00:42:58
GR000023,4531473799650,63.871.332.2-499.217,PT HASANAH MANSUR,PT,Firma,Belum Berbadan Hukum,Dibekukan,Gang Kendalsari No. 8,PURWOKERTO,21,27743.0,N,N,,20400.0,62261123847.0,IMPORTIR,,9548102365.0,C003735,2023-01-21,2023-01-21,2026-03-29,AKTIF,MATCHED,EXACT_NIB,2,0,False,True,True,False,2026-06-12 00:42:58
GR000024,3678377701436,88.249.313.9-377.484,PERUM LAKSITA (PERSERO) TBK,PERUM,Perum,Belum Berbadan Hukum,Tidak Aktif,Jalan Peta No. 455,BOGOR,35,36231.0,N,N,,70500.0,62774340219.0,EKSPORTIR,9887034483.0,,C000609,2024-07-08,2024-07-08,2026-04-12,AKTIF,MATCHED,EXACT_NIB,2,1,False,True,True,True,2026-06-12 00:42:58
GR000025,3518233749894,12.852.198.4-232.369,PD SITOMPUL NAMAGA TBK,PD,PT,Berbadan Hukum,Tidak Aktif,Jl. Veteran No. 90,,73,,N,Y,,140100.0,62915884902.0,EKSPORTIR,4166755363.0,,C000220,2023-04-22,2023-04-22,2026-04-10,AKTIF,MATCHED,EXACT_NIB,2,1,False,True,True,False,2026-06-12 00:42:58
GR000026,2710947775204,61.116.841.1-410.503,PD PRASETYA SAPUTRA,,CV,Belum Berbadan Hukum,Aktif,Jalan Sukajadi No. 62,BLITAR,12,69901.0,Y,Y,API-U,20300.0,625517230301.0,IMPORTIR,,4104224704.0,C004437,2023-08-31,2023-08-31,2026-04-14,AKTIF,MATCHED,EXACT_NIB,2,0,False,True,True,False,2026-06-12 00:42:58
GR000027,9938677496499,07.624.983.1-970.781,CV HARIYAH NAJMUDIN (PERSERO) TBK,CV,PT,Berbadan Hukum,Aktif,Gang Lembong No. 55,KOTA ADMINISTRASI JAKARTA UTARA,35,,Y,Y,API-P,60100.0,62129063072.0,EKSPORTIR,1145192949.0,,C004627,2023-06-03,2023-06-03,2026-04-21,AKTIF,MATCHED,EXACT_NIB,2,0,False,True,True,False,2026-06-12 00:42:58
GR000028,9740344713493,54.117.557.3-663.152,UD PRASETYO,UD,PT,Berbadan Hukum,Tidak Aktif,Jl. Pacuan Kuda No. 092,BLITAR,12,,Y,N,API-U,10700.0,624176208192.0,EKSPORTIR,7336767474.0,,C003710,2025-06-18,2025-06-18,2026-04-05,AKTIF,MATCHED,EXACT_NIB,2,1,False,False,True,True,2026-06-12 00:42:58
GR000029,6488771906594,03.093.234.9-601.973,CV SUDIATI (PERSERO) TBK,CV,UD,Berbadan Hukum,Aktif,Jalan Indragiri No. 496,,31,,N,N,,10100.0,621506894649.0,IMPORTIR,,3621882376.0,C003089,2025-11-28,2025-11-28,2026-05-13,AKTIF,MATCHED,EXACT_NIB,2,1,False,False,False,False,2026-06-12 00:42:58
GR000030,2967175655125,52.710.507.4-678.967,PERUM GUNARTO,PERUM,PT,Belum Berbadan Hukum,Tidak Aktif,Gang Cikutra Timur No. 5,PADANGPANJANG,21,16572.0,Y,N,API-P,20100.0,621596935.0,EKSPORTIR,1246398885.0,,C000162,2023-08-26,2023-08-26,2026-06-02,DICABUT,MATCHED,EXACT_NIB,2,1,False,True,False,True,2026-06-12 00:42:58
GR000031,1317127484677,31.467.564.2-392.195,PT LAILASARI TBK,PT,Firma,Belum Berbadan Hukum,Tidak Aktif,Jalan Setiabudhi No. 54,SABANG,64,83136.0,Y,N,API-U,100300.0,62533986774.0,EKSPORTIR,4803163678.0,,C004726,2023-01-06,2023-01-06,2026-04-09,AKTIF,MATCHED,EXACT_NIB,2,1,False,True,True,True,2026-06-12 00:42:58
GR000032,9972787558867,41.890.193.3-585.392,PERUM PERMADI KUSMAWATI TBK,PERUM,PT,Belum Berbadan Hukum,Dibekukan,Jl. Phh. Mustofa No. 634,PAREPARE,51,68557.0,N,N,,90100.0,62892427778.0,IMPORTIR,,8506952268.0,C003389,2025-02-19,2025-02-19,2026-06-02,AKTIF,MATCHED,EXACT_NIB,2,1,False,True,False,False,2026-06-12 00:42:58
GR000033,6578091343161,97.648.720.1-454.170,PT NABABAN TBK,PT,PT,Berbadan Hukum,Tidak Aktif,Jalan Rajawali Barat No. 824,BANJARBARU,31,,N,N,,40400.0,623474941567.0,KEDUA-DUANYA,4803163678.0,9770024917.0,C004049,2024-08-23,2024-08-23,2026-06-02,AKTIF,MATCHED,EXACT_NIB,2,1,False,True,False,True,2026-06-12 00:42:58
GR000034,9464743671369,45.588.302.4-022.849,PT PRAYOGA (PERSERO) TBK,PT,Firma,Berbadan Hukum,Dibekukan,Gg. Cihampelas No. 49,LHOKSEUMAWE,91,91334.0,N,N,,120300.0,62814792216.0,IMPORTIR,4803163678.0,8421058855.0,C002840,2025-10-14,2025-10-14,2026-06-05,DIBEKUKAN,MATCHED,EXACT_NIB,2,2,False,False,False,True,2026-06-12 00:42:58
GR000035,3953394210470,74.373.749.2-092.931,CV PERMADI,,Perum,Berbadan Hukum,Aktif,Jl. Abdul Muis No. 79,KUPANG,12,34471.0,N,Y,,10800.0,623102511735.0,EKSPORTIR,8168205436.0,,C001933,2025-01-19,2025-01-19,2026-06-02,AKTIF,MATCHED,EXACT_NIB,2,1,False,True,False,False,2026-06-12 00:42:58
GR000036,0985931746120,04.311.504.1-099.240,PD SIHOMBING,PD,Perum,Belum Berbadan Hukum,Dibekukan,Gang Cempaka No. 906,SIBOLGA,35,,Y,N,API-P,70500.0,62176654505.0,EKSPORTIR,4803163678.0,,C004213,2023-11-13,2023-11-13,2026-06-02,DIBEKUKAN,MATCHED,EXACT_NIB,2,2,False,True,False,True,2026-06-12 00:42:58
GR000037,7964053773515,69.923.660.5-062.407,UD PERMATA,UD,Perum,Berbadan Hukum,Dibekukan,Gg. M.T Haryono No. 7,DENPASAR,12,71756.0,Y,Y,API-U,10700.0,62146761647.0,KEDUA-DUANYA,8051725605.0,3566338560.0,C001976,2023-02-13,2023-02-13,2026-05-19,AKTIF,MATCHED,EXACT_NIB,2,0,False,True,False,False,2026-06-12 00:42:58
GR000038,2931839335290,35.879.148.2-553.256,UD WINARSIH (PERSERO) TBK,UD,PT,Berbadan Hukum,Aktif,Gang Yos Sudarso No. 68,PALU,61,54516.0,Y,N,API-U,90400.0,62739041312.0,IMPORTIR,,9004386220.0,C002417,2024-05-02,2024-05-02,2026-05-07,AKTIF,MATCHED,EXACT_NIB,2,1,False,True,True,False,2026-06-12 00:42:58
GR000039,0268117758917,64.226.968.9-044.744,PERUM HARIYAH,,Perum,Berbadan Hukum,Aktif,Jl. M.T Haryono No. 97,,61,34824.0,N,N,,90400.0,62711025296.0,EKSPORTIR,7429506680.0,,C000282,2025-04-02,2025-04-02,2026-06-06,AKTIF,MATCHED,EXACT_NIB,2,2,False,True,False,True,2026-06-12 00:42:58
GR000040,2809885165604,76.319.360.1-591.519,PERUM PRASTUTI TBK,PERUM,CV,Berbadan Hukum,Tidak Aktif,Gang Sentot Alibasa No. 88,PALU,35,33963.0,Y,N,API-P,60100.0,624397116114.0,EKSPORTIR,6934012779.0,,C003127,2023-08-24,2023-08-24,2026-06-11,AKTIF,MATCHED,EXACT_NIB,2,1,False,True,False,True,2026-06-12 00:42:58
GR000041,6899809402445,44.006.185.2-579.673,PT SIMANJUNTAK KUSMAWATI TBK,PT,PT,Berbadan Hukum,Dibekukan,Gg. Bkr No. 895,,21,87026.0,Y,Y,API-U,20100.0,62953432950.0,IMPORTIR,,4240781804.0,C001501,2025-02-09,2025-02-09,2026-03-31,AKTIF,MATCHED,EXACT_NIB,2,0,False,True,True,False,2026-06-12 00:42:58
GR000042,5459910229014,56.677.434.7-621.452,PT HALIMAH SAPTONO,PT,CV,Berbadan Hukum,Tidak Aktif,Jalan Rumah Sakit No. 8,LUBUKLINGGAU,16,80913.0,N,N,,30100.0,624539727799.0,KEDUA-DUANYA,3453219174.0,4997296961.0,C003385,2023-08-16,2023-08-16,2026-04-20,AKTIF,MATCHED,EXACT_NIB,2,1,False,True,True,True,2026-06-12 00:42:58
GR000043,7840369003432,97.261.296.5-122.007,CV ISWAHYUDI TBK,CV,CV,Berbadan Hukum,Tidak Aktif,Gg. Jend. A. Yani No. 4,BANJAR,36,,N,Y,,50400.0,623044342464.0,KEDUA-DUANYA,1031494968.0,6161193427.0,C000174,2014-09-15,2014-09-15,2026-03-13,AKTIF,MATCHED,EXACT_NIB,2,0,False,True,True,False,2026-06-12 00:42:58
GR000044,5160607159696,90.655.427.4-117.414,CV NURAINI ZULKARNAIN,CV,CV,Belum Berbadan Hukum,Dibekukan,Jl. Ciwastra No. 6,PAYAKUMBUH,31,37474.0,N,N,,10100.0,623815289761.0,IMPORTIR,,4689035618.0,C002411,2023-06-30,2023-06-30,2026-03-19,AKTIF,MATCHED,EXACT_NIB,2,0,False,True,True,False,2026-06-12 00:42:58
GR000045,9681645352181,67.522.198.5-359.744,PD SUWARNO,PD,PT,Berbadan Hukum,Tidak Aktif,Gg. Sentot Alibasa No. 4,TANJUNGBALAI,73,74367.0,Y,Y,API-U,110100.0,62564529678.0,EKSPORTIR,9793489466.0,,C003842,2023-12-22,2023-12-22,2026-06-11,AKTIF,MATCHED,EXACT_NIB,2,2,False,True,False,False,2026-06-12 00:42:58
GR000046,1277997995527,08.480.452.4-815.281,CV WIBOWO,CV,UD,Berbadan Hukum,Tidak Aktif,Gang Asia Afrika No. 6,BALIKPAPAN,51,97439.0,Y,N,API-P,80100.0,6212133057.0,EKSPORTIR,4203722540.0,,C001068,2025-07-14,2025-07-14,2026-05-26,AKTIF,MATCHED,EXACT_NIB,2,2,False,False,False,True,2026-06-12 00:42:58
GR000047,4119986798079,83.192.329.9-487.513,CV USADA (PERSERO) TBK,,PT,Belum Berbadan Hukum,Dibekukan,Jl. Medokan Ayu No. 0,PALEMBANG,33,95214.0,Y,Y,API-P,50100.0,628401688972.0,KEDUA-DUANYA,5863264666.0,2424797155.0,C001767,2025-10-30,2025-10-30,2026-03-14,AKTIF,MATCHED,EXACT_NIB,2,0,False,False,True,False,2026-06-12 00:42:58
GR000048,8168505423573,28.140.158.1-302.864,PERUM PRASETYA (PERSERO) TBK,PERUM,Firma,Berbadan Hukum,Dibekukan,Gang Gardujati No. 004,BINJAI,61,38267.0,Y,N,API-U,90400.0,621962198515.0,IMPORTIR,,7092812968.0,C000484,2023-11-12,2023-11-12,2026-05-19,AKTIF,MATCHED,EXACT_NIB,2,1,False,True,False,False,2026-06-12 00:42:58
GR000049,9270653794738,30.316.988.7-925.855,PERUM ANDRIANI (PERSERO) TBK,PERUM,UD,Belum Berbadan Hukum,Tidak Aktif,Gg. Kendalsari No. 40,,35,73515.0,N,N,,60100.0,62225804849.0,EKSPORTIR,178722728.0,,C000648,2025-02-21,2025-02-21,2026-05-25,AKTIF,MATCHED,EXACT_NIB,2,1,False,True,False,True,2026-06-12 00:42:58
GR000050,2392407581814,10.781.164.4-460.927,PT WIDODO TBK,PT,PT,Berbadan Hukum,Tidak Aktif,Gg. Dipatiukur No. 3,BANJARBARU,32,32931.0,Y,N,API-P,50900.0,627364625769.0,KEDUA-DUANYA,355506886.0,2144242910.0,C003907,2023-02-24,2023-02-24,2026-03-23,AKTIF,MATCHED,EXACT_NIB,2,1,False,True,True,True,2026-06-12 00:42:58
GR000051,5361530515220,36.939.849.7-712.851,PERUM PRATAMA PRADIPTA,PERUM,Perum,Berbadan Hukum,Aktif,Jl. Pelajar Pejuang No. 284,BINJAI,33,20539.0,N,N,,50100.0,6254352792.0,KEDUA-DUANYA,4803163678.0,6170938399.0,C004159,2024-06-08,2024-06-08,2026-05-20,AKTIF,MATCHED,EXACT_NIB,2,1,False,True,False,True,2026-06-12 00:42:58
GR000052,4051531952058,43.833.658.2-850.797,CV SAEFULLAH,CV,Perum,Berbadan Hukum,Aktif,Gang Erlangga No. 9,BENGKULU,91,83673.0,N,Y,,120300.0,62837832198.0,EKSPORTIR,3863006512.0,,C001937,2025-07-26,2025-07-26,2026-06-10,AKTIF,MATCHED,EXACT_NIB,2,0,False,False,False,False,2026-06-12 00:42:58
GR000053,3054868740345,99.048.886.5-279.127,UD HASANAH WACANA TBK,UD,Perum,Belum Berbadan Hukum,Dibekukan,Gang Raya Setiabudhi No. 4,BUKITTINGGI,61,11116.0,N,N,,90400.0,629294483337.0,IMPORTIR,4803163678.0,5166916105.0,C004825,2025-03-02,2025-03-02,2026-06-07,AKTIF,MATCHED,EXACT_NIB,2,1,False,True,False,True,2026-06-12 00:42:58
GR000054,7584161692845,13.081.335.4-313.456,UD MUSTOFA,UD,CV,Belum Berbadan Hukum,Tidak Aktif,Jalan Tubagus Ismail No. 60,SERANG,64,51983.0,N,N,,100300.0,623595084936.0,EKSPORTIR,4803163678.0,,C002242,2023-03-28,2023-03-28,2026-05-23,AKTIF,MATCHED,EXACT_NIB,2,1,False,True,False,True,2026-06-12 00:42:58
GR000055,9640165820297,04.129.068.3-797.660,PD PRASETYO KURNIAWAN,PD,Perum,Berbadan Hukum,Dibekukan,Jalan Pelajar Pejuang No. 3,,21,94024.0,N,Y,,20400.0,6267524750.0,EKSPORTIR,7917347623.0,,C000332,2025-07-10,2025-07-10,2026-05-12,DICABUT,MATCHED,EXACT_NIB,2,0,False,False,True,False,2026-06-12 00:42:58
GR000056,0727155188442,91.726.949.2-812.370,PERUM RIYANTI (PERSERO) TBK,PERUM,CV,Berbadan Hukum,Aktif,Jl. Wonoayu No. 147,PASURUAN,32,64381.0,Y,N,API-U,50900.0,62980993758.0,EKSPORTIR,1144304218.0,,C003893,2023-02-23,2023-02-23,2026-05-19,AKTIF,MATCHED,EXACT_NIB,2,1,False,True,False,True,2026-06-12 00:42:58
GR000057,7829114678669,09.128.995.5-657.075,PD KUSUMO TBK,,UD,Belum Berbadan Hukum,Aktif,Jalan Merdeka No. 90,GORONTALO,18,32445.0,N,N,,30700.0,627207695368.0,EKSPORTIR,4803163678.0,,C002620,2023-09-22,2023-09-22,2026-04-19,AKTIF,MATCHED,EXACT_NIB,2,1,False,True,True,True,2026-06-12 00:42:58
GR000058,9590010943969,81.031.509.8-296.657,PERUM ARYANI TBK,PERUM,CV,Belum Berbadan Hukum,Tidak Aktif,Jalan Surapati No. 529,TANJUNGBALAI,12,16136.0,N,N,,10800.0,62895404777.0,EKSPORTIR,7227084205.0,,C000937,2023-05-30,2023-05-30,2026-05-18,AKTIF,MATCHED,EXACT_NIB,2,2,False,True,False,True,2026-06-12 00:42:58
GR000059,6773592555625,65.575.108.5-247.477,PERUM HUTAPEA WIDODO TBK,PERUM,Perum,Berbadan Hukum,Aktif,Gg. Jend. A. Yani No. 818,MALANG,35,23124.0,N,Y,,70100.0,62850274940.0,KEDUA-DUANYA,8913183734.0,3133020706.0,C001466,2015-08-29,2015-08-29,2026-05-09,AKTIF,MATCHED,EXACT_NIB,2,0,False,True,True,False,2026-06-12 00:42:58
GR000060,9632595327877,39.509.023.1-967.402,CV SUARTINI MANGUNSONG,CV,CV,Berbadan Hukum,Dibekukan,Gg. Rawamangun No. 9,TANGERANG SELATAN,32,,N,N,,50900.0,62975554904.0,IMPORTIR,4803163678.0,7479413731.0,C000998,2023-04-10,2023-04-10,2026-06-06,AKTIF,MATCHED,EXACT_NIB,2,2,False,True,False,True,2026-06-12 00:42:58
GR000061,7480162456506,06.583.575.3-371.566,UD SAEFULLAH RAHAYU (PERSERO) TBK,UD,UD,Belum Berbadan Hukum,Dibekukan,Gg. Rawamangun No. 00,KOTAMOBAGU,12,19986.0,Y,N,API-P,10800.0,62760172410.0,IMPORTIR,,3509661668.0,C003587,2023-09-01,2023-09-01,2026-04-17,AKTIF,MATCHED,EXACT_NIB,2,1,False,True,True,False,2026-06-12 00:42:58
GR000062,5852398680002,91.341.823.7-531.467,PERUM PUSPASARI GUNARTO TBK,PERUM,UD,Belum Berbadan Hukum,Aktif,Gang S. Parman No. 071,TASIKMALAYA,33,82037.0,Y,N,API-P,50100.0,62874270655.0,IMPORTIR,,9060442149.0,C004484,2024-09-04,2024-09-04,2026-04-22,AKTIF,MATCHED,EXACT_NIB,2,1,False,True,True,False,2026-06-12 00:42:58
GR000063,8879470551694,92.893.704.0-611.485,PERUM NURDIYANTI SURYATMI (PERSERO) TBK,PERUM,UD,Belum Berbadan Hukum,Aktif,Gang Sukajadi No. 59,,12,15186.0,Y,N,API-U,10700.0,62783434838.0,EKSPORTIR,9181915821.0,,C001992,2023-10-30,2023-10-30,2026-05-11,DIBEKUKAN,MATCHED,EXACT_NIB,2,2,False,True,True,True,2026-06-12 00:42:58
GR000064,9130756263689,60.893.868.0-722.141,UD WAHYUNI (PERSERO) TBK,UD,Perum,Belum Berbadan Hukum,Tidak Aktif,Jl. Sentot Alibasa No. 62,,32,,Y,Y,API-P,50900.0,62413677268.0,KEDUA-DUANYA,6025674865.0,1390527416.0,C003448,2025-07-30,2025-07-30,2026-05-25,DICABUT,MATCHED,EXACT_NIB,2,0,False,False,False,False,2026-06-12 00:42:58
GR000065,5497334843443,88.721.500.5-491.357,PT TARIHORAN TBK,PT,Firma,Berbadan Hukum,Dibekukan,Gg. Rajiman No. 322,KUPANG,35,88805.0,N,N,,70500.0,628205270008.0,EKSPORTIR,4324919349.0,,C002305,2025-03-19,2025-03-19,2026-06-04,DIBEKUKAN,MATCHED,EXACT_NIB,2,2,False,True,False,True,2026-06-12 00:42:58
